9:13:001:1	Filístiya dine'é bił anaa' dahodzisłį́į́'
9:13:001:0	Saul nant'áago t'ááłá'í nááhai áádóó Ízrel dine'é yinant'áago naaki nááhaigo 
9:13:002:0	Saul éí Ízrel dine'é táadi míilgo néidiinil; naakidi mííl éí t'áá Míkmash báhátis índa Béthel kin shijaa'gi Saul yił naakai nít'éé', áádóó miilgo éí t'áá Bénjamin bikéyah Gíbiyah kin haal'áagi Jánathan yił naakai nít'éé', áádóó łahjį' yidziihígíí éí dabiníbaalígóó anídziis'a'. 
9:13:003:0	Gííba kin shijaa'gi Jánathan éí Filístiya dine'é yik'eh deesdlį́į'go Filístiya dine'é baa dahodiizts'ą́ą́'. Áádóó t'áá ałtsogóó ayóó íits'a'go Saul éí deenásts'aa' bidee' bee í'dílzoołí yee áníigo ání, Háni'dii Hííbrew dine'é da'diits' į́į́h. 
9:13:004:0	Áko Ízrel dine'é t'áá ałtso áhá'nínígíí deidiizts'ą́ą́'; Saul éí Filístiya dine'é yik'eh deesdlį́į́' lá, áko Ízrel dine'é éí Filístiya dine'é doo deíłdin da daazlį́į́'. Áádóó Gílgal haz'ánígi diné éí Saul bididoohkah dabi'doo'niid. 
9:13:005:0	Áko Filístiya dine'é éí Ízrel dine'é yił da'ahidoogą́ą́ł biniyé áłah silį́į́', tádiindi mííl tsindaabąąs bijáád naakiígíí índa łį́į́' yee nidaabaahígíí éí hastą́ądi mííl; tónteel bibąąhgóó séí ánéelą́'ígi át'éego diné t'óó ahayóí niheezná, áko Beth-éíven kin shijaa'dóó ha'a'aahjígo Míkmash báhátis dahaazná. 
9:13:006:0	Ízrel dine'é tsístł'ah dabidi'neeskaadgo bił béédahoozin, (háálá diné nitsinákah) áko a'áán dahasdzą́ą́góó, áádóó dahodíłch'ilgóó, áádóó tsétahgóó, áádóó nooh nída'achííhgóó, índa tó bíká ida'as'nil yę́ęgóó nídadeest'į́į́'. 
9:13:007:0	Ła' Hííbrew dine'é ałdó' éí Jórdan tsé'naagóó Géed kéyahgóó áádóó Gíliyad kéyahgóó aheeskai. Saul éí t'áá Gílgaldi naaghá, áádóó diné t'áá ałtso bitah dahoditłidgo hakéé' yíkai. 
9:13:008:0	Áko Saul éí Sámuel yee nihoní'áanii biba' ájít'éego tsosts'id yiską́, nidi Gílgal haz'ánígi Sámuel t'ah doo yígháah da, áko Saul éí t'óó diné hats'ą́ą́' taozhjéé'. 
9:13:009:0	Áko Saul ádííniid, Didlidgo nááhániihii índa hózhǫ́ǫ́jí náádahaniihii shich'į' kółééh. Áko didlidgo nááhániihii nááyiisnii'. 
9:13:010:0	Didlidgo nááhániihígíí ałtso náádziisnii'go, shoo, Sámuel níyá, áko bidááshníyáago k'é bizhdííniid. 
9:13:011:0	Nít'éé' Sámuel ání, Ha'át'íishą' baa nisíníyá? Áko Saul ání, Nihwííní'áníjį' ayííłką́ yę́ędą́ą́' t'áadoo yíníyáágóó bąą diné t'óó shits'ą́ą́' taozhjéé', áko Filístiya dine'é éí Míkmash báhátisgi áłah silį́į́'. 
9:13:012:0	Éí bąą ádíshní, Jó, Gílgal haz'ánígi Filístiya dine'é t'óó shik'i dah yijeehgi át'é; Bóhólníihii doo náoshkąąhgóó, ákohgo t'áá shí t'áá bizááká didlidgo nááhániihii nááháłnii'. 
9:13:013:0	Áko Sámuel éí Saul áyidííniid, Jó, doo áhólyą́ą́góó ánít'į́; Bóhólníihii niDiyin God bibik'eh ó'oo'níiłii yee nich'į' haadzíi'ii doo bi'iinilaa da; jó, Bóhólníihii k'ad aláahgo bee níhólníihii chánahgo ná hasht'eyiilaago hool'áágóó Ízrel dine'é binanít'áa doo nít'éé'. 
9:13:014:0	Nidi aláahgo bee níhólníihii doo t'áá yit'ih da doo; Bóhólníihii éí diné bił hózhǫ́ǫgo bik'eh hół'íinii há néidéez'į́į́', áádóó Bóhólníihii néidiiłtíinii éí bidine'é yinant'áa doo, háálá Bóhólníihii yee nich'į' haadzíi'ii doo bi'iinilaa da. 
9:13:015:0	Áko Sámuel nídii'na'go Gílgal haz' ánídóó dah nídiidzáago Bénjamin bikéyahdi Gíbiyah kin haal'áajį' níyá.Áádóó Saul éí diné hoł naakaígíí jííłta'go éí hastą́ądi neeznádiin ánéelą́ą́' lá. 
9:13:016:0	Áko Saul áádóó haye' Jánathan índa diné hoł naakaígíí éí t'áá Bénjamin bikéyahgi Gíbiyah kin haal'áadi dah yinééł, nidi Filístiya dine'é éí Míkmash báhátisdi dah yinééł. 
9:13:017:0	Áko Filístiya dine'é dah yinéłígíí bits'ą́ą́dóó siláo hat'ááh doojahii táa'go dah yinééł ch'íníná, ła' éí Áfra bich'į'go Shúwal bikéyah nahós'a'jį' ííná, 
9:13:018:0	náánáła' éí Beth-hóran yich'į' go ííná, áádóó náánáła' Ziibówim hóteel nahaz'ą́ą́góó honoojí yich'į'go ííná. 
9:13:019:0	Áko Ízrel dine'é bikéyah nahós'a'gi t'áá át'éé nít'éé' diné doo ła' béésh yitsidii nilį́į da, háálá Filístiya dine'é ádaaní, Hííbrew dine'é t'áá bí diltłish áádóó tsiidétáán ádá ádeidoolíiłgo da'át'é. 
9:13:020:0	Nidi Ízrel dine'é danilíinii t'ááłá'í nítínígo éí hatł'oh bee yilzhéhí áádóó habee nihwiildlaadí áádóó hatsénił índa hatł'oh bee nágodí ałts'ą́ą́' deenínígíí háádahizhdook'ash biniyé Filístiya dine'é bich'į' ałnáádajikah. 
9:13:021:0	Tł'oh bee yilzhéhí áádóó bee nihwiildlaadí áádóó tł'oh bee naaljoołí áádóó tsénił índa béégashii bee náníljishí bik'ą́ą́h da'iizhaazhii háádahak'ashgo éí naadiin naaki shékel wolyéii bą́ą́h ílį́. 
9:13:022:0	Ákódzaago anaa' hazlį́į́' bijį́ Saul áádóó Jánathan éí diné hoł naakaígíí éí diltłish áádóó tsiidétáán bee ádaadin, nidi Saul áádóó biye' Jánathan éí diltłish áádóó tsiidétáán neijaah. 
9:13:023:0	Filístiya dine'é nidaabaahígíí tségiizh góde Míkmash báhátisjį' aheezhjéé'.
