9:8:001:1	Ízrel dine'é éí aláahgo naat'áanii dayókeed
9:8:001:0	Áko Sámuel hadzistihgo haye'ké éí Ízrel dine'é yá nihodiyii'aahii danilį́įgo ájiilaa. 
9:8:002:0	Áłtsé yizhchínígíí Jówel wolyé, áádóó naaki góne'ígíí Abáíyah wolyé; Bíyer-shííba kin shijaa'di á nihodiyii'aahii jílį́į́ nít'éé'. 
9:8:003:0	Áko haye'ké doo hógi át'éego naazh'áazh da. Béeso yíchą́'íídéelni'go bee naho'diiniihii bich'į' násdláago t'áadoo diné bá nihodiit'aahgi át'éégóó yá nihodiyii'aah nít'éé'. 
9:8:004:0	Ákohgo Ízrel dine'é aląąjį' naazíinii t'ááłáhíjį' ahíikaigo áádóó Réímah kin haal'áadi Sámuel yaa yíkaigo 
9:8:005:0	ádeidííniid, Jó, ni éí hasínítih áádóó niye'ké éí doo ánít'éhígi át'éego yi'ash da; k'ad ał'ąą dine'é ádaat'éhígi át'éego aláahgo naat'áanii nihá nihodiyii'aah dooígíí ła' nihá nídidííłtééł. 
9:8:006:0	Aláahgo naat'áanii nihá nihodiyii'aah dooígíí nihá nídiiłteeh, dadííniidígíí Sámuel doo bił bíík'eh da. Áko Sámuel sozdilzingo Bóhólníihii níjooskan. 
9:8:007:0	Áádóó Sámuel éí Bóhólníihii ábidííniid, Diné t'áá ałtso yee nich'į' yaa yádaałti'ígíí yísíníłts'ą́ą́'; jó, ni éí t'áadoo doo daniniizį́į' da; nidi shí éí doo dashiniizį́į' da; éí doo binaanisht'áa da doo biniyé ákódaat'į́. 
9:8:008:0	Ííjip kéyahdę́ę́' ch'íní'eezh bijį́į́dóó díí jį́įjį' yaa ninádinikahii bik'ehgo yóó'anídashidi'áahgo diyin dabidi'níinii yá nidaal'a' nít'éé'; shich'į' ádáát'įįdígi át'éego ni ałdó' ákódanił'į́. 
9:8:009:0	Éí bąą k'ad ádaaníinii bik'eh honíł'įįh, nidi ni éí ts'ídá t'áadoo naaki nilíní bi'dííłnih, áádóó aláahgo naat'áanii át'ée dooígíí bił ííshjání ádíílííł. 
9:8:010:0	Ákohgo Sámuel éí Bóhólníihii bizaad t'áá át'é bee diné bił hojoolne'; aláahgo naat'áanii diné hódayókeedígíí bił ííshją́ą́ ájiilaa. 
9:8:011:0	Áko Sámuel ání, Díigi át'éego aláahgo naat'áanii nihinant'áa doo; t'áá bí ádá danihiye'ké néidiyoolahgo bitsindaabąąs bijáád naakiígíí áádóó łį́į́' bee na'abaah yee danilį́į doo, áko ła' bitsindaabąąs bijáád naakiígíí deíłbąsii yilą́ąjį' deíjeeh doo. 
9:8:012:0	Áádóó danihiye'ké ła' siláo mííl yilt'éego bindanit'a'í néidiyoolah, áádóó ła' ashdladiin yilt'éego bindanit'a'í nínéidiyoodlah, áádóó ła' bá nidahwiiłdlaad doo, áádóó ła' bá da'ayizh doo, áádóó náádaała' éí anaa' bich'į' bee na'abaahí índa bitsindaabąąs bijáád naakiígíí bee ádaalne'ígíí bá ádajile' doo. 
9:8:013:0	Danihich'é'é éí łikání halchiní ádeił'íní áádóó ch'iyáán ádeił'íní índa bááh ádeił'íní danilį́įgo íidoolííł. 
9:8:014:0	Nihidá'ák'ehígíí áádóó nihich'il na'atł'o'ii k'éédadohdléhígíí áádóó nihi'áliv yíl'áhígíí k'éédadohdléhígíí ts'ídá aláahgo yá'ádaat'éehii bá nidaal'a'í yeididoo'ááł. 
9:8:015:0	Nihik'eelyéí áádóó nihich'il na'atł'o'ii neeznáá daníjaa'ígíí éí t'ááłá'í shijaa' nínáyiidlahgo bá naat'áanii danilíinii áádóó bá nidaal'a'í yitaa néi'nih doo. 
9:8:016:0	Áko diné nihá nidaal'a'ígíí áádóó asdzání nihá nidaal'a'ígíí áádóó nihitsíłkéí ts'ídá aláahdi bíiyisii índa nihitélii ałdó' néidiyoolahgo bá ch'ídadoolnish. 
9:8:017:0	Nihidibé neeznáá níjaa'ígíí bitahdę́ę́' t'ááłá'ígo néidiyiiłteeh doo, áádóó nihí binaalte' danohłį́į doo. 
9:8:018:0	Áko éí yoołkáłígíí biyi' t'áá nihí ádá nihinaat'áanii nídadoołtínígíí biniinaa chaał haoł'áa doo, nidi éí yoołkáłígíí biyi' Bóhólníihii doo nihich'į' ééhodoosįįł da. 
9:8:019:0	Nidi Ízrel dine'é éí doo t'áá k'ad Sámuel áníinii yik'eh ádaadzaagóó ádaaní, Dooda! Aláahgo naat'áanii yee' ła' nihee hodooleeł daniidzin; 
9:8:020:0	éí nihí ałdó' ał'ąą dine'é ádaat'éhígi ádaniit'ée dooleeł, áádóó aláahgo nihinaat'áanii nihá nihodiyii'aahgo nanihi'eesh doo áádóó nihá naabaah doo. 
9:8:021:0	Ákohgo Sámuel éí diné ádaanínígíí t'áá ałtso dzidiizts'ą́ą́', áko Bóhólníihii bił náhojoolne'. 
9:8:022:0	Áádóó Bóhólníihii éí Sámuel áyidííniid, Ádaanínígíí yísíníłts'ą́ą́', áádóó aláahgo naat'áanii ła' bá nídiiłteeh. Áko Sámuel éí Ízrel dine'é áyidííniid, Nílááh, t'ááłá'í nootínígo nihikin hadaas'áágóó anáhóhkááh.
