9:1:001:1	Sámuel bi'dizhchį́
9:1:001:0	Dził Íífreiyimdi Reimathéíyim-zófim kin shijaa'dóó diné léi' Elkéínah wolyé; éí Jiiróham biye', Jiiróham éí Iiláíhu biye', Iiláíhu éí Tóhu biye', Tóhu éí Íífreiyim dine'é Zuf biye' jílį́. 
9:1:002:0	Éí hwe'asdzą́ą́ naaki, ła' éí Hánnah wolyé, ła'ígíí éí Piinínah wolyé. Áko Piinínah ba'áłchíní hólǫ́, nidi Hánnah éí ba'áłchíní t'ah doo haleeh da. 
9:1:003:0	Díí diné éí t'áá nináháhááh bik'eh hakin shijaa'dóó Sháíloh haz'áníjį' ałnáájídááh nít'éé'. T'áá ałtsoní bee Bóhólníihii bich'į' nináhojiłaah doo áádóó bich'į' náá'jiiłniih doo biniyé ałnáájídááh. Ákwii Íílai biye' Háfnai índa Fíniyas éí náá'iiłniihii nilį́įgo Bóhólníihii yá naal'a'. 
9:1:004:0	Áko Elkéínah náázhdi'yoołnihjį' anéíłkáahgo hwe'asdzą́ą́ Piinínah índa biyáázhké áádóó bich'é'éké t'áá ałtso éí náájiiłniihígíí łahjį' baa nízhdí'ááh, 
9:1:005:0	nidi Hánnah éí t'áá doozhǫǫgo baa nízhdí'ááh, háálá ayóó'ájó'ní, nidi Bóhólníihii éí Hánnah doo ałchíígóó áyósin. 
9:1:006:0	Bóhólníihii éí doo ajiłchíígóó áhósinígíí bąą hade íinízinii hwé'éts'ihgo áhósin. 
9:1:007:0	Ákohgo t'áá nináháhááh bik'eh Bóhólníihii bikin bii' sohodizingóó ałnáájíkahgo Piinínah éí Hánnah yé'éts'ihgo ts'ádoolnihgo áyiilaa. Éí bąą Hánnah éí doo ajóyą́ą́' át'éégóó t'óó jicha. 
9:1:008:0	Áko hahastiin Elkéínah áhodííniid, Hánnah, ha'át'íísh baa nicha? Ha'át'íísh biniinaa doo íyą́ą da? Ha'át'éegoshą' doo nił hózhǫ́ǫ da? Niyáázhké neeznált'éego éí biláahgoósh shí doo nił yá'ánísht'éeh da? 
9:1:009:0	Ákohgo Sháíloh haz'ánígi da'jííyą́ą́' índa doodlį́įłii dajoodlą́ą́'dóó bik'ijį' Hánnah nízhdii'na'. Áko náá'iiłniihii Íílai éí Bóhólníihii bikin bii' sohodizinii bich'éédą́ą'gi dah sidá. 
9:1:010:0	Áko Hánnah t'áá íiyisí yínííł jílį́įgo Bóhólníihii bich'į' sozdoolzin áádóó jicha. 
9:1:011:0	Áko ádee hadzoodzíi'go ádee nihozhdeet'aahgo ázhdííniid, T'áá ałtsoní bee Bóhólníihii nílíinii, íinínízingo shí ná naal'a'í nishłíinii shich'į' nahwii'nánígíí baa ákonínízingo shéénílniih áádóó t'ááká shaa yóónééh, nidi íinínízingo shiyáázh hodooleełgo be'iina' ninít'i' bijį́įjį' t'áá át'é níí' dooleeł; bitsii' ts'ídá doo k'ídoogish da.  
9:1:012:0	Ákohgo Hánnah éí Bóhólníihii bich'į' t'áá sozdilzingo Íílai haa ákoniizį́į'go hazée'jį' déez'į́į́'. 
9:1:013:0	Hánnah éí t'áá hajéí biyi'ídi sozdilzin, hadaa' t'éí naha'ná, nidi hwiinéé' éí doo diits'a' da; éí bąą Íílai éí Hánnah yiyiiłtsą́ągo hoł honeezdo lá, niizį́į́'. 
9:1:014:0	Áko Íílai áhodííniid, Haa lá nízáágóó nił honeezdo dooleeł? Wáin nahjį' nidiní'aah. 
9:1:015:0	Nidi Hánnah ádííniid, Ndayee', bóhonishníihii; jó, asdzání yínííł nilíinii yee' nishłį́, wáin áádóó tó diłhił doo yishdlą́ą da, áko t'áádóo nídí Bóhólníihii bich'į' sodiszin. 
9:1:016:0	Asdzání ná naal'a'í doo yá'áshóonii nilį́ nahalingo t'áadoo shaa nitsíníkeesí, háálá ayóó át'éego bąąh shíni'ii áádóó baa yínííł ánísht'éii éí biniinaa sodiszin nít'éé'. 
9:1:017:0	Ákohgo Íílai ánáádoo'niid, Nílááh, nich'į' hózhǫ́ǫgo yínááł, áko Ízrel dine'é biDiyin God baa néinikąąhgo bííníkeedígíí neididoo'ááł. 
9:1:018:0	Áko Hánnah ázhdííniid, Háni'dii ná naal'a'í nishłį́įgo ajooba' bee shich'oninée le'. Ákohgo ch'éédzídzáago ajííyą́ą́', áko doo yínííł náázhnoolnin da. 
9:1:019:0	Áko t'ah abínígo nízhdiijéé' áádóó Bóhólníihii bich'į' nidahodzisá, áko dah nízhdiikaigo Réímah kin shijaa'di haghangi níjíkai. Áádóó Elkéínah be'asdzą́ą́ Hánnah yił ałt'áá'áázh, áko Bóhólníihii éí Hánnah yénáálnii'. 
9:1:020:0	Ákódzaadóó Hánnah i'niiltsąądgo azhdoołchíiłjį' ahoolzhiizh, áko ashkii jishchį́įgo Sámuel bee jíízhi', háálá ájíní, Eii Bóhólníihii bííníshkeed nít'éé'. 
9:1:021:0	Áko Elkéínah haghandóó danilíinii t'áá ałtso bił dashdiikaigo t'áá nináháhááh bik'eh Bóhólníihii bich'į' náá'iiniih nídajiił'aahígíí bik'ehgo náázhdiyoołnih áádóó ádee hazdoodzihígíí bizhdoolííł biniyé dashdiikai. 
9:1:022:0	Nidi Hánnah éí doo ákǫ́ǫ́ deeyáa da, háálá hahastiin ábizhdííniid, Shí doo ákǫ́ǫ́ deesháał da, awéé' i'díít'óodgo índa ákǫ́ǫ́ bił deesh'ash, áko bíni'dii Bóhólníihii yich'į' nidoogáałgo be'iina' ninít'i'jį' ákwii hólǫ́ǫ doo. 
9:1:023:0	Áko hahastiin Elkéínah áhodííniid, Bidíí'nít'óodjį' t'áá ni nił yá'át'éhígi át'éego ánílééh, nidi Bóhólníihii t'áá bí t'éí bizaad chánah íidoolííł. Áko Hánnah hayáázh ho' díít'óodjį' t'áá ákwe'é bi'jiiłt'o' nít'éé'. 
