43:18:001:1	Pen . xviij .
43:18:002:1	Brad Christ . Geireu y ’eneu ef yn taro y swyðogion ir llawr . Petr yn trychu y maes glust Malchus . Dwyn Christ drachbron Annas a’ Caiaphas . Petr yni wadu ef . Ef yn menegi i Pilatus pa yw y deyrnas ef .
43:18:001:0	GWedy ir Iesu ðywedyt ypethe hyn , yð aeth allan ef a ei ðiscipulon dros garoc Cedron , lle ydd oeð garð , yr hon ydd aeth y mewn , ef a ei ddiscipulō .
43:18:002:0	Ac Iudas yr hwn a ei bradychoð ef , y adwaenei hefyt y lle : can ys mynych y bysei ’r Iesu yn tramvy yno ef a’ ei ddisipulon .
43:18:003:0	Ac Iudas wedy iddo gahel catyrfa o wyr a’ swyddogion , gan yr Archoffeiriait , a’r Pharisaiait , a ðeuth yno a’ chanthwynt dan‐llestri a’ thewyniō ac arvae .
43:18:004:0	Yno ’r Iesu yn gwybot pop peth a ddelei arnaw , aeth rhacddaw , ac a ddyvot wrthynt , Pwy ’ddych yn ei gaisiaw ?
43:18:005:0	Wy ei atepesont , Iesu o Nazaret . Yr Iesu a ddyvot wrthwynt , Myvi yw ef . Ac Iudas hefyt yr hwn y bradychodd ef , oedd yn sefyll gyd ac wynt .
43:18:006:0	Ac er cynted y dybot ef wrthwynt , Myvi yw ef , wy aethant yn wysc ei cefn , ac a syrthiesont ir llawr .
43:18:007:0	Yno y gofynodd yddwyn trachefyn , Pwy ’ddych yn ei gaisiaw ? Ac wy a ddywedesont , Iesu o Nazaret ,
43:18:008:0	Yr Iesu a atepawdd , Dywedeis y‐chwy , mae myvi yw ef : can hyny a’s mi a gaisiwch , gadwch ir ei hynn vyned ymaith
43:18:009:0	Hyn a vu er cyflawny’r gair yr hwn a ddywedesei ef , O’r ei’n a roddeist ymy , ny cholleis i nebun .
43:18:010:0	Yno Simon Petr ac canthaw gleðyf , ei tynawð , ac a drawodd was yr Archoffeiriat , ac a dores ei glust ðeheu ymaith . Ac enw yr gwas ytoeð Malchus .
43:18:011:0	Yno y dyvot yr Iesu wrth Petr , Dod dy gleddyf yn y wain : Anyd yfaf or cwpan a roðes vy‐Tat ymy ?
43:18:012:0	Yno ’r gywdawt a’r penciwdod a’ swyddogion yr Iuddaeon a ddaliesont yr Iesu , ac ei rhwymesont ,
43:18:013:0	ac ei ducesont at Annas yn gyntaf ( can ys chwegrwn ytoeð ef i Caiaphas , yr hwn oedd Archoffeiriat y vlwyddyn hono )
43:18:014:0	ac Caiaphas oedd hwn , a roesei gycor ir Iuðeon , mae rhaidiol oeð i vn dyn varw tros y popl .
43:18:015:0	Ac Simon Petr oeð yn cālyn yr Iesu , a’ discipul arall a’r discipul hwnw oedd yn adnabyddus gan yr Archoffeiriat : am hyny yð aeth ef y mewn gyd a’r Iesu i lys yr Archoffeiriat .
43:18:016:0	Ac Petr oedd yn sefyll allan wrth y drws . Yno ydd aeth allan y discipul arall oedd adnabyddus gan yr Archoffeiriat , ac a ymddiddanawdd a’r ddrysores , ac a dduc Petr y mywn .
43:18:017:0	Yno y ddrysores a ðyvot wrth Petr , Anyd yw tithef yn vn o ddiscipulon y dyn hwn ? Ef a ðyvot , Nac wyf .
43:18:018:0	A’r gweision a’r swyddogion a savent yno , yr ei a wnaethent daan glo : can ys oervel ytoedd , ac wy a ymdwyment . Ac Petr hefyt a safai yn ei plith , ac a ymdwymei .
43:18:019:0	Yno ’r Archoffeiriait a ymofynodd a’r Iesu am ei ddiscipulon , ac am ei ddysc .
43:18:020:0	Yr Iesu a atepawdd yð‐aw . Myvi a ymadrodeis ar ’oystec ir byd , myvi vyth oedd yn athrawy yn y Syngog ag yn y Templ , lle y dawei ’r oll Iuddaeon ynghyt yn oystat , ac yn guddiedic ny ddywedais i ddim .
43:18:021:0	Paam y govynny i mi ? gofyn ir ei’n am clywsant , pa beth ðywedeis wrthwynt : nycha , wyntwy a wyddant pa beth a ddywedais .
43:18:022:0	Gwedy iddaw ddywedyt y pethae hyn , vn or swyddogogion oedd yn sefyll geir llaw , a drawoð yr Iesu a ei wialen , gan ddywedyt , A atepy’r Archoffeiriat velly ?
43:18:023:0	Yr Iesu ei atepoð . A’s dywedais yn ddrwc , testolaetha o’r drwc : ac a’s dywedais yn dda , paam i’m trawy ?
43:18:024:0	Ac Annas ei danvones ef yn rhwym at Caiaphas yr Archoffeiriat .
43:18:025:0	Ac Simon Petr oedd yn sefyll ac yn ymdwymaw , a’ dywesont wrthaw , A nyd yw tu hevyt yn vn o y ðiscipulon ef ? Ef a watawð , ac a ddyvot , Nac wyf .
43:18:026:0	Vn o weision yr Archofeiriat , car i hwn y toresei Petr ei glust , a ddyvot vvrthavv , Any welais i dydy yn yr ’ardd gyd ef ?
43:18:027:0	Yno Petr a wadawdd trachefyn , ac yn y van y canawdd y ceiliawc .
43:18:028:0	Yno y ducesont yr Iesu o ywrth Caiaphas ir dadleduy . A’r borae ytoeð hi , ac wyntwy nid aethāt ir dadlaeduy , rag eu halogy , anyd mal y gallent vwyta yr Pasc .
43:18:029:0	Pilatus yno aeth allā atwynt , ac a ðyuot , Pa achwyn ’sy genwch yn erbyn : y dyn hwnn ?
43:18:030:0	Atep a wnaethant a’ dywedyt wrthaw , Pe bysei hwn eb wneythy drwc ny roddesem ni ef atat .
43:18:031:0	Yno y dyvot Pilatus wrthynt , Cymerw‐chwi ef , a’ bernwch ef wrth eich deðyf eich hunain . Yno y dyvot yr Iuddaeon wrthaw , Nid rydd i ni roi nep i angae .
43:18:032:0	Hynny vu er cyflawny ’r gair a ddywedesei ’r Iesu , gan arwyddocay o pa angae y byddei varw .
43:18:033:0	Velly Pilatus aeth y mewn ir dadlaeduy trachefyn , ac a alwoð yr Iesu , ac a ðyyvot wrthaw . Ai‐tu yw’r Brenhin yr Iudaeon ?
43:18:034:0	Yr Iesu a atepawdd iddavv , Ae o hanat tuhun y dywedy hynn , ai er eill ei dyvot yty am danaf ?
43:18:035:0	Pilatus a atepawdd . Ae Iuddew yw vi ? dy genedl dy hun , a’r Archoffeiriait , a’th roesan di ataf vi . Pa beth a wnaethost ?
43:18:036:0	Yr Iesu a atepawdd , Vy‐teyrnas i nid yw o’r byt hwnn : pe o’r byt hwnn vesei vy‐teyrnas , yn wir vy‐gwasanaethwyr a ymddladdent , mal na’m rhoddit ir Iuddaeon : an’d yr owrhon nid yw vy‐teyrnas o ddyma .
43:18:037:0	Pilatus yno a ddyvot wrthaw , Can hyny ai Teyrn ytwyt ? Yr Iesu a atepawdd . Tu ys y’n dywedyt mae Teyrn ytwyf : er mwyn hyn i’m ganet , ac er mwyn hyn y dauthym ir byt , ’sef i tostolaethy ir gwirioneð : pop vn a hanyw o’r gwirionedd , a wrendy vy lleferydd .
43:18:038:0	Pilatus a ddyvot wrthaw , Pa beth yw gwirionedd ? A’ gwedy iddaw ddywedyt hyn , ef aeth allan drachefyn at yr Iuddaeon , ac a ddyvot wrthwynt , Nyd wyf yn cahel vn bai arno .
43:18:039:0	Anid mae genych ddevot , vot i mi ellwng ychwy vn yn rhydd ar y Pasc . Velly a ewyllysiwch i mi ellwng i chwi yn rhydd Vrenhin yr Iuddaeon ?
43:18:040:0	Yno y llefesont oll drachefyn , can ddywedyt , Nyd hwnn , amyn Barabas : a’r Barabbas hwnw oedd leitr .
