43:20:001:1	Pen . xx .
43:20:002:1	Mair Magdalen yn dyvot ir bedd . Ac Petr ac Ioan . Y ddau Angel yn ymddangos . Christ yn ymddangos i Mair Magdalen . Ac y’w oll ddiscipulon . Ancrediniaeth a’ chyffess Thomas .
43:20:001:0	AC ar y dydd cyntaf o’r wythnos y deuth Mair Magdalen , yn vorae ac y hi eto yn dywyll , ir vōwent , ac a weles y maen wedy’r dreiglo y ar y vonwent .
43:20:002:0	Yno y rhedawð hi , ac hi deuth at Simon Petr , ac at y discipul arall yr hwn oeð hoff can yr Iesu , ac a ðyvot wrthwynt . Wy a ðugesont ymaith yr Arglwydd or vonwent , ac ny wyðam p’le y dodesont ef .
43:20:003:0	Petr yno aeth allan , a’r discipul arall , ac a ðeuthan ir vonwent .
43:20:004:0	Ac a redesont ill dau ar vnwaith , a’r discipul arall hwn a ragredodd o vlaen Petr , ac a ddeuth yn gyntaf ir vonwent .
43:20:005:0	Ac ef a grymawdd , ac a ganvu y llieniae wedy’r ’osot : er hyny nyd aeth ef y mewn .
43:20:006:0	Yno y deuth Simon Petr ar y ol ef , ac aeth i mewn i’r vonwent , ac a ganvu’r llieiniae wedy’r ’osot ,
43:20:007:0	ar ffunen a vesei am ei ben , nid wedy’r ’osot gyd a’r llieiniae , anid wedy’r blygy ynghyt mewn lle o’r neilltuy .
43:20:008:0	Yno yðaeth y mewn y discipul arall hefyt , yr hwn a ddeuthei yn gyntaf ir vonwent , ac ef ei gwelawdd , ac a gredawdd .
43:20:009:0	Can ys yd hyn ny’s gwyddent vvy yr Strythur , y byddei raid yddaw gyfody drachefn o veirw ,
43:20:010:0	A’r discipulon aethant ymaith y’w cartref ehunain .
43:20:011:0	A’ Mair oedd yn sefyl’ allan wrth y bedd yn wylaw : ac val yr oedd hi yn wylaw , hi a ymostyngawdd ir bedd ,
43:20:012:0	ac a welas ddau Angel yn‐gwynion , yn eistedd vn wrth y pen , ac arall wrth y traet , lle dodesit corph yr Iesu .
43:20:013:0	A’ dywedesont wrthei , Ha wreic paam yr wyly ? Dywedawdd hi wrthynt , Wy a gymersont ymaith vy Arglwydd , ac ny wn p’le y dodesont ef .
43:20:014:0	Gwedy dywedyt o hanei val hyn , hi a ymchwelodd trach hi chefn , ac a welawdd yr Iesu yn sefyll , ac ny wybu mai yr Iesu ydoedd .
