43:13:001:1	Pen . xiij .
43:13:002:1	Christ yn golchi traet y discipulon . Can y h’annoc y vvylltot a’ chariat . Ef yn dywedyt yddynt am Iudas vradwr . Ac yn gorchymyn yddyn yn ddyfri garu eu gylydd . Ef yn rhybuddio ymblaen am ymwad Petr .
43:13:001:0	YNo cyn no gwyl y Pasc , a’r Iesu yn gwybot ddyvot y awr ef , y ymadw o’r byt hwn at y Tat , can iddo garu yr eiddaw yr ei oeddent yn y byt , yd y dywedd y caroð ef hwy .
43:13:002:0	A’ gwedy darvot swper ( ac yr owon dodi o ddiavol yn‐calon Iudas Iscariot , ap Simon , y vradrychu ef )
43:13:003:0	yr Iesu yn gwybot roddy o’r Tat yddaw bop beth oll yn y ddwylo , ay vot ef wedy dyvot ywrth Dduw ac yn myned at Dduw ,
43:13:004:0	cyvodi o hanaw y ar swper , a’ rhoi heibio ei ðillat vchaf , a’ chymeryd llieinyn , ac ymwregysu .
43:13:005:0	Gwedy hyny , ef a dywallodd ddwfr ir cawc , ac a ddechreuawdd ’olchy traet y discipulon , a’ydysychu a’r llienyn , ar hvvn y gwregysit ef .
43:13:006:0	Yno y daeth ef at Simon Petr , yr hwn a ddyuot wrthaw , Arglwydd , ai ti a ylch vy traet i ?
43:13:007:0	Yr Iesu a atepodd ac a ddyvot wrthaw , Yr hyn a wna vi , ny wyddos ti yr awrhon : eithyr ti ei gwybyddy gwedy hyn .
43:13:008:0	Petr a ddyvot wrthaw , Ny chei ’olchy vo‐traet i byth . Yr Iesu ei atepoð , A nyth ’olchaf di , ny chai ddim ran y gyd a mi .
43:13:009:0	Simon Petr a ddyvot wrthaw , Arglwydd , nyd vy‐traet yn vnic , amyn hefyd y dwylo a’r pen .
43:13:010:0	Yr Iesu a ddyvot wrthaw , Hwn a ’olchwyt , nyd oes eisie arno anyd golchy ei draet , eithyr ymae yn ’lan oll : a chwithe ydych yn ’lan , eithyr nyd pavvp oll .
43:13:011:0	Can ys ef a wyddiat pwy y bradychei ef : am hyny y dywedawdd , Nyd ydych yn ’lan bavvp oll .
43:13:012:0	Velly gwedy iddo olchy eu traet , a’ chymeryt ei ddillat , ac eistedd o honavv y lawr drachefyn , y dyvot wrthynt , A wyddoch pa beth a wneuthym ’y‐chwy ?
43:13:013:0	Chwi am gelwch yn Athro . ac yn , Arglwyð ac iawn y dywedwch : can ys velly ’r wyf .
43:13:014:0	A’s mi yntef ac yn Arglwydd , ac yn Athro yvvch , a ’olchais eich traet , chwy chvvi hefyt a ðylech’olchy traet y gylydd .
43:13:015:0	Gan ys roesym esempl y chwy , ar wneuthur o hano chwi , megis ac y gwnaethy‐mi ychwi .
43:13:016:0	Yn wir , yn wir y dywedaf y‐chwi , Nyd yw ’r gwas yn vwy na’u Arglwyð , na’r cenadwr yn vwy na’r hwn a ei danvonawð ef .
43:13:017:0	A’s gwyddochvvi y pethe hyn , gwynvydedic ydych , a’s gwnewch hwy .
43:13:018:0	Nyd wyf yn dywedyt am danoch bawp , mivi awn pw’r ei a ddetholeis i : eithyr bot hyn er cyflawny ’r Scripthur ’lan , ’sef Hwn ’sy yn bwyta bara gyd a mi , a godes eu sawdl yn v’ erbyn i .
43:13:019:0	O hyn allan y dywedaf ychwy cyn na eu ddyvot , val gwedy y del , y credoch mai mivi yw ef .
43:13:020:0	Yn wir , yn wir y dywedaf y‐chwi , A’s anvonafi nebun , hwn y derbyn ef , a’m derbyn i , a’ hwn a’m derbyn i , a dderbyn yr vn am danvonawdd i .
43:13:021:0	Gwedy dywedyt o’r Iesu y pethe hynn , ef gynnyrfit yn yr Yspryt , ac a testolaethawdd , ac a ddyvot , Yn wir yn wir y dywedaf y chwy , mai vn o hanoch am bradycha i .
43:13:022:0	Yno ’r discipulon a edrychesont ar y gylydd , gan betrusaw am ba vn y dywedesei ef .
43:13:023:0	Yno yð oeð vn o ei ddiscipulon yr hwn a ogwyddei ar vonwes yr Iesu , yr hwn a garei ’r Iesu .
43:13:024:0	Ar hwn gan hyny yr amneidiawdd Simon Petr , i ymofyn o hanaw pwy ’n oedd yr hwn y dywedesei ef am danaw .
43:13:025:0	Ac yntef yn gogwyddo ar vonwes yr Iesu , a ddyvot wrthaw , Arglwydd , pwy ’n yw ef ?
43:13:026:0	Yr Iesu atepawdd , Hwnw yw ef , yr vn y y rhoddwy vi iddo dameit wedy ’r i mi ei enllynu : ac ef a enllynawdd dameit , ac eu rhoes i Iudas Iscariot , ’ap Simon .
43:13:027:0	A’ gwedy ’r tameit , yr aeth Satan ymevvn ynthaw . Yno y dyuot yr Iesu wrthaw , A wnelych , gwna yn ebrwydd .
43:13:028:0	Ac ny wyddiat neb o hanwynt y oedd yn eistedd i vvvyta , am ba beth y dywedesei hyny wrthaw .
43:13:029:0	Cā ys rei a dybient am vot yr amner gan Iudas , y dywedesei ’r Iesu wrthaw , Pryn y pethe ’sy arnom eisieu erbyn yr wyl : neu yddo roi peth ir tlodion .
43:13:030:0	Yno cy cyntet yd erbyniawdd ef y tameit , ef aeth yn y man y maes , a’r nos oedd hi .
43:13:031:0	A gwedy y vynet ef y maes , y dyvot yr Iesu , Yr owrhon y gogoneddwyt y Map y dyn , a’ Duw a ’ogoneddwyt ynddaw .
43:13:032:0	A’s Duw a ’ogoneddwyt ynddaw , Duw hefyt y gogonedda ef ynddaw ehun , ac yn ebrwydd y gogonedda ef , yntef .
43:13:033:0	Ha blantynot , eto enhyt bach ydd wyf gyd a chwi : chvvi am caisiwch , ac mal y dywedais wrth yr Iuddaeon , I b’le ydd a vi , chwychvvi ny aill ddyvot : hefyt i chwi y dywedaf yr awrhon ?
43:13:034:0	Gorchymyn newydd ’wyf yn roi ychwy , ar garu o hanoch y gylydd : mal y cerais i chwychvvi , a’r ychwy garu garu bavvb y gylydd
43:13:035:0	Wrth hyn y gwybydd pawp eich bot yn ddiscipulon i mi , a’s cerwch bavvb y gylydd .
43:13:036:0	Simon Petr a ðyvot wrthaw , Arglwydd , I b’le ydd ai di ? Yr Iesu ei atepawdd , I b’le ydd a vi , ny elly di vy‐canlyn yr owrhon : eithyr canlyny vi gwedy .
43:13:037:0	Petr a ddyvot wrthaw , Arglwydd , paam na allaf dy ganlyn yr owrhon ? vy einioes a ddodaf ymaith drosot’ .
43:13:038:0	Yr Iesu ei atepawdd , A ddodi ymaithdy einioes droso vi ? Yn wir yn wir y dywedaf y ti , Ny chan y ceilioc , nes yti vy‐gwadu deir‐gwaith .
