43:14:001:1	Pen . xiiij .
43:14:002:1	Ef yn arfu ei ddiscipulō a dyddanwch yn erbyn trallot . Ef yn escen ir nefoedd y paratoi lle i ni . Y ffordd , y gwirioned a’r bywyt . Y Tat a’ Christ yr vn . Pa wedd y dylem weddiaw . Yr
43:14:003:1	14 : 0
43:14:004:1	*
43:14:005:1	promiss
43:14:006:1	addaw ir sawl a gatwant y ’air ef .
43:14:001:0	AC ef a ddyvot wrth ei ddiscipulon , Na thrwbler eich calon : ydd ych yn credy yn‐Duw , credwch yno vi hevyt .
43:14:002:0	Yn‐tuy vy‐Tat y mae llawer o drigvae a’ phe amgen , ys dywedyswn ychwy . Mi af i baratoi lle y chwy .
43:14:003:0	A’ gwedy ydd elwyf i baratoi lle ychwy , mi a ddauaf drachefyn , ac a’ch cymeraf ataf vyhun , mal yn y lle ydd wy vi , y bo chwi hefyt .
43:14:004:0	Ac i b’le ydd a vi , y gwyddoch , a’r fforð a wyddoch .
43:14:005:0	Thomas a ðyvot wrthaw , Arglwyð , ny wyddam i b’le yð ai : a ph’wedd y gallom wybot y ffordd , ?
43:14:006:0	Yr Iesu a ðyvot wrthaw , Mi yw’r ffordd , a’r gwirionedd , a’r bywyt .
43:14:007:0	Ny ddaw nep at y Tat , anyd trywo vi . Pe’d adnabyddesech vi , vy‐Tat a adnebyddesech hefyt : ac o hynn allan ydd adwaenoch ef , ac ei gwelsoch :
43:14:008:0	Philip a ðyvot wrthaw , Arglwyð , dangos i ny dy Tat , a’ digon genym .
43:14:009:0	Yr Iesu a ddyvot wrthaw , Bum gyd a chwi gyhyt o amser , ac nyd adnabuost vi , Philip ? yrhwn a’m gwelawdd i , a welawdd vy‐Tat : a’ pha wedd y dywedy di dangos i ni d‐y Tat ?
43:14:010:0	A ny chredy , vy‐bot i yn y Tat , a’ bot y Tat yno vi ? Y gairiae ydd wyf yn ey dywedyt wrthych , nid o hanof vyhun ydd wyf yn ey dywedyt : eithyr y Tat yr hwn ys y yn trigio ynof , ef a wna y gweithredoedd .
43:14:011:0	Credwch vi , pan yw i mi vot yn y Tat , a’r Tat yno vi : ac anyd e , er mwyn y gweithredoedd , credwch vi .
43:14:012:0	Yn wir , yn wir y dywedaf wrthych , hwn a cred yno vi , y gweithredeð a wna vi , a wnaiff yntef hefyt , a’r ei mwy na’rhein a wnaiff : can ys at vy‐Tat ydd a vi ,
43:14:013:0	A’ pheth bynac a archoch yn vy Enw , hynny a wnaf , yny ’ogonedder y Tat yn y Map .
43:14:014:0	A’d erchwch ddim yn vy Enw , mi ei gwnaf . Yr Euangel ar y Sul gwyn .
43:14:015:0	A cherwch vi , cedwch vy‐gorchmyniō ,
43:14:016:0	a’ myvy a weðiaf ar y Tat , ac e ryð y chwy ddiðanwr arall , mal ydd aros ef y gyd a chwi yn tragyvyth ,
43:14:017:0	ys ef Yspryt y gwirionedd , yr hwn ny ddychon y byt ei ðerbyn , cā na wyl y byt ef , ac na’d edwyn : a’ chvvichwi y adwaenoch ef : can y vot ef yn trigo gyd a chwi , ac y‐noch y byð .
43:14:018:0	Ny’s gadawaf chwi yn ymddivaid : anid mi a ddauaf atoch .
43:14:019:0	Eto ychydic enhyd , a’r byt ni’m gwyl mwyach , a’ chwi a’m gwelwch , can ys byw vyvy , byw vyddwch chwithe hefyt ,
43:14:020:0	Y diernot hwnw y gwybyddwch vy‐bot i yn vy‐Tat , a’ chwi yno vi , a myvi yno‐chwi .
43:14:021:0	Y neb ys ydd a’m gorchymyneu gantho , ac y ew cadw , ef yw’r hwn a’m car i : a’ hwn a’m car i , a gerir gan ve‐Tat : a’ mi y caraf ef , ac a ymddangosaf yddaw .
43:14:022:0	Iudas a ddyvot wrthaw ( nyd yr vn Iscariot ) Arglwydd , pa beth yw’r achos yr ymddangosy i ni , ac nyd i’r byt ?
43:14:023:0	Yr Iesu atepawdd , ac a ddyvot wrthaw , A’s car nep myvi , ef a geidw vy‐gair , a’m Tat y car ef , a’ ni ddauwn ataw , ac a drigwn gyd ac ef .
43:14:024:0	Y nep ni’m car , ny chaidw vy‐geiriae , a’r gair yr hwn a glywch , nid yw veu , anid gair y Tat yr hwn am anvones .
43:14:025:0	Y pethae hynn a ddywedais wrthych , a mi gyd a chwi yn aros .
43:14:026:0	Eithyr y Diddanwr , ys ef yw yr Yspryt glan , yr hwn a ddenvyn y Tat yn vy Enw , efe a ddysc ychwy yr oll pethae , ac a ddwc ar gof y chwy yr oll pethae , a’r a ðywedeis y‐chwy .
43:14:027:0	Tāgneddyf a ’adawaf gyd a chwi : vy‐tangneddyf a roddaf ychwi : nyd mal y rhydd y byt , y rhodda vi ychwi . Na chynnyrfer eich calon , ac nac ofner .
43:14:028:0	Ys clywsoch moð y dywedais wrthych , Af ymaith , a’ dauaf atoch . Pe carech vi , ys llawenechech , can i mi ddywedyt , Af at y Tat : can ys mwy yw vy‐Tat no myvi .
43:14:029:0	Ac yr awrhon dywedais y chwi , cyn ei ddyvot , mal pan ddelo , y peth y credoch’ .
43:14:030:0	Yn ol hyn ny ddywedaf ny‐mawr o pethae wrthych : can ys tywysawc y byt hwn ’sy yn dyvot , ac nid oes iddo ddim yno vi .
43:14:031:0	Anid hyn sydd er gwybot or byt , y caraf vy‐Tat : a’ megis i gorchymynawð y Tat y‐my , velly y gwnaf . Codwch , awn ymaith o ddyma .
