43:19:001:1	Pen . xix .
43:19:002:1	Pryd na allei Pilat ’ostegu cynddaredd yr Iuddaeon yn erbyn Christ , ef y delifrodd ef ai arscrivē yw grogi rhwng dau leitr . Wy yn bwrw
43:19:003:1	*
43:19:004:1	cyte , cvvtyfe
43:19:005:1	coelbrenni am y ddillat ef . Ef yn gorchymyn ei vam i Ioan . Yn galw am
43:19:006:1	‡
43:19:007:1	ddiavvt
43:19:008:1	lyn , Yn marw , bot tyllu y ystlys ef , ei gymeryd o yar y groc . Ei gladdu .
43:19:001:0	YNo y cymerth Pilatus yr Iesu ac ydd yscyrsiawdd ef .
43:19:002:0	A’r milwyr a blethesont coron o ddrain , ac ei gesodesont ar ei benn . Ac a roesont wisc burpur am danaw ,
43:19:003:0	ac a ddywedesont , Henpych well , Vrenhin yr Iuddaeon . Ac wy y trawsant ef a ei gwiail .
43:19:004:0	Yno Pilatus aeth allan trachefyn , ac a ddyvot wrthwynt , Nycha , ydd wyf yn ei ddwyn ef allan ychwi , val y gwypoch , nad wyf yn cahel vn bei arnaw .
43:19:005:0	Yno y deuth yr Iesu allā yn arwain coron o drain , a gwisc purpur . Ac Pilatus a ddyvot wrthwynt , Nycha ’r dyn .
43:19:006:0	Yno yr Archoffeiriat ar twysogiō , pan welsāt ef , a lefāt cā ðywedyt , Croc , croc ef . Pilatus a y ðyvot wrthwynt , Cymerw‐chwi ef a’ chrogwch : can nad yw vi yn cael bai arnaw .
43:19:007:0	Yr Iuddaeon a atepesont yddaw , y mae i ni Ddeddyf ac erwydd ein Deddyf ni , ef ddyly varw , can yddaw ei wneythyd ehun yn Vap Duw ,
43:19:008:0	A’ phan glypu Pilatus yr ymadrodd hwnw , ef ofnoð yn vwy ,
43:19:009:0	ac aeth drachefyn ir dadlaedy , ac a ðyvot wrth yr Iesu , Ob’le ith hanyw ti ? A’r Iesu ny roddes vn atep iddaw .
43:19:010:0	Yno y dyvot Pilatus wrthaw , A ny ddywedy di beth wrth y‐vi ? A ny wyddost vot i mi veddiant ith groci , a’ bot i mi veddiant ith ellwng ?
43:19:011:0	Yr Iesu a atepawdd , Ny byddei yty ddim meddiant yn v’erbyn , pe na’s roesit y‐ty oðuchod : can hyny yr hwn a’m rhodes yty , y sy vwy ei bechot .
43:19:012:0	Ac o hynny allan y caisiawdd Pilatus y ellwng ef : an’d yr Iuddaeon a lefent , gan ddywedyt , A’s gellyngy di hwn , nyd wyt ti gar i Caisar : can ys pwy bynac ei gwna ehun yn Vrenhin , ef a ddywait yn erbyn Caisar .
43:19:013:0	Pan glywodd Pilatus yr ymadrodd hyny , ef a dduc yr Iesu allan , ac a eisteddawdd ar yr orseddfainc yn y lle a elwit y Palmaut , ac yn Hebreo Gabbatha .
43:19:014:0	Ac ydd oedd hi yn ddarpar y Pasch , ac yn‐cylch y chwechet awr , ac ef a ddyvot wrth yr Iuðeon , Nycha eich Brenhin .
43:19:015:0	Ac wy a lefent , Ymaith ac ef , ymaith ac ef , croc ef . Pilatus a a ddyvot wrthynt . A crocaf vi eich Brēhin ? Yr Archoffeiriait atepesont , Nyd oes y ni Vrenhin odddiethr Caisar .
43:19:016:0	Yno ef y rhoes ef yddwynt , y’w groci . Ac wy gymersont yr Iesu , ac ei dusesont ymaith .
43:19:017:0	Ac ef a dduc ei groc , ac a ddeuth i le a elwit y Penglocva yr hwn a elwir yn Hebreo Golgotha :
43:19:018:0	lle cregesōt ef , a’ dau eraill gyd ac ef , vn o pop parth , a’r Iesu yn y cenawl .
43:19:019:0	Ac Pilatus a escrivenawdd titul ac ei gesodes ar y groc , ac yð oedd wedy’r escriveny IESV O NAZARET BRENHIN YR IVDDAEON .
43:19:020:0	A’r titul hwn a ddarlleawð llawer or Iuddaeon : can ys y lle y crogesit yr Iesu , oedd yn agos i’r dinas : ac ydd oedd yn yscrivenedic yn Hebreo , Groec , a’ Llatin .
