43:16:001:1	Pen . xvj .
43:16:002:1	Ef yn coffan hwy am y
43:16:003:1	*
43:16:004:1	groes
43:16:005:1	groc , ac am eu gwendit yhunain a ddawei . Ac am hyny y mae yn y confforddio hwy a gaddewit or Ysyryt glan . Am ad‐ddyvodiat Christ . Am ei
43:16:006:1	‡
43:16:007:1	dderchafel
43:16:008:1	esceniad . Erchi yn Enw Christ , tangneddyf yn‐Christ , ac yny byt blinderwch .
43:16:001:0	Y Pthe hyn a ddywedais y chwy , rac bot ych rhwystro chvvi .
43:16:002:0	Hwy ach escommunant chwi : and e ðaw ’r amser , y bydd i pwy pynac ach lladdo , dybiet y vot yn gwneuthu’r gwasanaeth y Dduw .
43:16:003:0	A’r pethe hyn a wnant y chwy , can nad adnabuant y Tat , na mivi .
43:16:004:0	Eithyr y pethe hyn a ddywedais ychwy , val pan ddel yr awr , y cofioch , ddarvot i mi ddywedyt hyny y‐chwy . A’r pethe hyn ny’s ddywedais y chwy o’r dechreuat , o bleit vy‐bot y gyd a chwi . Yr Euangel y iiij . Sul gwedy yr Pasc .
43:16:005:0	Ac yr awrhon ydd af ymaith at yr hwn om danvonawdd , ac nyd oes yr vn o hanoch yn ymofyn a mi , I b’le ’r ai di ?
43:16:006:0	Eithyr can i mi ddywedyt y pethe hyn ychwy , y mae eich calonæ yn llawn tristit .
43:16:007:0	Eithyr mi a ddywedaf y chwi ’r gwirionedd , lles yw ychwy vy myned i ymaith : o bleit a nyd af ymaith , ny ddaw y Diddanwr atoch : eithr a’s af ymaith , mi ei danvonaf atoch .
43:16:008:0	A’ gwedy del ef , yntef a argywedda y byt o bechot , ac o gyfiawnder , ac o varn .
43:16:009:0	O bechot , can na chredant ynof .
43:16:010:0	O gyfiawnder , can vy‐bot yn myned at vy‐Tat , ac ny ’m gwelwch mwyach :
43:16:011:0	O varn , can ys tywysoc y byt hwn a varnwyt .
43:16:012:0	Y mae i mi etwa lawer o bethae y’w dywedyt wrthych , eithyr ny ellwch ei dwyn yr awrhon .
43:16:013:0	And pan ðel ef yr hwn yw Yspryt y gwirionedd , ef ach arwein chwi ir oll wirionedd : can ys nyd ymadrodd ef o hanaw ehun , anyd pethe y bynac a glyw ef , a ymadrodd ef , ac a venaic ychwy y pethe sy ar ddyvot .
43:16:014:0	Efe am gogonedda i : can ys o’r meuvi yd erbyn ef , ac ei menaic y chwy .
43:16:015:0	Oll bethe ’sy eiddo y Tat ’sy veuvi : am hynny y dywedais , mai o’r meuvi y cymer ef , ac eu menaic y‐chwy . Yr Euangel y iij . Sul gwedy yr Pasc .
43:16:016:0	Ychydic enhyd , ac ny’m gwelwch : a’ thrachefyn ychydic enhyd , a’ chvvi am gwelwch : can ys myvi a at vy‐Tat .
