43:7:001:1	Pen . vij .
43:7:002:1	Yr Iesu yn argyweðu ymgymeriat ei gerent . Amryw dyb ne varnedigaeth am Christ ymplich y werin . Ef yn dangos pa ddelw yr adwaenir y gwirionedd . Y camwedd wnaēt ac ef . Y Pharisaieit yn ceryddu y swyddogion can na ddalient wy ef . Ac yn rhoi senn i Nicodemus am ddadleu y gyd ac ef .
43:7:001:0	AR ol y pethe hyny gorymdaith a oruc yr Iesu yn‐Galilaia , ac nyd wyllysawð ef ’orymddaith yn Iudaia : can ir Iuddaeon gaisiaw y y ladd ef .
43:7:002:0	A’ gwyl yr Iuddaion ’sef gvvyl y Pepyll oedd yn agos .
43:7:003:0	Dywedynt gan hyny ei vroder wrthaw , Dos ymaith o yma , a’ cherdda i Iudaia , val ac y gwelo dy ðiscipulon dy weithredoedd yr ei a wnei .
43:7:004:0	Can nad oes nep a wna ddim yn y ddirgel ac yntef yn caisiaw bot yn gyhoeddedic . A’s y pethe hyn a wnai , eglura dyhun i’r byt .
43:7:005:0	Can ny’s credent ei vroder yndo hyd hyn .
43:7:006:0	Yno dywedyt or Iesu wrthynt , Ny ddaeth vy amser i eto : eich amser chwi ’sydd yn wastat yn parat .
43:7:007:0	Ny all y byt ych casau chwi : ac e am casau i , can i mi destiolaethu a’m danaw , vot ey weithredoedd e yn ddrwc ,
43:7:008:0	Escennw‐chwi ir wyl hon : nyd escenda vi eto ir wyl hon : can na chyflawnwyt vy amser i eto .
43:7:009:0	Y pethe hyn a ðyvawt ef wrthynt , ac a arosawdd yn‐Galilaia .
43:7:010:0	A’ chy gynted yr escendent y vroder ef , yno yr escenawð yntef ir wyl , nyd yn oleu , anyd vegis yn ddirgel .
43:7:011:0	Yno y ceisiai ’r Iuddeon ef yn yr wyl , ac y dywedent , P’le mae ef ?
43:7:012:0	A’ murmur mawr oedd am danaw ym‐plith y populoedd . Rei a ddywedent , Y mae ef yn wr da : yr eill a ddawedynt , Nyd yvv ef : eithr y mae e yn twyllo yr bopl .
43:7:013:0	Er hyny ny lafarawdd nep yn eglur am danaw , rac ofn yr Iuddaeon .
43:7:014:0	Ac yn awr wedy darvot haner yr wyl , yr escennawdd yr Iesu i’r Templ , ac y dyscawdd hvvy .
43:7:015:0	A’r Iuddeon a ryveddesont , gan dywedyt Podd y gwyr hwn yr Scythurae ac yntef erioed eb ddyscu ?
43:7:016:0	Yr Iesu a atepawdd yddynt , ac a ddyvawt , Y dysc meu nyd yw veu , eithyr yddaw ef yr hwn am danvonawdd i .
43:7:017:0	A’s wyllysa nep weneuthur y ’wyllys ef , ef a wybydd am y ddyscceideth , ay o Dduw y mae hi , ai mivi sy yn llavaru o hano vy hun .
43:7:018:0	Hwn a lefair o hano y hun , a ymgais y ’ogoniant y hun : eithr hwn a ymgais ’ogoniant yr vn ai danvonawdd ef , hwnw ’sy gywir , a’ dim ancyfiawnder ynto nyd oes .
43:7:019:0	Any roes Moysen y chwi Ddeddyf , ac eto nyd oes nep o hanoch yn cadw ’r Ddeddyf ? Paam y ceisiwch vy lladd i ?
43:7:020:0	Y popul a atepawdd , ac a ddyvawt , Y mae cythraul genyt : pwy ’sy yn caisio dy ladd ?
43:7:021:0	Yr Iesu a atepawdd ac a ddyuot wrthynt , Vn gweithred a wnaethym , ac ydd ych oll yn ryveddu .
43:7:022:0	Am hyny Moysen a roes y‐chwy Enwaediat , ( nyd can y vot o Voysen , eithr am y vot o’r Tadae ) a’ chvvi ar y dydd Sabbath a enwaedwch ar ddyn .
43:7:023:0	A’s derbyn dyn ar y Sabbath enwaediat , rac bod tori Deðyf Moysen , a ddigiwchvvi wrthy vi , can y‐my wneuthur dyn yn holl‐iach ar y dydd Sabbath ?
43:7:024:0	Na vernwch erwydd y golwc , eithr bernwch varn gifiawn .
43:7:025:0	Yno y dyvawt r’ei o hanynt wy o Casalem , Anyd hwn yw ’r vn , a gaisant vvi ei ladd ?
43:7:026:0	A nachaf yr ymadrodd ef yn gyhoeddus ac ny ddywedant ddim wrthaw : a wyr y penaethieit yn ddiau mae hwn yw’r gwir Christ ?
43:7:027:0	Eithyr ni adwaenam hwn o b’le ymae ef : a’ phan ddel y Christ , ny wybydd nep o b’le y mae ef .
43:7:028:0	Yno y llefai yr Iesu yn y Templ ac ef yn ei dyscu , gan ðywedyt , Ys adwaenoch vi , ac adwaenoch o b’le ydd wyf : ac ny ddaethym o hano vy hun , eithr ys gwir yw’r vn am danvonawdd i , yr hwn nyd adwaenw‐chwi .
43:7:029:0	A’ mivi y hadwaen ef : can ys o hanaw ydd wyf , ac ef am danvonawdd i .
43:7:030:0	Yno y caisiesont y ddalha ef , ac ny roy nep ’law arnaw , can na ðaethesai y awr ef etwa .
43:7:031:0	A’ llawer o’r dydyrfa a gredesont yndaw , ac a ddywedesont , Pan ddel y Christ , a wna ef vwy o wyrthieu nac a wnaeth hwn ?
43:7:032:0	Clywet o’r Pharisaieit bot y bopul yn murmuro y pethe hyn am danaw , a’ danvon o’r Pharisaieit a’r Archoffeirieit swyddogion y’w ddalha ef .
43:7:033:0	Yno y dyvawdd yr Iesu wrth‐wynt , Eto ychydic enhyd ydd wyf y gyd a chwi , ac yno ydd af at hwn a’m danvonawdd .
43:7:034:0	Chvvi a’m caisiwch , ac ny’m cefwch : a’ lle ydd‐yw vi , ny ellw‐chwi ddyvot .
43:7:035:0	Yno y dywedent yr Iuddaeon yn y plith yhunain , I b’le bydd i hwn vyned , val na chaffom ef ? Ai myned a wna ef at yr ei ’sy ar wascar ymplith y Groecieit , a dyscu ’r Groeciait ?
43:7:036:0	Pa ymadrodd yw hwn a ddyvawt ef , Chvvi a’m caisiwch , ac ny’m cefwch ? ac lle’r yw‐vi , ny ellw‐chwi ddyvot ?
43:7:037:0	Yno yn y dydd mawr dywethaf o’r wyl , y savawdd yr Iesu ac y llefawdd , gan ddywedyt , A’s sycheda nep , dauet ata vi , ac yfet .
43:7:038:0	Yr hwn a gred yno vi megis y dywait yr Scrythur , allan oi vru ef y llifa avonydd o ddwfr byw
