43:8:001:1	Pen . viij .
43:8:002:1	Christ yn gwaredu hon a ddaliesit yn tori priodas . Ef e yw goleuni ’r byt . Ef yn dangos o b’le y daeth , baam , ac i b’le ydd a . Parei ’sy gaithion , a’ pha ’r ei ’sy ryddion . Am yr ei breiniol ar ei gwasaidd , a’ ei gwobr hwy . Ef yn gofyn gwaethaf ei ’elynion . Ac wrth vot ei ersid , yn enciliaw ymaith .
43:8:001:0	A’R Iesu aeth ir mynyth yr oliwydd ,
43:8:002:0	a’r borae ðyð e ddaeth drachefyn ir Tēpl , a’r oll popl a ðaeth at aw , ac ef a eisteddawdd y lawr , ac y dyscawdd hwy .
43:8:003:0	Yno y duc y Gwyr‐llen a’r Pharisaieit wreic ataw , hon a ddaliesit yn tori priodas , ac y dodesont hi yn y cenol ,
43:8:004:0	ac a ðywesont wrthaw , Athro , y wreic hon a ddaliwyt yn tori priodas , ys ar y weithred .
43:8:005:0	A’ Moysen yn y Ddeddyf a’ orchymynawdd i ni , bot llapyddiaw y cyfryw ’rei : a’ pha beth a ddywedy di ?
43:8:006:0	A’ hyn a ddywedent y’w demto ef , val y cahent devnydd , y gyhuðaw ef , A’r Iesu a grymoð i lawr , ac ai vys a scrivenawð ar y ddaiar .
43:8:007:0	A’ thra oeddent yn parau ymofyn ac ef , yr ymderchawð ef , ac y dyvawt wrthynt , Yr vn o hanoch ys id yn ddipechot , tav‐led y maen cyntaf atei .
43:8:008:0	A’ thrachefyn y crymawð ef , ac ydd escrivenawdd ar y ðaiar .
43:8:009:0	A’ phan glywsant hyny , can ei cydwybot yhunain yn ei cyhaðaw , yr aethant allan bop vn ac vn , gan ddechrae o’r ei hynaf yd yr ei diwethaf : a’r Iesu a adawyt yn vnic , a’r wreic yn sefyll yn y cenol .
43:8:010:0	Gwedy i’r Iesu ymdderchafel , ac eb iddo weled nep , namyn y wreic , ef a dyvawt wrthei , Ha wreic , p’le mae dy gyhuddwyr ? a varnawð nep di yn euawc ?
43:8:011:0	Hithe a ddyvawt , Na ddo nep , Arglwydd . A’r Iesu a ddyvawt , Ac nyth varna vine di yn euawc : cerða ac na phecha mwyach .
43:8:012:0	Yno drachefn y dyvawd yr Iesu wrthynt , can ddywedyt , Mivi yw goleuni y byt : yr vn a’m dilyno vi , ny rodia yn y tywyllwch , eithr e gaiff ’oleuni y bywyt .
43:8:013:0	Yno y dywedent y Pharisaieit wrthaw , Ti a destoliaethy o hanat ty vn : nyd gwir yw dy destoliaeth di .
43:8:014:0	Yr Iesu a atepawdd ac a ddyvawt wrthynt , Cy testolaethwyf o hano vyhun , y mae vy‐testoliaeth i yn gywir ; can ys‐gwn o b’le y daethym ac y b’le ydd af : a’ chwi ny wyddoch o b’le y daethym’ nac y b’le ydd af .
43:8:015:0	Chwichchvvi a vernwch erwydd y cnawd : mivi ny varnaf nebun .
43:8:016:0	Ac a’s mi a varn , y varn veuvi ysy gywir : can nad wyf yn vnic , eithyr mi a’r Tat , yr vn a’m danvonawdd .
43:8:017:0	A’ hefyt e scrivenir yn y Ddeddyf yddoch , bot testolaeth dau ddynion yn gywir .
43:8:018:0	Mi yw ’r vn a destolaethaf am dana vy vn , a’r Tat a’m danvonawdd i , a destiolaetha a’m danaf i .
43:8:019:0	Yno y dywedesont wrthaw , P’le y mae dy Dat ? Atepawdd yr Iesu , Ac ny ’m adwaenoch vi , na’m Tat . Pe’s adwenesech vi , ys adwawaenesoch vy‐Tat hefyt .
43:8:020:0	Y geiriae hyn a lavarawdd yr Iesu yn y tresor va , ac ef yn ei dyscu yn y Templ , ac nyd ymavlodd neb yndo : can na ddaethei eto y awr ef .
43:8:021:0	Yno y dyvawd yr Iesu drachefyn wrthynt , Mivi af ymaith , a’ chvvi a’m caisiwch , ac a vyddwch veirw yn eich pechodae . Lle ydd vi , ny ellw‐chwi ddyvot .
43:8:022:0	Yno y dywedent yr Iuddaion , A ladd ef y hun : can iddo ddywedyt , Lle ydd a vi , ny ellw‐chwi ddyvot ?
43:8:023:0	Yno y dyvawt ef wrthynt . Chwichvvi ’sy o ddisod : mivi ’sy o ddvchod : chwichvvi ’sy o’r byt hwn : mivi nyd yw o’r byt hwn .
43:8:024:0	Am hynny y dywedais wrthych , Y byddwch veirw yn eich pechotae : can ys a ddieithyr ywch gredu , mai mivi yw ef , chvvi vyddwch veirw yn eich pechotae .
43:8:025:0	Yno y dywedesont vvy wrthaw , Pwy yw ti ? A’r Iesu a ddyvawt wrthynt , Sef y peth a ddywedeis wrthych o’r dechreuat .
43:8:026:0	Y mae genyf lawer o bethe y’w dywedyt , ac y’vv barnu am danoch : eithyr yr vn a’m danvonawð i , ’sy gywir , a’r pethae a glywais ganthaw , yr ei hyn a adroddaf i’r byt .
43:8:027:0	Ny ddyellesont vvy mai am y Tat y llavarei ef wrthynt ,
43:8:028:0	Yno y dyvawd yr Iesu wrthynt , Gwedy y derchavoch Vap y dyn , yno y gwybyddoch mai mivi yw ef , ac nad wyf’ yn gwneuthur dim o hano vy vn , eithyr mal im dyscawdd y Tat , velly ydd wyf yn llavaru y pethe hyn .
43:8:029:0	Can ys yr vn am danvonawdd i , ysy ’gyd a mi : ny adawdd y Tat vi yn vnic , can ys i mi wneuthur bop amser y pethae sy dda gantho ef .
43:8:030:0	Ac ef yn llavaru y pethae hyn , llaweroedd a gredesont yntaw .
43:8:031:0	Yno y dyvawt yr Iesu wrth yr Iuddaeon yr ei a credesont ynthaw , A’s chwi a arhoswch yn y gair meuvi , yn wir discipulon i mi ytych ,
43:8:032:0	ac a wybyddwch y gwirionedd , a’r gwiriuoedd ach ryddha .
43:8:033:0	Atepesont y ddaw , Had Abraham ydym ni , ac ny wasanaethesam ni neb erioed : paam y dywedy di , Eich gwneir chvvi yn vvyr rhyddion ?
43:8:034:0	Atepawdd yr Iesu yðynt Yn wir , yn wir y dywedaf y‐chwi , Mai pwy pynac a wna bechot , ys y was i’r pechat .
43:8:035:0	A’r gwas nyd aros yn y tuy yn dragyvyth : and y Map a aros yn tragyvyth .
43:8:036:0	A’s y Map gā hyny ach rhyðha chwi , rhyddion yn ddilys vyddwch .
43:8:037:0	Mi wn mai had Abraham ydych , eithyr yð ych yn caisiaw vy lladd i , can nad oes lle ir gair meuvi ynochwi .
43:8:038:0	Mivi a lavaraf yr hyn a welais y gyd a’m tat i : a’ chwitheu a wnewch yr hyn a welsoch y gyd a’ch tat chwi .
43:8:039:0	Atepesont a’ dywedesont wrthaw , Ein tat ni yw Abraham . Yr Iesu a ddyvawt wrthynt , Pe plant i Abraham vyddech , chvvi gwnaech weithredoedd Abraham .
43:8:040:0	Ac ynawr y ceisiwch vy llað i , gwr a ddyvawt i chwi ’r gwirionedd , yr hyn a glywais y gan Dduw : hyn ny wnaeth Abrahā .
43:8:041:0	Chwi ’sy yn gwneuthu’r gweithredoedd ych tat chwi . Yno y dywedesont wrthaw , Ny ’anet ni o ’odnep : y ni y mae vn tat , ’sef Duw .
43:8:042:0	Am hyny y dyvawt yr Iesu wrthynt , Pe Duw vyddei eich Tat , yno y carech vi : can ys mi a ddeilliais , ac a ddeuthym o ywrth Dduw , ac ny’s daethym o hano vyhun , eithyr ef a’m danvonawdd i .
43:8:043:0	Paam nad ych yn dyally yr y madrodd hyn meuvi ? sef am na ellwch aros clywet y geiriae meuvi .
43:8:044:0	Chwichvvi y sydd o’ch tad y diavol , a’ chwantae eich tad a wnewch . Ef e vu laddwr dyn or dechreuat , ac nyd arosawdd yn y gwirionedd : can nad oes gwirionedd yndaw . Pa bryd bynac y dywait ef cellwydd o hanaw ehun y dyweit : can ys celwyddoc yw , a ’r tad iddo .
43:8:045:0	A’ Chvvithe can i mi ddywedyt y gwirionedd ywch’ , ny ’m credwch . Yr Euangel y pempet Sul yn y Grawys .
43:8:046:0	¶ Pwy ’n hanoch a hona pechat arnaf ? ac a’s ytwyf yn dywedyt y gwir , pa am na chredwch vi ?
43:8:047:0	Y nep sydd o Dduw , a wrendy ’airiae Duw : am hynn ny wrandewch chwi , can nad yw‐chwi o Dduw .
43:8:048:0	Yno yr atepawdd yr Iuddaeon ac y dywedent , wrtho , Pa nad da y dywedwn mae Samareit wyt , a’ bot cythraul genyt ?
43:8:049:0	yr Iesu a atepawdd , Nid oes cythrael cenyf , eithyr ydd wyf yn anrydeðu vy‐tad , a’ chwi am dianrydeðesoch i .
43:8:050:0	Ac nid wyfi yn ceisiaw vygogoniant vyhun : y mae a ei cais ac a varn .
43:8:051:0	Yn wir , yn wir y dywedaf wrthych , a’s caidw nep vy‐gair i , ny wyl ef byth angae .
43:8:052:0	Yno y dyvod yr Iuddeon wrthaw , Yr awrhon y gwyddam vot cythrael genyt . Abraham a vu varw , a’r Prophwyti , a’ thi a ddywedy . A chaidw vn vy‐gair i , ny phrawf ef vyth angae .
43:8:053:0	A wyti vwy na’n tad Abrahā , yr hwn a vu varw ? a’r Prophwyti a vuant vairw : pwy ddwyt yn dy wneythyr dy hunan ?
43:8:054:0	Yr Iesu a atepawdd , A’s mi a’m gogoneddaf vyhun , vy‐gogoniant nyd yw ddim : vy‐Tad yw’r hwnn am gogonedda vi , yr hwn a ddywedw chwi vot yn Dduw y chwy .
43:8:055:0	Ac nyd adnabuoch chwi ef : anid mi y adwaen ef , ac a dywedwn nyd adwaenwn , mi vyddwn gelwyddoc val chwithae : eithyr mi y adwaen ef , ac wyf yn cadw ei ’air .
43:8:056:0	Abraham eich tad a vu lawen‐iawn ganthaw weled vy‐dydd i , ac ef ei gweles , ac a lawenechawdd .
43:8:057:0	Yno y dyvot yr Iuddaeon wrthaw . Nyd wyt eto ddec blwydd a da’ugain oed , ac a weles ti Abraham ?
43:8:058:0	Yr Iesu a ddyvot wrthynt , Yn wir , yn wir y dywedaf wrthych , cyn bot Abraham ydd yw vi .
43:8:059:0	Yno y cymeresont wy geric , y’w davly ataw , a’r Iesu a ymguddiawdd , ac aeth allan o’r Templ .
