43:2:001:1	Pen . ij .
43:2:002:1	Christ yn troi ’r dwfr yn win . Ef yn gyrru ’r prynwyr ar gwerthwyr allan or Templ . Ef yn rac rhybuddiaw am ei varwolaeth ai gyuodedigaeth . Ef yn troi llawer , ac yn anymddiriaid wrth ddyn .
43:2:001:0	A’R trydydd dydd y bu priodas yn‐Cana dref yn-Galilaia , a’r mam yr Iesur oedd yno .
43:2:002:0	A’ gelwit yr Iesu ef ai ddiscipulon i’r briodas .
43:2:003:0	A’ phan ballodd gwin , y dywedawð mam yr Iesu wrthaw , Nid oes ’win y‐ddynt .
43:2:004:0	Yr Iesu a ddyuot wrthei , Peth ys yð i mi a wnel a thi wreic ? ny ddeuth vy awr eto .
43:2:005:0	Y vam ef a ddyvot wrth y gwasanaethwyr , Peth bynac a ddyweto ef wrthych , gwnewch .
43:2:006:0	Ac ydd oedd yno chwech ddwfrlestri o vain , wedy gosot , yn ol devot puredigaeth yr Iuddaeon a weddei ynthwynt dau ffirkin nei dri .
43:2:007:0	Yr Iesu a ddyuot wrthynt , Llanwch y dyfrlestri o ddwfr . Yno eu llanwasant wynt yd yr emyl .
43:2:008:0	Yno y dyvot ef wrthynt , Gellyngwch yr awr hon a’ dygwch at lywodraethwr y wledd . Ac wy ei dygesont .
43:2:009:0	A’ gwedy provi o lywrdraethwr y wledd y dwfr a wneuthesit yn win , ( can na wyddiat ef o bale y cawsit : anid y gwasanaethwyr a el’yngesent y dwr , a wyðent ) llywodraethwr y wledd a alwodd ar y priodaswr ,
43:2:010:0	ac a ddyvot wrthaw , Pop dyn a ’osyt win da yn gyntaf , a gwedy yddyn yvet yn dda , yno vn a vo gwaeth : tithae a gedweist y gwin da yd yr awrhon .
43:2:011:0	Hyn o ddechrae arwyddion a wnaeth yr Iesu yn Cana tref yn Galilaia , ac a ddangoses ei ’ogoniant , a’ ei ddyscipulon a credesōt ynthaw .
43:2:012:0	Gwedy yddo vyned i wared i Capernaum , ef a’ ei vam , a’i vroder a’i ðiscipulō : ac nyd aroesont yno ny‐mawr o ddyðie .
43:2:013:0	Can ys Pasc yr Iuðeon oedd yn agos . Am hyny ydd aith yr Iesu i vynydd i Caerusalem .
43:2:014:0	Ac ef a gavas yn y Templ yr ei a werthent ychen , a’ deueit , a’ cholombenot , a newidwyr arian , yn eistedd yno .
43:2:015:0	Ac ef a wnaeth ffrewyll o reffynnae , ac y gyrrawdd wy oll y maes o’r Templ y gyd a’r deueit , a’r ychen , ac a dywallodd arian y newidwyr , ac a ddymchwelawdd y borddae ,
43:2:016:0	ac a ddyuot wrth yr ei a werthent colombennot Dygwch ffvvrdd y pethe hyn o ddyma : na wnewch duy vy‐Tat , yn tuy marchnat .
43:2:017:0	A’ ei ddiscipulon a gofiesont , val ydd oedd yn escriuenedic , Y gwynvyt am dy duy a’m y sawdd i .
43:2:018:0	Yno ydd atepynt yr Iuddaeon , ac y dywedynt wrthaw , Pa sign a ddangosy i ni , can ys gwnai di y pethae hyn ?
43:2:019:0	Atepawdd yr Iesu a’ dywedawdd wrthynt , Goyscerwch y Templ hon , ac mevvin tri‐die y cyfodaf hi drachefyn .
43:2:020:0	Yno y dywedynt yr Iuddaeon , Chwech blynedd a’ dau ’gain y buwyt yn adailiad y Templ hon , ac a gyuody di hi mevvin tri die ?
43:2:021:0	Ac y cf a ddywedesei am Templ ei gorph .
43:2:022:0	Am hyny cy gynted y cyuodes ef o veirw , y cofient ey ddiscipulon ddywedyt o hanaw hyn wrthynt : a’ hwy a credessont yr Scripthur , a’r gair a ddywedesei yr Iesu .
43:2:023:0	Ac val yr oedd ef yn‐Caerusalem ar y Pasg yn yr wyl , llawer a gredesont yn y Enw ef , wrth weled y gwrthiae a wnaethoeðoedd ef .
43:2:024:0	A’r Iesu nyd ymddiriedawð yðyn am danaw ehun , can ys adwaeniad ef hwy oll ,
43:2:025:0	ac nad oedd arnaw eisiae testiolaethu o nep am ddyn : can y vot yn gwybot pa beth oedd mewn dyn .
