43:10:001:1	Pen . x .
43:10:002:1	Christ yw’r gwir vugail , a’r drws . Amryw varneu am Christ Ydd ys yn gofyn iddo , ai efe yw Christ . Ei weithredoedd yn datcan y vot ef yn Dduw . Bot galw y penawdurieit yn dduwiae .
43:10:001:0	YN wir , yn wir y dywedaf y chwi . Hwn nyd a y mewn drwy’r drws ir gorlan y deveit , anid dringo fforð arall , lleitr ac yspeiliwr yw ef .
43:10:002:0	Eithyr hwn a a y mewn drwy ’r drws , yw bugail y devait .
43:10:003:0	I hwn yð agor y drysor a’r devait a wrendy ei leferyð , a’ ei ðeveit ehun a eilw wrth y h’enw , ac ei dwc allan .
43:10:004:0	A’ phan ddanvono ei ddeveit ehun allan , ydd a o ei blaen wy , a’r deueit y canlyn ef : can ys adwaenant y leferydd ef .
43:10:005:0	A’r dyn dieithr ny’s canlynant , anid ciliaw ywrthaw . can ys nad adwaenant leferydd dieithreit .
43:10:006:0	Y parabol hwnn a ddyvot yr Iesu wrthwynt ac ny ddyallesont wy pa bethae oeð yr hynn ddywedesei ef wrthwynt .
43:10:007:0	Yno y dyvot yr Iesu wrthwynt drachefyn , Yn wir , yn wir y dywedaf wrthych , Mi yw’r drws y deveit .
43:10:008:0	Cynniuer oll a ddeuthant om blaen , llatron ynt ac yspeilwyr : eithyr ny wrandawawdd y deveit ddim hanwynt .
43:10:009:0	Mybi yw’r drws : trywo vi a’s aa nep y mewn , e vydd cadwedic , ac ef aa y mewn ac aa allan , ac a gaiff borfa ,
43:10:010:0	Y lleitr ny ddaw , an’d i ledrata , ac y ladd , ac y ddinistriaw : myvi a ddeuthym val y caffent vywyt ac er caffael o hanwynt yn ehelaeth . Yr Euangel yr ail Sul gwedy ’r Pasc .
43:10:011:0	¶ Mivi yw ’r bugailda : y bugail da a ryð ei enait dros ei ddevait .
43:10:012:0	Eithyr y gwas‐cyfloc a’r hwn nyd yw bugail , ac ny phiae’r deveit , a wyl y blaidd yn dyvot , ac a edy yr deveit , ac a gilia , a’r blaidd ei ysglyfia , ac a darfa ’r deveit .
43:10:013:0	A’r gwas‐cyfloc a gilia , can y vot ef yn was‐cyfloc , ac eb ovaly am y deveit .
43:10:014:0	Mi yw’r bugail da , ac a adwaen y deueit meuvi , ac im adwdenir y gan y meuvi .
