43:4:001:1	Pen . iiij .
43:4:002:1	Ymddiddan Christ a’r wraic o Samareia . Ei vawrserch ar ei Dad ai gynayaf ef . Ymchweliat y Samarieit , A’r Galilaieit . Podd yr iachaodd ef vap y llywiawdwr .
43:4:001:0	WEithian pan wybu yr Arglwydd , glybot o’r Pharisaiait , wneuthy ’r o hanaw ef a’ batyddiaw vwy o nifer ðiscipulon nac Ioan ,
43:4:002:0	( cyd na vadyddiai Iesu ehun : eithr ey ddiscipulon )
43:4:003:0	ef a adawodd Iudaia , ac aeth ymaith i’r Galilaia .
43:4:004:0	A’ dir oedd y‐ddaw vyned trwy Samareia .
43:4:005:0	Yno y deth ef y ðinas yn Samareia a elwit Sychar , yn gyfagos at y vaenawr a roesei Iacov , y’w vap Ioseph .
43:4:006:0	Ac yno ydd oedd ffynnō Iacov . Yno’r Iesu wedy’ blino y gan y daith a eisteddawdd velhyn ar y ffynnon yn cylch y chwechet awr ytoedd hi :
43:4:007:0	Daeth gwraic o Samareia i gody dwfr . Dywedyt o’r Iesu wrthei , Moes i mi ddiawt .
43:4:008:0	Can ys ei ddiscipulon aethēt ymaith i’r ddinas , i brynu bwyt .
43:4:009:0	Yno y dyuot y wraic o Samareia wrthaw , Pa vodd yw a’ thydi yn Iuddew , y govynny ddiawt i mi , yr hon wyf ’wraic o Samareia ? Can nad yw’r Iuddaeon yn ymgystlwng a’r Samareit .
43:4:010:0	Atepawdd Iesu ac a ddyuot wrthei , Pe’s adwaenyt ddawn Duw , a’ phwy ’n yw a ddywait wrthyt , Moes i mi ddiawt , tudi a’ ovynesyt y‐ddaw ef , ac ef a roesei yty y dwfr bywyt .
43:4:011:0	Dywedawdd y wraic wrthaw , Arglwydd , Nyd oes genyt ddim y gody‐dwfr , a’r pytew ’sy ddwfyn : ac o b’le y mae genyt y dwfr byw hvvnvv ?
43:4:012:0	Ai mwy wy‐ti na’n tat ni Iacov , yr hwn a roes i ni y pytew hwn , ac ef ehun a yfawdd o hanaw , a’ ei blant , ai aniuailieit .
43:4:013:0	Atepawdd yr Iesu a’ dywedawdd wrthei , Pwy pynac a yfo o’r dwfr hwn , a sycheda drachefyn :
43:4:014:0	and pwy pynac a yfo o’r dwfr a roðwy vi ydddaw , ny sycheda yn dragyvyth : eithyr y dwfr a roddwy vi ydd‐aw a vyð yndaw yn ffynnō o ddwfr , yn tarðu i’r bywyt tragyvythawl .
43:4:015:0	Dywedawdd y wraic wrthaw , Arglwydd , dyro i mi or dwfr hwnw , val na sychedwyf , ac na ddelwyf yman y gody dvvr .
43:4:016:0	Dywedawdd yr Iesu wrthei , Dos , galw dy ’wr , a’dyred yman ,
43:4:017:0	Y wreic a atepoð ac a ðyuot , Nyd oes i mi vn gwr . Yr Iesu a ðyuot wrchei , Da dywedaist , Nyd oes y mi vn gwr .
43:4:018:0	Canys bu y‐ti bemp gwyr , a’r hwn ys y yti ’nawr nyd yw wr yti : gwir a ddywedaist ar hyny .
43:4:019:0	Dywedawdd y ’wraic wrthaw , Arglwydd , gwelaf may Prophwyt ytwyt .
43:4:020:0	Ein tadae a addolent yn mynyth hwn , a chvvychwi a ddywedwch , mai yn Caerusalem y mae’r lle y dylir addoly .
43:4:021:0	Yr Iesu a ddyvot wrthei , Hawreic , cred vyvi , y mae yr awr yn dyuot , pryd na’c yn y monyth hwn , na’c yn Caerusalem yr a ddoloch y Tat .
43:4:022:0	Chwychvvi a addolwch y peth ny wyddoch , nyni a addolwn y peth a wyðam : can ys yr iechyd’sydd or Iuðeō .
