43:17:001:1	Pen . xvij .
43:17:002:1	Gweddi Christ ar y Tat , a’ throsto yhun a’ thros ei Ebestyl a’ hefyd tros y sawl oll a dderbyniant y gwirionedd .
43:17:001:0	Y Pethe hyn a’ adroddawdd yr Iesu , ac a dderchavawdd ei lygait er nef , ac a ddyvot , Y Tat , mae’r awr wedy dyuot : gogonedda dy Vap , megis ag y gallo dy Vap dy ’ogoneddu di .
43:17:002:0	Mal y rhoddeist yddaw veddiant ar bop cnawt , y roddy o hanaw vuchedd dragyvythawl y ginniuer oll ac a roðeist yddaw .
43:17:003:0	A’ hon yw’r vucheð tragyvythawl , ’sef yddyn dy adnabot ti y vot yn vnic wir Dduw , a’r hwn a ddāvoneist Iesu Christ .
43:17:004:0	Mivi ath ’ogoneddais ti ar y ddaiar : cwpleis y gwaith y roddeist ymy yw wneuthur .
43:17:005:0	Ac yr awrhon gogonedda vi , tu di Dat , gyd a thydy , a’r gogoniant a oedd i mi gyd athi o vlaen bot y byt .
43:17:006:0	Eglurais dy Enw y ddynion yr ei a roðeist ymi allan or byt : tau di oddent , a’ rhoddaist hwy i mi , a’ chadwasant dy ’air .
43:17:007:0	Yr awrhon y gwyddant , am yr oll pethae bynac a’r a roddeist i mi , y bot o hano ti .
43:17:008:0	Can ys rhoesym yddynt y geiriae , a rhoðeist y mi , ac wynt eu derbyniniesont , ac a wybuont yn ddieu ddyuot o hanof y wrthyt , ac a gredesont mai tu am danvonawdd i .
43:17:009:0	Mivi sy yn gweddiaw drostynt : nyd wyf yn gweddiaw tros y byt , eithr tros yr ei a roddeist y my : can ys tau ydynt .
43:17:010:0	A’r oll vau yyn tau , a’r tau yyn vau , ac im gogoneddir ynddynt .
43:17:011:0	Ac yrowrhon nyd wyf mwyach yn y byt , eithyr bot rhei ’n yn byt , a’ mi ’sy yn dyuot atat . Y Tat sanct , cadw hwy yn dy Enw , ’sef yr ei a roðeist ymy , yn y vont vn , val ydd ym ni .
43:17:012:0	Tra oeðwn gyd ac wynt yn y byt , mi ei cedweis hvvy yn dy Enw : yr ei a roddeist y‐my , a gedweis , ac ny chollwyt yr vn o hanynt anyd y map y cyfergoll , er cyflawuy ’r Scrythur ’lan .
43:17:013:0	Ac yr awrhon yd af atat , a’r pethe hyn ydd wyf yn y hadrodd yny byt , val y caffant vy llewenydd yn gyflawnedic ynddynt ehunain .
43:17:014:0	Mivi a rois yddynt dy ’air , a’r byt y casaodd hwy , can nad ynt o’r byt , megis ac nad wy vi o’r byt .
43:17:015:0	Nyd weddiaf a’r gymeryt o hanoti hwy allan o’r byt , eithyr ar y ty y cadw hwy y wrth ddrwc .
43:17:016:0	Nyd ynt vvy o’r byt , megis ac nyd yw vinef o’r byt .
43:17:017:0	Sancteiðia hwy ath wirioneð : dy ’air ’sy wirionedd .
43:17:018:0	Megis yd anvoneist vi ir byt , velly yd anvoneis i’n hwy ir byt .
43:17:019:0	Ac er y mwyn hwy yr ymsancteiddia vi , megis ac y sancteiddier hwythe hevyt trwy ’r gwirionedd .
43:17:020:0	Ny weðiaf tros y’r ’ei hyn yn vnic , eithyr tros y sawl hefyt a’r a gredant ynof vi , trwy y gair hwy ,
43:17:021:0	megis y byddant vvvy oll yn vn , mal ti , Dat , vvyt yno vi , a’ myvi yno ti : sef mal y bont wythe hefyt yn vn ynom’ , mal y credo ’r byt ddarvot y ti vydanvon i .
43:17:022:0	A’r gogoniant a roddeist i mi a rois i ydd wynt , mal y bont vn , meis ydd ym ni vn ,
43:17:023:0	myvi ynddynt hvvy , a’ thi yno vi , y n y vont gwbl yn vn , ac y n y wypo ’r byt , mai ti am danvonawdd i , ac y cereist hwy , megis y ceraist vi .
43:17:024:0	Y Tad , wyllysu’ ddwyf am yr ei a roddeist y‐my , y bot wy gyd a mi yn y lle ac ydd yw vi , val y cahant edrych y gogoniant meuvi , yr hwn a roddeist y mi : can ys ceraist vi cyn no bot sailiat y byt .
43:17:025:0	A Dat cyfiawn , y byt hefyt nith adnabu , a’ mivi ath adnabuo , a’r ei hyn a adnabuant , mai tudi a’m danvonawdd .
43:17:026:0	A’ mi ddatcenais yddynt dy Enw , ac eu datcanaf y n y bo y cariat y cereist vi , ynddynt‐hwy , a’ mine ynddynt hvvytheu .
