43:12:001:1	Pen . xij .
43:12:002:1	Christ yn esouso gweithred Mair . Ewyllys da yr ei tu ac ato ef , a’ chynðaredd ereill yn y erbyn ef a’ Lazarus . Cōmoynas y
43:12:003:1	*
43:12:004:1	groes
43:12:005:1	groc . Y weddi ef . Atep y Tat . Y varwoleth ef , a’ ei ffrwyth . Ef yn annoc i ffyð . Delli yr ei , a’ gwendit yr eill .
43:12:001:0	YNo yr Iesu chwech diernot cyn y Pasc a ddaeth i Bethania , lle yr oeð Lazarus , y vesei varw , ’rhwn a godesei ef o vairw .
43:12:002:0	Wy wnaethēt y‐ddaw yno swper , a’ Martha oedd yn gwasanaethu : a’ Lazarus oedd vn or ei a eisteddent i vwyta y gyd ac ef .
43:12:003:0	Yno y cymerth Mair bunt o irait o spicnard tra gwerthvawr , ac a irawdd draet yr Iesu , ac a sychawdd ei draet ai gwallt , a’r tuy a lanwyt o arogl yr irait .
43:12:004:0	Yno y dyvawt vn oi ddiscipulon , ’sef Iudas Iscariot ’ap Simon , yr hwn oedd ar vedr y vradychu ef ,
43:12:005:0	Paam na werthit yr irait hwn er trichant ceinioc , a’u roddi i’r tlodion ?
43:12:006:0	Ef a ddywedei hyny , nyd o herwydd y govalei ef am y tlodion , anyd am y vot ef yn lleidr , a’ bot yr amner ganthaw , ac yn dwyn hyn a roddit yndo .
43:12:007:0	Yno y dyvot yr Iesu , Gedwch yddhi : erbyn dydd vy‐claddedigeth eu cadwodd hi hyn .
43:12:008:0	Can ys y tlodion a gewch bop amser gyd a chwi : a’ minef ny chewch bop amser .
43:12:009:0	Velly tyrfa liosawc o’r Iuddaeon a wybu y vot ef yno : ac vvy ddaethant nyd er mvvyn yr Iesu yn vnic , eithr er mvvyn gwelet Lazarus hefyt , yr vn a godesei ef o vairw .
43:12:010:0	Yno yr ymgygcorawdd yr Archoffeiriat , ar yddyn ddivetha Lazarus hefyt ,
43:12:011:0	o bleit bot llawer o’r Iuddaeon er y vwyn ef yn myned ymaith , ac yn credu yn yr Iesu .
43:12:012:0	Tranoeth tyrfa liosawc rhon a ddaethei erbyn ir ’wyl , pan glywsāt y dauei ’r Iesu i Gaerusalem ,
43:12:013:0	a gymeresont geinciae o’r palmwydd , ac aethant ymaith y gyfwrdd ac ef , ac a lefesont , Hosanna , Bendigedic yvv ’r Brenhin yr Israel yr hwn ’sy yn dyvot yn Enw yr Arglwydd .
43:12:014:0	A’r Iesu a gafas asennic , ac a eisteddawdd arnaw , megis y mae yn escrivenedic ,
43:12:015:0	Nac ofna , haverch Tsion : nacha dy Vrenhin ’s yn dyvot gan eistedd ar ebol asen .
43:12:016:0	Ac ny ðyallei ey ddiscipulon y pethe hyn y waith gyntaf : eithyr wedy gogoneddu yr Iesu , yno y cofiesont vvy , pan yvv bot y pethe hyn yn escrivenedic o honaw , a’ daruot yddynt wneuthur y petheu hyn yddaw ef .
43:12:017:0	Y dyrva gan hyny rhon oedd y gyd ac ef , a destolaethawdd ’alw o hanaw ef Lazarus allan o’r bedd , ac yddo y gody ef o vairw .
43:12:018:0	Am hyn y cyfarvu y dorf hefyt ac ef , can ys clywsent wneuthur o hanaw y micacl hwn .
43:12:019:0	A’r Pharisaieit a ddywedesont wrthyn y hunain , A welwch na’d yw yn tycio ðim ? Nacha ’r byd sy yn myned ar y ol ef .
43:12:020:0	Ac ydd oedd ryvv Croecwyr yn y plith wy , r’ ei ddaethent y vynydd y addoli ar yr ’wyl .
43:12:021:0	Ac wy ddaethant at Philip , yr hwn oeð o Bethsaida yn‐Galilaia , ac a ddeisyf esont arnaw , gan ddywedyt , Arglwydd , ni a wyllysem ’weled yr Iesu .
43:12:022:0	Philip a ddaeth ac a ðyvot i Andreas : a’ thrachefyn Andreas a’ Philip a ddywedesont i’r Iesu .
43:12:023:0	A’r Iesu a atepawdd ydd‐wynt , can ddywedyt , E ddaeth yr awr , pan y gogonedir Map y dyn .
43:12:024:0	Yn wir , yn wir y dywedaf y‐chwy . A ny syrth y gronyn gwenith ir ddaiar a’ marw , ef a aros yn vnic , eithyr a’s bydd marw , e ðwc ffrwyth lawer .
43:12:025:0	Hwn a garo eu einioes , ei cyll , a’ hwn a gasao ei einioes yn y byt hwn , ei caidw i vywyt tragyvythawl .
43:12:026:0	A’s gwasanaetha nep vi , dylynet vi : can ys lle y bwy vi , yno hefyt y bydd vy‐gwas : ac a’s gwasauaetha neb vi , vy‐Tat y anrydeða ef .
43:12:027:0	Yr owrhon y cynhyrfir vy enait : a’ pha beth ddywedaf ? Y Tat , cadw vi rhac yr awr hon : eithyr o bleit hyn y daethym’ i’r awr hon .
