43:5:001:1	Pen . v .
43:5:002:1	Ef yn iachau yr dyn a vesei glaf amyn dwy blyddedd da’ugain . Yr Iuddaeon yn y gyhuvdaw ef . Christ yn atep trosdaw ehun , ac yn y argyoeddy hwy . Gan ddangos drwy destoliaeth ei Dat . Am Ioan . O y weithredoedd ef Ac o’r Scrythur ’lan pwy ’n yw ef .
43:5:001:0	GWedy hyny , ydd oedd gwyl yr Iuddaeon , a’r Iesu a escendawð i Caerusalem .
43:5:002:0	Ac y mae yn‐Caerusalem wrth y ðevaidiawc ’lyn a elwir in Ebreo Bethesda , ac iddo pemp porth :
43:5:003:0	yn yr ei’n y gorwedei lliaws mawr o gleifion , o ddaillion , cloffion , a’ gwywedigion , yn dysgwyl am gyffroedigeth y dwfr .
43:5:004:0	Can ys Angel yr Arglvvydd a ddescennei ar amsere ir llyn , ac a gynnyrfei ’r dwfr : yno pwy pynac yn gyntaf ar ol cynnyrfiat y dwfr , a ddescendai y mywn , a iachaijd o ba ryw haint bynac a vei arnaw .
43:5:005:0	Ac ydd oedd yno ryw ddyn yr hwn a vesei yn glaf n’amyn es dwy vlwyðyn da’ugain .
43:5:006:0	Pan ’welawdd yr Iesu ef yn gorwedd , a’ gwybot y vot ef ys cyhyd o amser yn glaf , ef a ddyuot wrthaw , A wyllysy dy wneuthu’r yn iach ?
43:5:007:0	Atepawdd y claf yddaw , Arglwyð , nyd oes genyf nep , pan gynnyrfer y dwfr , i’m dodi yn y llyn : eithy’r tra vwy vi yn dyuot , arall a ddescend o’m blaen .
43:5:008:0	Dywedawdd yr Iesu wrthaw , Cyvot : cymer ymaith dy glwth a’ rhodia .
43:5:009:0	Ac yn ebrwydd y gwnaed y dyn yn iach , ac ef gymerth‐ymaith ei ’lwth , ac a rodiawdd : a’r Sabbath oedd ar y diernot hwnw .
43:5:010:0	Dywedyt am hyny o’r Iuðaion wrth hwn a wnaethesit yn iach , Dydd Sabbath yw hi : nyd yw gyfreithlawn y‐ti gymryd‐ymaith dy ’lwth .
43:5:011:0	Attepawdd yddwynt , Hwn a’m gwnaeth i yn iach , ys ef a ðyuot wrthyf , Cymer dy ’lwth , a’ rhodia ?
43:5:012:0	Yno y gofynnesont iddaw , Pa ddvn yw hwnw a ddyvot wrthyt , Cymer‐ymaith dy ’lwth , a’ rhodia ?
43:5:013:0	A’hwn a iachaesit , ny wyddiat pwy ’n oedd ef : can ys yr Iesu a dynnesi ymaith y wrth y dyrfa ’oedd yn y van hono .
43:5:014:0	Gwedy hyny y cafas yr Iesu ef yn y Templ , ac addyuot wrthaw , Wely ith wnaethpwyt yn iach : na phecha mwyach , rac dyvot y‐ty beth a vo gwaeth .
43:5:015:0	Y dyn aeth ymaith , ac a venegawdd i’r Iuddaeon . may ’r Iesu oedd hwn a ei gwnaethesei ef yn iach .
43:5:016:0	Ac am hyny ydd erlidiynt yr Iuddeon yr Iesu , ac y caisynt y ladd ef , can y‐ddaw wneuthyd y pethae hyn ar y dydd Sabbath .
43:5:017:0	A’r Iesu y atepawð wy , Vy‐Tat ys y yn gweithiaw yd hyn , a’ minef ’sy y yn gweithiaw .
43:5:018:0	Am hyny y caisiai’r Iuddaeon yn vwy y ladd ef ? nyd yn vnic can ydd‐aw dori’r Sabbath : eithyr dywedyt hefyt mai Duw oedd ei Dat , a’i wneuthu’r y hun yn gydstat a y Duw .
43:5:019:0	Yno ydd atepawdd yr Iesu , ac y dyuot wrthwynt , Yn wir y dywedaf y chwi , Nyd aill y Map wneuthu’r dim o hanaw ehun , anyd hyn a wyl ef y Tat yn y wneuthu’r : can ys pa bethae bynac a wna ef , y pethae hyny a wna’r Map hefyt .
43:5:020:0	Can ys y Tat a gar y Map , ac a ðengys y‐ddo pop peth oll , a’r wna a yntef , ac ef a ddengys y‐ddaw weithredoedd mwy na ’r‐ein , val y bo y chwi ryveddu .
43:5:021:0	Can ys mal y cyvyt y Tat y meirw , ac ei bywha , velly y bywha y Map yr ei a ewyllysa ef .
43:5:022:0	Can ys ny varn y Tat nebun , eithyr yr oll varn a roddes ef ir Map .
