43:1:001:1	Pen . j .
43:1:002:1	Duwdap , dyndap , a’ swydd Iesu Christ . Testiolaelh Ioan . Galwedigaeth Andreas , Petr . &c .
43:1:001:0	YN y dechrae ydd oeð y Gair , a’r Gair oeð y gyd a Duw , a’r Gair hwnw oeð Duw .
43:1:002:0	Hwn oedd yn y dechrae gyd a Duw .
43:1:003:0	Oll a wnaethpwyt trwy ’r Gair hwnw , ac ebddaw ny wnaethpwyt dim a’r a wnaethpwyt .
43:1:004:0	Ynddaw yð oedd bywyt , a’r bywyt oedd ’oleuni dynion .
43:1:005:0	A’r goleuni a dywyn yn y tywyllwch , a’r tywyllwch nid oedd yn ei amgyffred .
43:1:006:0	Ydd oedd gwr a ddanvonesit y gan Dduw , a’ ei enw oedd Ioan .
43:1:007:0	Hwn a ddaeth yn testiolaeth , y destiolaethu o’r goleuni , y n y chredent oll trwyddaw .
43:1:008:0	Nyd efe oedd y goleuni hwnw , eithr e ddanfonesit y destiolaethu o’r goleuni .
43:1:009:0	Hvvnvv oeð y gwir ’oleuni y sy yn goleuo pop dyn ’syn yn dyuot ir byd .
43:1:010:0	Yn y byd ydd oedd ef , a’r byd a wnaethpwyt trwyddaw ef : a’r byd nyd adnabu ddim o hanaw .
43:1:011:0	At yr ei‐’ddaw y hun y daeth , a’r ei‐’ddaw yhun ny ’s dderbynesont ef .
43:1:012:0	A’ chynniuer aei derbyniesont ef , rhoes y‐ddwynt vraint y vot yn veibion i Dduw , ’sef ir sawl a credant yn y Enw ef ,
43:1:013:0	yr ei a anet nyd o waed , nac o ewyllys y cnawd , na’c o ’wyllys gwr , eithr o Dduw .
43:1:014:0	A’r Gair hvvnvv a wnaethpwyt yn gnawt , ac a drigiawð yn ein plith , ( a’ gwelsam ei ’ogoniant , vegis gogoniant vn ganedic vap yvvrth y Tad ) yn l’awn’rat a’ gwirionedd .
43:1:015:0	Ioan a testolaethei am danaw , ac a lefei , gan ddywedyt , Hwn oedd yr vn y ddywedais am danaw , Hwn y ddaw ar v’ ol i , oedd vlaenor i mi : can ys y vot yn gyntaf ei ragorvraint na mi .
43:1:016:0	Ac oei gyflawnder ef yd erbyniesam bavvp oll , a ’rhat dros rat .
43:1:017:0	Can ys y Ddeðyf a roet trwy Moysen , eithyr y Rat a’ gwirioneð ys y trwy Iesu Christ .
43:1:018:0	Ny welas nep Dduw er ioed : yr vn‐Map‐geni , yr hwn ’sy ym‐monwes y Tat , hwnw ai amlygawdd ef i ni . Yr Euangel y iiij . Sul yn yr Aduent .
43:1:019:0	¶ A’ hyn yw testiolaeth Ioan , pan ddanvonent yr Iuðaeon Offeiriait a’ Levitae o Gaerusalem , y ofyn ’yddaw , Pwy ’n wyti ?
43:1:020:0	Ac ef a gyffesawdd , ac ny wadawdd , ac a addefawdd yn ddiledlef , Nid mi yw’r Christ .
43:1:021:0	Yno y gofynesont iddaw , Beth yntef ? Ai Elias yvv ti ? Ac ef a ddyuot , Na’c ef . A’dyvvedent , Ai ’r Prophwyt yw ti ? Ac ef a wrthebawð , Na’c ef .
43:1:022:0	Yno y dywedesont wrthaw , Pwy ’n wyt val y gallom ni roi atep ir ei a’n danvonawdd ni ? beth dywedy am danad dyhun ?
43:1:023:0	Eb yr yntef , Mi yvv llef vn yn llefain yn y diffaith , Cyweiriwch ffordd yr Arglwyð , mal y dyuot Esaias Prophwyt .
43:1:024:0	A’r ei a ddanvonesit , oeðent o’r Pharisaiait .
43:1:025:0	Ac wy a ’ovynesont iddaw , ac a ddywedesont wrthaw , Paam gan hyny y batyddy , anyd wyt’ y Christ , na’c Elias , na’r Prophwyt ?
43:1:026:0	Ioan ei hatebawdd , gan ddywedyt , Mi ’sy yn batyddio a dwfr : eithyr y mae vn yn sefyll yn eich plith , a’r nyd adwaenw‐chwi .
43:1:027:0	Efe yw yr vn a ddaw ar v’ol i , ac a wnaed yn vlaenawr i mi , yr hwn mi nyd wy deilwng y ddatdod carrae y escit .
43:1:028:0	Y pethae hyn a wnaethpwyt ym‐Bethabara y tuhwnt i Iorddanen , lle batyddiei Ioan .
43:1:029:0	Tranoeth gwelet o Ioan yr Iesu yn dyuot ataw , a ’dywedyt , Wely yr Oen Duw yr hwn ’sy yn tynnu-ymaith pechotae ’r byt .
43:1:030:0	Hwn yw ef am yr vn y ddywedais , A’r v’ol i y mae gwr yn dyuot yr hwn a wneithit yn vlaenawr rhagof : can vot ei ragorieth yn gyntaf na mi .
43:1:031:0	A’ mi nyd adwaenwn ef : eithyr mal yr amlygit ef ir Israel , am hyny y daythy‐mi , gan vatiðio a dwfr .
43:1:032:0	Sef y testolaethei Ioan , gan ddywedyt , Ys gwelais yr Yspryt yn descend o’r nef megis colomben , ac hi a a arosei arnaw .
43:1:033:0	A’ mi nyd adnabum ef : eithr yr hwn am danvonawdd i vatydddio a dwfr , y ef a ddyvot wrthyf , Ar yr hwn y gwelych yr Yspryt yn descend ac yn aros yn vvastat arnaw , hwnw yw’r vn ’sy yn batyddio a’r Yspryt glan .
43:1:034:0	A’ mi a i gwelais ac a testolaethais mai hwn yw Map Duw .
