43:15:001:1	Pen . xv .
43:15:002:1	Y melus ddiddamoch a’r cydgariat rhwng Christ ai aylodeu
43:15:003:1	15 : 0
43:15:004:1	‡
43:15:005:1	vvrth
43:15:006:1	dan ddamec y winwydden . Am ei cyffredin vlinderwch ai hymlit . Swydd yr Yspryt glan a’r Apostolon .
43:15:001:0	MIvi yw ’r winwydden , a’m Tat ys a lavurwr .
43:15:002:0	Pob caingen ny ddwc ffrwyth ynofi , ef ei tynn ymaith : a’ phob vn a ddwc ffrwyth , ef ei carth , mal hi dyco mwy o ffrwyth .
43:15:003:0	Yr awrhon ydd ywch’ yn ’lan can y gair , a ðywedais ychwi .
43:15:004:0	Aroswch ynof , a’ mi ynoch : megis na all y gaingen ddwyn ffrwyth o hanei ehun , a nyd erys yn y winwydden , velly nyd ’ellwch chwi , anyd aroswch ynof .
43:15:005:0	Mi yw’r winwyddyn : chwi yw’r cangenae : y nep a roso ynof , a mi ynddaw , hwnn a ddwc ffrwyth lawer : can ys eb ofi , ny ellwch wneythy dim .
43:15:006:0	An’d erys vn ynofi , e a tavlwyt allan val cangē , ac a wywa : ac y cesclir wy , ac ei tavlir yn tan , ac ei lloscir .
43:15:007:0	A’d aroswch y nof , ac aros o’m gairiae ynoch , erchwch beth bynac a ewyllysoch , ac eu gwnair y chwy .
43:15:008:0	Yn hynn y gogoneðir vy‐Tat , ar y chwi ddwyn ffrwyth lawer , a’ch gwnaethy’r yn ddiscipulon i mi .
43:15:009:0	Mal y carawdd y Tat vi , velly y ceraisi chwi : trigwch yn vy‐cariat .
43:15:010:0	A’s vy‐gorchymynion a gedwch , aros a wnewch’ yn vy‐cariat , megis ac y cedweis i ’orchmyniō vy‐Tat , ac ydd arosaf yn y gariat ef .
43:15:011:0	Y pethae hyn a ddywedeis wrthych , y n yd aroso vy llewenydd ynoch , a’ bot eich llawenydd yn gyflawn .
43:15:012:0	Hwn yw ’r gorchymyn meuvi , bot y chwi garu bavvp eu gylydd , mal y cerais i chwichvvi .
43:15:013:0	Cariat mwy no hwn nyd oes gan nep , pan ddyd nebvn ei einioes tros ei gereint .
43:15:014:0	Chwychvvi yw vy‐cereint , a’s gwnewch y pethae bynac a orchymynaf ychwy .
43:15:015:0	Weithian , ny’ch galwaf chvvi yn weisiō , can na wyr y gwas pa beth a wna ei Arglwydd : eithyr gelwis chwi yn gereint : cā ys yr oll bethe ar a glyweis y gan vy‐Tat , a wnethum‐yn‐wybodedic y‐chwy .
43:15:016:0	Nyd chwychvvi am detholawdd i , eithyr mivi ach detholais chwi , ac ach darpareis chvvi , y vyned o hanoch a’ dwyn ffrwyth , a’ bot ich ffrwyth aros , val ba herh bynac a archoch ar y Tat yn vy Enw i , y rhoddo ef y‐chwi . Yr Euāgel ar ddydd Simon ac Iudas .
43:15:017:0	¶ Y pethae hynn a ’orchymynaf y‐chwy , cary o hanoch y gylydd .
43:15:018:0	A’s y byt a’ch casaa , gwyddoch gasay o honaw vi cyn na chwi .
43:15:019:0	Pe o’r byt y bysech , y byt a garei yr eiddo : a chan nad ych or byt , eithyr i mi ech ethol allan or byt , am hynny y casaa’r byt chwi .
43:15:020:0	Coffewch y gair a ddwedais ychwy , Nid mwy gwas na ei Arglwydd . A’s erliedesont vi , wy ach erlidiant chwi hefyt : a’s vy‐gair i a gatwasant , wy gatwant eich gair chwi .
43:15:021:0	Eithyr y pethae hyn oll a wnant y‐chwy er mwyn vy Enw i , can nad adnabuant yr hwn am danvonawdd .
43:15:022:0	Pe byswn eb ddyvot , ac eb ymddiddan ac wynt , ny byddei arnynt pechat : an’d yr owrhon nid oes yddwyut liw ymescus .
43:15:023:0	Y nep am casaa i , a gasaa vy‐Tat hefyt .
43:15:024:0	Pe na’s gwnaethwn weithredoedd yn y plith wy , yr ei ny’s gwnaethei nep arall , ny bysei pechat arnynt : ac yr owrhon y gwelsont , ac a’m casesont i a’m Tat .
43:15:025:0	Eithr hynn ys ydd er cwplay y gair , a ysrivenir yn y Deddyf wy , Wy am casesont i yn rhat .
43:15:026:0	An’d pan ddel y Dyddanwr , yr hwn a ddanvonwy vi atoch y wrth y Tat , ys ef Yspryt y gwirionedd , yr hwn a ddaw y wrth y Tat , hwnw , a testiolaetha am danaf ,
43:15:027:0	a’ chwi destoliaethwch hefyt , can eich bot o’r dechraeat gyd a mi .
