19:94:001:1	K'ééhodi'nééh bíká sohodizin
19:94:001:0	Bóhólníihii Diyin God, k'éédidíí'níiłii nílíinii, Diyin God k'éédidíí'níiłii nílíinii, ííshjání í'dílnééh! 
19:94:002:0	Nihokáá' dine'é yá nihwii'aahii nílíinii, díldzíiłgo diné ádaa daha'niihii k'éédahodídle'! 
19:94:003:0	Bóhólníihii nílíinii, haa nízahjį'shą' diné doo yá'ádaashóonii bił dahózhǫ́ǫgo ádaa daha'niih doo? 
19:94:004:0	Áshohódli' yee hadahadziih índa diné doo ákwii ádaaníiłii t'áá ałtso ádaa daha'niih. 
19:94:005:0	Bóhólníihii nílíinii, éí nidine'é yik'i naajeeh áádóó diné níí' danilíinii yide ádahósin. 
19:94:006:0	Asdzání bąąh áhásdįįdii áádóó dé'éyóní índa áłchíní bizhé'é ádinii nideiłtseed. 
19:94:007:0	Nidi nida'ałtseedii ádaaní, Bóhólníihii díí doo yizdoołtséeł da; Jéíkab biDiyin God nidi díí doo baa ákozdínóozįįł da. 
19:94:008:0	Diné bitahgi doo nitsíkeesii nohłíinii, ak'ida'doohtįįh! Doo ádaho łyáanii, hahgo lá dahodoosąął? 
19:94:009:0	Ajaa' adiits'a'go áyiilaii, éí adiits'a'. Anáá' áyiilaii, éí oo'į́. 
19:94:010:0	Ał'ąą dine'é yich'ahashkéego neinitinii k'éhézdon niná'iidlóós. Ił ééhózin diné yee neinitinii bił ééhózin. 
19:94:011:0	Bóhólníihii éí nihokáá' dine'é bintsíkees danilíinii t'áadoo nánídlínígóó bił bééhózin.  
19:94:012:0	Bóhólníihii nílíinii, diné nanítinii áádóó bee hosíníł'áanii bínabiníłtinii, éí bik'ihojidlí. 
19:94:013:0	Áko diné doo yá'ádaashóonii bá hahwiis'niljį', bik'ijiinídlíii éí ach'į' nahwii'ná yits'ą́ą́dóó hanályį́įhgo ádíílííł. 
19:94:014:0	Háálá Bóhólníihii bidine'é doo yóó'iidoołkał da áádóó diné hóó' danilíinii doo yóó'azhdidoo'áał da. 
19:94:015:0	Jó, bee nihodiit'aahii t'áá ákogi át'é nídoodleeł, áko bijéí yee t'áá ákogi ádaat'éii yik'ehgóó ádaaníił doo. 
19:94:016:0	Diné ádił da'ílzíihiishą' háí shá yich'į' náádii'nah? Doo ákwii ádaaníiłiishą' háí shá yich'ą́ą́h sizį́į doo? 
19:94:017:0	Bóhólníihii doo shíká eelwodgóogo shii' sizíinii t'áadoo hodíína'í bił hodiiyeel doo nít'éé'. 
19:94:018:0	Kodi ałtádiisghaas, dííniidgo, Bóhólníihii nílíinii, aa a'ááh nínízinii bee de áshíínísin. 
19:94:019:0	Shijéí bi'diił'áhígíí lą'í yileehgo nits'ą́ą́dóó bee hada'ahóníinii shii' sizíinii t'áá íiyisí yił náhooshǫǫł. 
19:94:020:0	Naat'áanii doo yá'áshóonii, éí bee haz'áanii yee doo yá'át'éehii yinaha'áii, da' éísh t'áá bił ałch'odíí'niił? 
19:94:021:0	Diné t'áá ákogi át'éego hináanii yiniyé ałhínéikah, índa diné doo ádihodiilt'i'ii dadootsaałgo bidił doonahjį' yá nídahwii'aah. 
19:94:022:0	Nidi Bóhólníihii bine' nehesdzíihii nilį́; shiDiyin God éí tsé bine' ahinishchéehii nilį́. 
19:94:023:0	T'áá bí doo ákwii ádáát'įįdii bik'ijį' nídadoodleełgo íidoolííł áádóó t'áá bí doo yá'áshónígi ádáát'įįdii biniinaa ábidi'dooldįįł. T'áá aaníí Bóhólníihii nihiDiyin God ábidoołdįįł.
