19:90:001:1	Diyin God éí nízaadgóó hólǫ́ áádóó diné éí t'óó kónígháníjį' hojílǫ́
19:90:002:1	Diyin God éí nízaadgóó hólǫ́ áádóó diné éí t'óó kónígháníjį' hojílǫ́
19:90:001:0	Bóhólníihii nílíinii, aníchį́į́dę́ę́' bine' i'niichéehii nílį́įgo hoolzhiizh. 
19:90:002:0	T'ah doo dził nihínííłdą́ą́' índa nahasdzáán áádóó nihokáá'góó dahólóonii t'ah doo ánílééhdą́ą́' hool'áádę́ę́' ahóyéel'áágóó Diyin God nílį́. 
19:90:003:0	Nihokáá' dine'é éí łeezh náádleełgo íínísin, Diné ba'áłchíní danohłíinii, t'ą́ą́' kónááh'nééh, bidiní. 
19:90:004:0	Háálá t'ááłáhídi mííl nááhaígíí éí adą́ą́dą́ą́' i'íí'ánígi áníłtso nahalingo, áádóó tł'éé' naagháhí t'áá díkwíí ahéé'iilkeedjį' naalnish nahalingo baa nitsíníkees. 
19:90:005:0	Tó yíląądgo diné adahaaz'éél nahalingo diné ááłdįįł; t'óó baa na'iigeełii nidahalin. Abínígo tł'oh háájé'ígíí nidahalin. 
19:90:006:0	Abínígo ániidígo hanisééh; e'e'áahgo nídanii łnahgo nídaagą́ą́h. 
19:90:007:0	Náháchį'ígíí bik'ee áńdeiidįįh índa t'óó báhádzidgo bee atí'éł'íinii béédeiildzidgo bik'ee náádíníidzo'. 
19:90:008:0	Doo ákwii ádeiit'įįdii nidááhdóó níínínil índa t'áá nahont'inee ádił nida'ayeelzíi'ii ninii' bee hool'injį' níínínil. 
19:90:009:0	Nihíyoo łkáłígíí t'óó báhádzidgo bee atí'éł'íinii bii' ałtso bił ahóóyá. T'óó ch'í'ít'ánígo hóóne'ígíí nahalingo nihee ninádahahááh. 
19:90:010:0	Tsosts'idiin nááhaijį' dahinii'ná, doodaii' t'ah t'áá nihidziilgo tseebídiin nááhaijį' dahinii'ná, nidi ákónízahjį' iinánígíí éí yéego naanish, áádóó yínííł t'éí bił hólǫ́. T'áadoo hodina'í ádįįh áádóó dah nídahidiikááh. 
19:90:011:0	Háishą' náháchį'ígíí ábóodziilgi índa nits'ąą hasti'ígíí bik'ehgo t'óó báhádzidgo bee atí'éł'íinii bił bééhózin? 
19:90:012:0	Éí bąą nihijéí dahodooyąąłígíí biniyé nihí dayéełkaahii dayíníilta'go bínanihiníłtin. 
19:90:013:0	Bóhólníihii nílíinii, haa nízahdishą' índa nihich'į' nínádííyis? Ná nidaal'a'í daniidlíinii nihaa a'áhí nídíníídzįįł. 
19:90:014:0	Nida'ayeeldįįdjį' nihił nidahoozhǫǫh doo áádóó nihił dahózhǫ́ǫ dooleełígíí biniyé abíínígo aa a'ááh nínízinii bee hwiih daniidlį́įgo ánihílééh. 
19:90:015:0	Daashíínéelą́ą́' yiską́ąjį' atínihiinilaaígíí bik'ehgo nihił dahózhǫ́ǫgo ánihíínísin; daashíínéelą́ą́' nááhaijį' doo yá'át'éehii daníil'į́'ígíí bíighahgo nihił dahózhǫ́ǫgo ánihílééh. 
19:90:016:0	Ninaanish nilíinii ná nidaal'a'í bił ííshjání dadooleeł áádóó bada'áłchíní éí bee ayóó ánít'éhígíí bił ííshjání dadooleeł. 
19:90:017:0	Bóhólníihii nihiDiyin God yee jooba'ii nihik'igi hólǫ́ǫ le'. Áádóó nihíla' bee bindashiilnishii bohoníłdzilgo nihá ánílééh. T'áá aaníí, nihíla' bee bindashiilnishii bohoníłdzilgo ánílééh.
