19:106:001:1	Ízrel dine'é éí nidaalteeh
19:106:001:0	Bóhólníihii baa dahohniih! Haa'íshą' Bóhólníihii bich'į' ahééh danohsin, háálá bí éí yá'át'ééh. Bóhólníihii aa a'ááh nízingo ahóyéel'á! 
19:106:002:0	Ła'daásh Bóhólníihii ayóó át'éii yaa naayáhígíí yee hadoodzihgo yíneel'ą́, índa ła'daásh bee baa ha'niihii t'áá ałtso yee yaa haniihgo yíneel'ą́? 
19:106:003:0	Doo haada yit'éégóó dahináanii, t'áá áłahjį' t'áá ákogi ádaaníiłii éí bik'idahojidlí! 
19:106:004:0	Bóhólníihii nílíinii, nidine'é bee bich'oni'nínígíí bee shéénílniihgo shí ałdó' yisdáshíłteeh. 
19:106:005:0	Áko bits'éínínilii náásgóó yá'át'éehgo dahináago yideestsééł. Áko nidine'é bił dahózhǫ́ǫgo baa shi ł nihoozhǫǫh doo, índa níí' danilíinii bitahdóó naa hashniih doo. 
19:106:006:0	Danihizhé'é yę́ęgi át'éego nihí ałdó' ádił nida'ayeelzíí'. Doo ákǫ́ǫ́ ádeiit'įįd da. Doo yá'áshónígi ádeiit'įįd. 
19:106:007:0	Ííjip kéyahdi danihizhé'é yę́ę kéédahat'į́ yę́ędą́ą́' t'óó bik'eda'ayóigo í'iinilaaígíí t'áadoo yik'ida'diitą́ą da. Aa a'ááh nínízinii t'óó ahayóígíí t'áadoo yéédáálnii' da. Nidi Tónteel Łichíí' wolyéego siyínígi Diyin God yich'į' nidaastee'. 
19:106:008:0	Azhą́ ákódzaa nidi, bee bidziilii ayóó át'éii bééhózínígo áyósin doo biniyé bízhi' binahjį' yisdáyíínil. 
19:106:009:0	Tónteel Łichíí' wolyéego siyínígíí yideeztehgo nááltsei. Áádóó halgaigóó hojoo'ish nahalingo cháshk'eh ha'naa nihoní'eezh. 
19:106:010:0	Áko hak'ee dadiniihii bits'ą́ąjį' yisdáhóónil índa ana'í bílák'eedę́ę́' nááhwiisnii'. 
19:106:011:0	Áádóó bida'ana'í tó bik'i diilkǫ'; t'ááłá'í nidi t'áadoo ła' yidzíi' da. 
19:106:012:0	Áko índa hazaad dayoosdląądgo haa dahaniihgo hach'į' dahóótáál.  
19:106:013:0	Nidi t'áadoo hodíína'í hanaanish yaa dayooznah. Kót'éego náábididoo'niiłígíí doo yiba' ádaat'ée da nít'éé'. 
19:106:014:0	Honoojíidi t'áá íiyisí adádanoosníí', áádóó halgaidi Diyin God nayídaneeztą́ą́'. 
19:106:015:0	Hódayííkeedígíí baazhdiní'ą́, nidi bii' naazíinii t'óó dabííts'iiní.  
19:106:016:0	Ákohgo dah oonéłígíí Mózes dayoołch'į́į́d nít'éé' áádóó Bóhólníihii bidiyį́į́' Éran wolyéii ałdó' dayoołch'į́į́d nít'éé'. 
19:106:017:0	Ni' ąą ádzaago Déíthan ayííłna', Abáíram áádóó yił yinééł yę́ę ałdó' ałtso bik'i dahoozhoozh. 
19:106:018:0	Áko dah joonéłígi kǫ' hadadíínóodgo doo yá'ádajíshóonii yę́ę adahizdeezk'ą́ą́'.  
19:106:019:0	Dził Hórebgi óola doolyį́į'go béégashii yáázh yééda'iidlaago yich'į' nidahasá. 
19:106:020:0	Áko biDiyin God ayóó át'éii éí béégashii ałchozhii be'alyaago yił ałnádeiiznil. 
19:106:021:0	Diyin God yisdábíínilii, éí Ííjip kéyahdi ayóó ádaat'éii yaa naayáii yaa dayooznah, 
19:106:022:0	Ham bikéyahgi t'óó bik'eda'ayóigo í'iilaii índa Tónteel Łichíí' hoolyéegi bik'eda'íyé'ígi át'éego í'iilaii yaa dayooznah. 
19:106:023:0	Éí bąą, Áhodeeshdįįł, dííniid; doo ázhdoołdįįłígíí áádóó t'óó báhádzidgo bee atíjíł'íinii nahjį' kózhdoolíłígíí biniyé Mózes hach'ą́ą́h ííyá.  
19:106:024:0	Ákohgo kéyah hózhónígíí dayíí'įįdgo hazaad doo dayoodlą́ą da nít'éé'. 
19:106:025:0	Dabiníbaal góne' saad dahal'į́įgo Bóhólníihii áníinii doo dayíists'ą́ą' da nít'éé'. 
19:106:026:0	Éí bąą hach'į' yadidiilnii'go hwee ádee hadoodzíi'go áhodííniid, Honoojíidi dadínóohnééł, 
19:106:027:0	áádóó niha'áłchíní náás ahoolchíiłii ał'ąą dine'é bitahgóó kéyah ał'ąą naaznilgóó tahodínéeshkał.  
19:106:028:0	Ákohgo Píyordóó e'elyaii Béíyal wolyéii yich'į' nidahasáago daneeznáanii bich'į' náádahaaznii'ii dayííyą́ą́'. 
19:106:029:0	Yaa naaskaígíí biniinaa Bóhólníihii yádahóółchįįd, áko naałniih bitah níłnii'. 
