19:24:001:1	Aláahgo naat'áanii ts'ídá ayóó át'éii
19:24:001:0	Nahasdzáán éí Bóhólníihii bí áádóó bee hadít'éii ałdó' t'áá ałtso bí; nahasdzáán índa yikáá' kéédahat'íinii ałdó' bíí' danilį́, 
19:24:002:0	háálá tónteel índa tooh danílíinii bikáa'gi nahasdzáán niłdzilgo niiní'ą́. 
19:24:003:0	Háíyee' Bóhólníihii bidah yisk'idgóó hadoogáałgo yíneel'ą́? Doodaléi' háíyee' bihodiyingo haz'ą́ągi yidoozįįłgo yíneel'ą́? 
19:24:004:0	Bíla' chin bąąh ádinii índa bijéí a'át'e' bąąh ádinii lą́ą; t'áadoo biniyéhígóó danilíinii yich'į' bii' sizíinii doo yi'níłnii'ii, índa doo bina'adlo'góó ádee hadoodzíi'ii lą́ą. 
19:24:005:0	Bóhólníihii bik'ijidlíi doo, índa Diyin God yisdábííłtíinii t'áá ákogi ánít'é bididooniił. 
19:24:006:0	Díí ahoolchíłígíí éí Diyin God hadeintáii ádaat'į́. Bóhólníihii nílíinii, Jéíkab hándéez'į́į́'. Síilah. 
19:24:007:0	Yah ahóót'i'gi dáádílkał danohłíinii, ąą ádaahnééh! T'áá náshiinídą́ą'dii dáádílkał danohłíinii, ąą ádanihi'dólne'! Áko aláahgo naat'áanii ts'ídá ayóó át'éii yah adoogááł. 
19:24:008:0	Háishą' aláahgo naat'áanii ts'ídá ayóó át'éii nilį́? Bóhólníihii bidziilii índa ayóó ábóodziilii lą́ą; anaa' haleehgo Bóhólníihii ayóó ábóodziilii lą́ą! 
19:24:009:0	Yah ahóót'i'gi dáádílkał danohłíinii, ąą ádaahnééh! T'áá náshiinídą́ą'dii dáádílkał danohłíinii, ąą ádanihi'dólne'! Áko aláahgo naat'áanii ts'ídá ayóó át'éii yah adoogááł! 
19:24:010:0	Háishą' aláahgo naat'áanii ts'ídá ayóó át'éii nilį́? Bóhólníihii lą́ą, t'áá ałtsoní bee Bóhólníihii, éí lá aláahgo naat'áanii ts'ídá ayóó át'éii nilį́ ni! Síilah.
