19:48:001:1	Záíyan ayóó ánóolninii áádóó bits'ádi'nílíidii
19:48:001:0	Bóhólníihii ayóó át'éii nilį́, áádóó nihiDiyin God bikin haal'áagi, bidził hodiyinígi ayóó át'éego baa ha'niih doogo yą́ą́h nilį́. 
19:48:002:0	Dził Záíyan ayóó ánóolningo si'ánígíí bee nahasdzáán bikáá'góó t'áá át'éé nít'éé' baa hózhǫ́. Náhookǫs biyaají Aláahgo Naat'áanii Ayóó'át'éii bikin yíl'áhígíí át'é. 
19:48:003:0	Áadi aláahgo naat'áanii dabighangóó Diyin God bine' a'niichéehii jílį́įgo bee hwééhózin. 
19:48:004:0	Háálá shoo, aláahgo naat'áanii danilíinii ahíikaigo kin haal'áii yíighah dah diikai. 
19:48:005:0	Áko éí dayiiłtsą́ągo bik'ee t'óó bił adahóóyóí; bił yéé' dahazlį́į'go dah diijéé'. 
19:48:006:0	Ákwii nitsidaastłah; asdzání awéé' bídii'na'ígi át'éego ti'dahooznii'. 
19:48:007:0	Diyin God nílíinii, ha'a'aahdę́ę́' níyolígíí bee Társhishdóó tsinaa'eeł ál'ínígi át'éii nidahíníti'. 
19:48:008:0	Dasidiits'ą́'ígi át'éego nihiDiyin God éí t'áá ałtsoní bee Bóhólníihii bikin haal'áagi daníil'į́į́'; éí Diyin God hool'áágóó hółdzilgo íidoolííł. Síilah. 
19:48:009:0	Diyin God nílíinii, nikin bii' sohodizin góne' aa a'ááh nínízinii baa nitsídasiikééz. 
19:48:010:0	Diyin God nílíinii, t'áá nízhi' béého'dílzinígi át'éego nahasdzáán nidahonees'ą́ą́góó ałdó' naa ha'niih doo. T'áá ákogi át'éii nish'náájí nílák'ee hadeezbin. 
19:48:011:0	Dził Záíyan bił hózhǫ́ǫ le'! Bee nihodiyí'aahii binahjį' Júdah bitsi'ké bił dahózhǫ́ǫ le'! 
19:48:012:0	Záíyan bináhkááh; binaagóó nidaahkai; bikin yadaa'áhígíí deínółta'. 
19:48:013:0	Binaagóó tsé ahénátł'inígíí hazhó'ó hadaahsííd. Áadi naat'áanii dabighan biyi'góó hadoohkáahgo baa nitsídaahkees. Áko akéédę́ę́' hanínáánoot'áanii bee bił dahodoołnih. 
19:48:014:0	Díí Diyin God éí hool'áágóó ahóyéel'áágóó nihiDiyin God nilį́. Éí nida'siildįįd bijį́įjį' nihoo'ish doo.
