19:118:001:1	Yisdá'iildééh éí Bóhólníihii bich'į' baa ahééh hwiindzin
19:118:001:0	Bóhólníihii bich'į' ahééh danohsin, háálá yá'át'éehii nilį́, aa a'ááh nízingo ahóyéel'á! 
19:118:002:0	Háni'dii Ízrel dine'é ádaaní, Aa a'ááh nízingo ahóyéel'á. 
19:118:003:0	Háni'dii Éran dine'é ádaaní, Aa a'ááh nízingo ahóyéel'á. 
19:118:004:0	Háni'dii Bóhólníihii deidísinii ádaaní, Aa a'ááh nízingo ahóyéel'á. 
19:118:005:0	Tsístł'asíyáago Bóhólníihii náoshkąąhgo bich'į' sodeeszin; Bóhólníihii shich'į' ééhoosįįdgo doo shihodiit'i'góó hótsaa haz'ą́ągi nishiníłtį́. 
19:118:006:0	Bóhólníihii shich'ijí nilį́; doo násdzid da doo. Dinéshą', haa dashizhdoolííł? 
19:118:007:0	Shíká anájahígíí yił Bóhólníihii shich'ijí nilį́. Éí bąą shik'ee dadiniihii bik'eh hodeesdlį́į'go bá laanaa nisinii yideestsééł. 
19:118:008:0	Diné beijólíhígíí biláahgo Bóhólníihii beijólííjígo yá'át'ééh. 
19:118:009:0	Naat'áanii danilíinii beijólíhígíí biláahgo Bóhólníihii beijólííjígo yá'át'ééh. 
19:118:010:0	Ał'ąą dine' é t'áá ałtso shináshzhiizh, nidi Bóhólníihii bízhi' baa jííníshłíigo áhodeeshdįįł! 
19:118:011:0	Shináshzhiizh, t'áá ałtsodę́ę́' shináshzhiizh, nidi Bóhólníihii bízhi' baa jííníshłíigo áhodeeshdįįł! 
19:118:012:0	Tsés'ná haanánísą́ nahalingo shináshzhiizh; ch'il dadeeníinii kǫ' bi ł hadíínóodgo tsį́įłgo adíídeezígíí nahalingo, Bóhólníihii bízhi' baa jííníshłíigo áhodeeshdįįł! 
19:118:013:0	Naa'adeeshgoh biniyé t'áá na'níle'dii náás adashiyoołhan, nidi Bóhólníihii shíká aalwod. 
19:118:014:0	Bóhólníihii éí bee shidziilii áádóó shiyiin nilį́; k'ad bee yisdááyáii silį́į́'.  
19:118:015:0	Diné t'áá ákogi ádaaníiłii biníbaal naaznil biyi'dóó baa hózhǫ́ǫgo yisdá'iildééhjí sin diits'a'; Bóhólníihii bigaan nish'náájí yee doo nánílyéésgóó áánííł! 
19:118:016:0	Bóhólníihii bigaan nish'náájí yee ayóó át'éii í'dólzin; Bóhólníihii bigaan nish'náájí yee doo nánílyéésgóó áánííł! 
19:118:017:0	Doo dadeestsaał da, nidi hinishnáago Bóhólníihii binaanish baa hashne' doo. 
19:118:018:0	Bóhólníihii t'áá íiyisí shich'ahashkéego nashineeztą́ą́', nidi anoonééł t'áadoo yaa shidiní'ą́ą da. 
19:118:019:0	T'áá ákogi át'éii bidáádadilkał shá ąą ádanile'go Bóhólníihii baa hashniihgo yah adeeshááł. 
19:118:020:0	Díí Bóhólníihii bidáádílkał át'é; éí diné t'áá ákogi ádaaníiłii ákóne' yah ahidookah. 
19:118:021:0	Shich'į' ééhosínísįįdgo bee yisdéíyáii sínílį́'ígíí bąą naa hashniih doo. 
19:118:022:0	Kin ádeił'íní tsé doo deiniizį́į' da yę́ę t'áá éí tsé bee naaná'ástł'inii silį́į́'. 
19:118:023:0	Díidí Bóhólníihii áát'įįdígíí át'é, áko daníil'į́įgo bik'ee t'óó nihił adahayóí. 
19:118:024:0	Díí yoołkáłígíí Bóhólníihii áyiilaa, éí baa nihił nidahoozhǫǫhgo nihił dahózhǫ́ǫ doo. 
19:118:025:0	Bóhólníihii nílíinii, nánooshkąąh, k'ad yisdánihínííł! Bóhólníihii, nánooshkąąh, nihee ída'azįįdgo ánihílééh! 
19:118:026:0	Bóhólníihii bízhi' bee bi'dójíigo yigáłígíí bik'ihojidlíi doo! Bóhólníihii bikin si'ą́ą́dóó naa dahwii'niih. 
19:118:027:0	Bóhólníihii éí Diyin God nilį́, áádóó adinídíín nihaidiní'ą́. Bikáá' náá'iiniihí naa nídaaz'áhígi náádahidoolnihígíí bik'i nida'ohtł'o'. 
19:118:028:0	ShiDiyin God nílį́, áádóó naa hashniih doo. ShiDiyin God nílį́; t'áá íiyisí naa hashniih doo. 
19:118:029:0	Bóhólníihii bich'į' ahééh danohsin, háálá yá'át'éehii nilį́; aa a'ááh nízingo ahóyéel'á.
