19:9:001:1	Diyin God t'áá ákogi áánííł baa ahééh hasin
19:9:001:0	Bóhólníihii nílíinii, shijéí t'áá át'é bee nich'į' ahééh nisin doo; ninaanish bik'eda'ayóígíí t'áá ałtso bee naa hashne' doo. 
19:9:002:0	Niniit'aa shił hózhǫ́ áádóó t'áá íiyisí shił hózhǫ́ǫ doo; Aláahgo Ayóó'át'éii nílíinii, nízhi' baa hashniihgo hashtaał doo. 
19:9:003:0	Shi'ana'í danilíinii t'ą́ą́' anáájée'go nidáahjį' naa'ííłdáazgo daneezná. 
19:9:004:0	Háálá bee shá haz'áanii áádóó biniyé ásht'íinii baa áhólyą́ą́ nít'éé'; bikáá'dóó nahat'áii bikáá' dóó dah sínídáago t'áá ákogi át'éego aa nánít'į́. 
19:9:005:0	Ał'ąą dine'é dadííníteh; doo yá'ádaashóonii ádasíníłdįįd; dabízhi' k'ééda'shíníłchxǫ'go hool'áágóó ahóyéel'áágóó baa dahoyoos'nah. 
19:9:006:0	Ana'í hool'áágóó ádaasdįįd; éíyee' bikin hadaas'áii naa'ahííníłtł'íidgo bee bééhániih dooleeł yę́ę t'áá yił ádaasdįįd. 
19:9:007:0	Nidi Bóhólníihii hool'áágóó hólǫ́ǫ doo; bibikáá'dóó nahat'áii bikáá'dóó ánihwii'aah dooleeł biniyé niiní'ą́; 
19:9:008:0	t'áá ákogi át'éego nihokáá' dine'é yaa nídóot'įįł; ał'ąą dine'é aheełt'éego yaa nídóot'įįł. 
19:9:009:0	Bóhólníihii éí diné bide áńdahoo'níiłii bine' adahinichéehii yá nilį́; bich'į' nidahwii'náago bine' adahinichéehii yá nilį́. 
19:9:010:0	Bóhólníihii nílíinii, nízhi' yéédahósinii éí naa dadzólíi doo, háálá há dandéez'į́į'ii doo yóó'adííní'ą́ą da. 
19:9:011:0	Záíyandi Bóhólníihii kééhat'íinii baa dahohniihgo bich'į' dahohtaał! Dadine'é bitahgóó ááníłígíí baa dahołne'! 
19:9:012:0	Bi'diisyíinii bidił yá k'ééhidi'néehii yénálniih; diné hojooba' ádaaníigo doo yaa yoonéeh da. 
19:9:013:0	Bóhólníihii nílíinii, shaa jiiníbaah! Anoonééł bich'į' yah ahóót'i'dóó hááshííníłtíinii, shik'ee dadiniihgo shich'į' nidahwiiłnáanii níníł'į́, 
19:9:014:0	áko Záíyan bich'é'é bił yah a'atiingi bee naa ha'niihii t'áá ałtso baa hashne' doo; nibee yisdá'iildéehii baa shił hózhǫ́ǫ doo. 
19:9:015:0	Ał'ąą dine'é éí ahoodzą́ągo ádahoolaaí góyaa nahodits'ǫ' ííłdááz; tł'óół bee ódleehí nídeidees'į́į'ii t'áá bí yiih nídahaaskai. 
19:9:016:0	Bóhólníihii éí aa nát'į́įgo ánihwii'aahígíí bee béého'dílzingo í'diilyaa; diné doo yá'ádaashóonii t'áá bí łoh ádayiilaii yiih hikááh. Higáíyan. Síilah.  
19:9:017:0	Diné doo yá'ádaashóonii áádóó ał'ąą dine'é Diyin God yaa dayoonéehii t'áá ałtso hool'áágóó ti'hoo'nííhgóó yi'iiłníih doo. 
19:9:018:0	Jó, hojooba' nahas'áanii doo baa náhoyoo'nah da doo, áádóó diné bich'į' naho'diilnáanii bá chohoo'íinii doo hool'áágóó ádoodįįł da. 
19:9:019:0	Bóhólníihii nílíinii, díldzííł! Diné t'áadoo ak'eh dadidlíní doo; ał'ąą dine'é t'áá ni baa nánít'į́! 
19:9:020:0	Bóhólníihii nílíinii, éí bił yéé' ádahóle'! Ał'ąą dine'é danilíinii t'óó diné t'éí danilį́įgo bił béédahózingo ánílééh! Síilah.
