19:139:001:1	Diyin God t'áá ałtsogóó hólǫ́ áádóó t'áá ałtso bił bééhózin
19:139:001:0	Bóhólníihii nílíinii, hashíínísid áádóó shééhonísin! 
19:139:002:0	Náníshdaah áádóó náádiish'nahgo nił bééhózin; nízaadę́ę́' honílǫ́ǫ nidi baa nitsískeesii bik'idi'yítįįh. 
19:139:003:0	Hidishááhgóó índa náníshtééhgóó t'áá át'é nił bééhózin, áádóó ánísht'éii t'áá ałtso nił bééhózin. 
19:139:004:0	Bóhólníihii nílíinii, saad t'ááłá'í nidi t'ah doo bee haasdziihgóó t'áá át'é nił bééhózin. 
19:139:005:0	Shikéédę́ę́' índa shitsijį' honílǫ́, índa she'iina' bee nóhólníihgo shik'i dah díílnih. 
19:139:006:0	Dooládó' ákót'éego ił ééhózin doo bit'áhíjį' nitsískeesii ayóó ánóolnin da; éí bi'oh nitsískosii át'é, áko shóideesht'eełgi doo bíneesh'ą́ą da. 
19:139:007:0	NiNíłch'i bits'ą́ąjigo háajigoshą' dah dideeshááł? Éí doodaii', honílónígíishą' háajigo bits'ą́ą́' dah dideeshwoł? 
19:139:008:0	Yádiłhił biyi'góó ííyáa nidi áadi honílǫ́! Ch'į́įdiitahdi nétį́į nidi áadi honílǫ́! 
19:139:009:0	Tónteel nineel'ą́ąjį' yikáíh bił t'áá ahąąh dah diisht'a'go ákwe'é kééhasht'į́į nidi, 
19:139:010:0	ákwe'é níla' bee nashílóoz doo áádóó níla' nish'náájí shótą' doo. 
19:139:011:0	Chahałheeł ts'ídá shik'iidooldoh, áádóó shinaagóó adinídínígíí chahodoołhił, dííniidgo, 
19:139:012:0	T'áá aaníí, chahałheeł nidi doo nits'ąą náshididooł'į́įł da. Tł'éé' éí jį́įgo hool'inígíí nahalin, háálá chahałheeł éí adinídíín t'áá bił aheełt'éego níníł'į́. 
19:139:013:0	Háálá shimá biishch'id bii'di ahą́ą́h shidínínil; shiyi'di dahólóonii nidi hasht'edeinilaa. 
19:139:014:0	Bits'ąą hasti'go áádóó t'óó bik'e'ayóigo áshiinilaaígíí bąą naa hashniih doo. Áálíiłii ayóó ádanóolnin! Éí shii' sizíinii t'áá íiyisí bił bééhózin. 
19:139:015:0	Nahasdzáán biyi'di t'áá nahonit'inee shits'íís shá hadilnééh yę́ędą́ą́' nił bééhózingo doo nits'ąą nanil'in da nít'éé'. 
19:139:016:0	Bee áshi'diilyaii t'ah doo hasht'eilnééhdą́ą́' yiniłtsą́; t'ah doo hashi'dilnééhdą́ą́' nidi shíyooł káał dooleełii ałdó' ninaaltsoos bik'inéhéesdzoh. 
19:139:017:0	Diyin God nílíinii, nintsíkees danilíinii dooládó' ílį́įgo baa nitsískees da! Dooládó' ayóó ánéelą́ą' da! 
19:139:018:0	Éí bi'ííníiłta'go séí bilááh ánéelą́ą́'; ch'ééhésdzíidgo t'ahdii nił honishłǫ́ǫ łeh. 
19:139:019:0	Diyin God nílíinii, diné doo yá'ádaashóonii t'áá aaníí nidííłtsił. Éí bąą diné nidaołtseedgo bidił dahidinééh ádaohłe'go nihił dahoneełninii, shits'ánóhkááh. 
19:139:020:0	Éí diné doo daats'íídgóó nichxǫ́'ógo nik'ijį' yádaałti'; ni'ana'í danilíinii nízhi' doo ílį́į́góó yee hadahadziih! 
19:139:021:0	Bóhólníihii nílíinii, nik'ee dadiniihii t'áá íiyisí bik'ee dinishniih. Áádóó nich'į' nídahidiikáahii bił ni'nish'įįh. 
19:139:022:0	T'áá niná'deet'įįdjį' bik'ee dadinishniih; shi'ana'í danilį́įgo baa nitséskees. 
19:139:023:0	Diyin God nílíinii, nashíłkaahígíí bee shijéí át'éii nił bééhoozį́į́'! Shínítáahgo shintsíkees át'éii nił bééhoozį́į́'! 
19:139:024:0	Doo yá'áshóonii daats'í ła' shiyi'di hólǫ́ǫgo nił bééhodoozįįł, áádóó hool'áágóó áhoot'éégóó shá yínááł!
