19:91:001:1	Aláahgo Ayóó'ábóodziilii bichaha'ohgi hojílǫ́ǫgo
19:91:001:0	T'áá háiida Aláahgo Ayóó'át'éii binahont'ingo haz'ą́ągi kééhojit'ínígíí éí Aláahgo Ayóó'ábóodziilii bichaha'ohgi hojílǫ́ǫ doo. 
19:91:002:0	Bóhólníihii éí bine' ahinishchéehii áádóó bine' yisdziihii, shiDiyin God baa jííníshłíii nilį́, dideeshniił. 
19:91:003:0	Háálá éí tsídii ahiyiileehii índa ts'ííh niidóóh ooghą́ąłii bits'ą́ą́dóó yisdándoołtééł. 
19:91:004:0	Diyin God bits'os nineezígíí nik'íidoołtih áádóó bit'a' biyaajį' yisdádínííchééł. Yee ba'ahódlíii éí naagé índa béésh téél ách'ą́ą́h dah yit'áałii nihá nilį́. 
19:91:005:0	Tł'ée'go báhádzidii índa jį́įgo k'aa' yee da'diłt'ohígíí doo bééníldzid da doo. 
19:91:006:0	Chahałheełgóó naałniihii índa ałné'é'áahgo até'éł'į́įgo nida'ałtseedii doo bééníldzid da doo. 
19:91:007:0	T'ááłáhídi mííl níighahgi naa'adínóodah índa neeznáadi mííl ninish'náájígo naa'adínóodah, nidi doo nit'áahjį' dadookah da. 
19:91:008:0	Diné doo yá'ádaashóonii k'éédabidi'doolníłígíí nináá' bee t'óó yidííłtsééł. 
19:91:009:0	Bóhólníihii Aláahgo Ayóó'át'éii bine' anáníshchéehii éí bii' nighan áhwiinilaaígíí bąą 
19:91:010:0	doo yá'át'éehii doo ła' nik'i hwiidooleeł da índa naałniih doo ła' niníbaal yit'áahjį' doołnih da. 
19:91:011:0	Háálá yínááłgóó bidiyingo nidaal'a'í naa ádahalyą́ągo íidoolííł. 
19:91:012:0	Bíla' yee dah daníłteehgo doo tsé bik'ą́ą́h didííltał da. 
19:91:013:0	Náshdóítsoh bitsiijį' daditł'ooígíí índa tł'iish báhádzidii bikáá'góó ch'ídíínááł. Náshdóí yáázh bitsiijį' daditł'ooígíí índa tł'iish bik'i nidíínaał.  
19:91:014:0	Ayóó'áshó'nínígíí bąą yisdádeeshtééł. Shízhi' yééhósinígíí bąą nidziidzííh dooleełgi nihodeeshtééł. 
19:91:015:0	Shich'į' sodoolzingo bich'į' énáhodeesįįł; bich'į' nahwii'náago bił honishłǫ́ǫ doo. Yisdádeeshtééł áádóó shił nilį́į doo. 
19:91:016:0	Iiná nineezgo há ádeeshłíiłgo bee nízh'dooldįįł áádóó shibee yisdá'iildéehii hach'į' ííshjání ádeeshłííł.
