19:46:001:1	Diyin God éí bine' ahiniichéehii áádóó bee danihidziilii nilį́
19:46:001:0	Diyin God éí bine' ahiniichéehii áádóó bee danihidziilii nilį́; nihide áhoot'įįhgo t'áá áko nihíká iilwo'ii nilį́. 
19:46:002:0	Éí bąą azhą́ nahasdzáán łahgo ádzaa nidi, azhą́ tónteel ałníi'di dził adahałtsǫ́ǫ́s nidi, doo nídeiildzid da doo. 
19:46:003:0	Azhą́ tó ayóó ádeits'a'go ádá hálchį'go bíígháán náádadiidáah nidi, áádóó tó deílk'oołígíí dził bínídazdiiłhałgo nidayiiłnáa nidi, doo nídeiildzid da doo. Síilah. 
19:46:004:0	Tooh léi' nílį́, áádóó bits'ádaazlínígíí Diyin God bikin haal'áadi Aláahgo Ayóó'át'éii kééhat'į́įgi bił hózhǫ́ǫgo áyósin. 
19:46:005:0	Diyin God éí kin haal'áii yił hólǫ́, áádóó doo nahjį' kóbidi'doolníił da. Abíínígo Diyin God bíká adoolwoł. 
19:46:006:0	Ał'ąą dine'é ádéédahooldzííd; ał'ąą dine'é bee bóhólníihgo bił nahaz'ą́ą́góó dah nidaasdááz. Haadzíi'go nahasdzáán dííłhį́į́'. 
19:46:007:0	T'áá ałtsoní bee Bóhólníihii éí nihił hólǫ́. Jéíkab biDiyin God bine' adahiniichééh. Síilah. 
19:46:008:0	Hágo, Bóhólníihii binaanish níníł'į́; nihokáá'góó hóółchxǫ'ígíí níníł'į́. 
19:46:009:0	Nahasdzáán nidanees'ą́ąjį' anaa' dahólóonii ánéísįįd. Ałtį́į́' yiyiitííh; tsiidétáán yiyiiłne'. Tsinaabąąs bijáád naakiígíí iidiyiiłk'ą́ą́h. 
19:46:010:0	Hasht'edíínít'é; shí Diyin God nishłį́įgo nił bééhodoozįįł. Ał'ąą dine'é bitahgóó ayóó ánísht'éego áshidi'doolnííł; nahasdzáán bikáa'gi ałdó' ayóó ánísht'éego áshidi'doolnííł. 
19:46:011:0	T'áá ałtsoní bee Bóhólníihii éí nihił hólǫ́. Jéíkab biDiyin God bine' adahiniichééh. Síilah.
