19:36:001:1	Diyin God hool'áágóó aa a'ááh nízinii
19:36:001:0	Diné doo yá'áshóonii éí bee haz'áanii hitíhígíí bijéí biyi' bich'į' yáłti'; éí diné binááł Diyin God doo yidísin da. 
19:36:002:0	Doo ákwii áát'įįdii bik'ee hodi'niihgo bééhoozinjį' ádąąh haldéehgo saałką́ą́' yee bina'adlo'. 
19:36:003:0	Saad doo ákwii át'éii índa na'adlo' yee yáłti', doo áhoosyąąd da, índa yá'át'éehii doo áyóle' át'ée da silį́į́'. 
19:36:004:0	Bitsásk'eh yikáá' sitį́įgo bee ádíláahgo ádooníłígíí yinaha'á; doo yá'át'ééhgóó áhoot'éii yee niiltih; doo yá'áshóonii doo yijoołáa da. 
19:36:005:0	Bóhólníihii nílíinii, aa a'ááh nínízinii yá'ąąshdi hólǫ́; na'ahódlíhígíí éí k'os bíneel'ą́. 
19:36:006:0	T'áá ákogi ánít'éhígíí dził ayóó ádaat'éii nidahalin; bee ánihoyí'aahii tónteel ayóó íídéetą́'ígíí nidahalin; Bóhólníihii nílíinii, ni éí diné índa naaldlooshii baa áhólyą́. 
19:36:007:0	Diyin God nílíinii, dooládó' aa a'ááh nínízinígíí ílį́į da! Éí bąą dine'é danilíinii nit'a' biyaagi chaha'ohjį' adahinichééh. 
19:36:008:0	Nikindóó bee áda'azįįdii yee hwiih dadooleeł, áádóó nibee ił hózhóonii tooh nahalingo na'áłchíní baa hidí'aahgo deidlą́. 
19:36:009:0	Háálá tó bee iináago háálíinii nee hólǫ́; adííníłdíingi adinídíingo deiit'į́. 
19:36:010:0	Néédahósinígíí baa a'ááh nínízingo áánííł, áádóó diné bijéí yee t'áá ákogi át'éii bich'į' t'áá ákogi áánííł. 
19:36:011:0	T'ááká diné ádaa ha'niihii ła' shik'i naoya' yíila', índa t'ááká diné doo yá'áshóonii ła' yóó'ashinóyóód yíila'. 
19:36:012:0	Ákwii lą́ą doo ákwii ádaaníiłii tsé'yaa aheestł'íidgo tsé'yaa ahineezdee', áko doo náádoojeeh át'ée da.
