19:111:001:1	Bóhólníihii bidine'é yaa áhályą́
19:111:001:0	Bóhólníihii baa dahohniih!Diné t'áá ákogi ádaat'éii áłah nilį́įgi shijéí t'áá át'é bee Bóhólníihii baa hashniih doo. 
19:111:002:0	Bóhólníihii binaanish ayóó ádaat'é; bił dahoneełninii t'áá ałtso hadeisíidgo nideiłkaah. 
19:111:003:0	Binaanish t'áá íiyisí ił nilį́, áádóó t'áá íiyisí ayóó ádaat'é; bit'áá ákogi é'ét'éii hool'áágóó hólǫ́. 
19:111:004:0	T'óó bik'eda'ayóii béédahaniihgo áyiilaa; Bóhólníihii jooba' áádóó bił hadlee'go aa a'ááh nízin. 
19:111:005:0	Dabidísinii ya'ałtso'; bibee aha'deet'áanii hool'áágóó yénálniih doo. 
19:111:006:0	Ał'ąą dine'é daabíhígíí yílák'ee hayíínilgo binaanish ayóó ádabóodziilgo bidine'é yił yit'íní áyiilaa. 
19:111:007:0	Bíla' yee naanish áyoolíiłii éí t'áá aaníí áádóó t'áá ákogi ádaat'é. Bibik'eh ó'oo'níiłii t'áá ałtso bada'ahódlí. 
19:111:008:0	Éí hool'áágóó ahóyéel'áágóó hasht'edaalyaa. Éí t'áá aaníinii áádóó t'áá ákogi át'éego bik'eh da'íldéeh doo. 
19:111:009:0	Hadine'é bik'é ninázh'doodléełii bich'į' ajííł'a'; bibee aha'deet'áanii hool'áágóó hólǫ́ǫgo yee haadzíí'. Bízhi' éí diyin áádóó bits'ąą hasti'. 
19:111:010:0	Bóhólníihii jidósin jileehdóó ahozh'niiyąąh; bibik'eh ó'oo'níiłii yida'ał'íinii t'áá ałtso yá'át'éehgo ak'ida'diyiitįįh. Bee baa ha'niihii hool'áágóó doo nineełnéeh da!
