19:81:001:1	Diyin God yá'át'éehgo ó'oolíiłii áádóó Ízrel dine'é yóó'adahaaskaii
19:81:001:0	Diyin God nihidziil nilíinii yéego bich'į' dahohtaał, Jéíkab biDiyin God bich'į' nihił nidahoozhǫǫhgo nídidohdla'! 
19:81:002:0	Chánahgo dahohtaał, ásaa' yigádígíí dadoołts'a'. Tsin tł'óół naakits'áadah bąąh daneelzhee'go bee nida'a'néii índa tsin tł'óół neeznáá bąąh daneelzhee'go bee nida'a'néii bóóltą'go doołts'į́į́h. 
19:81:003:0	Dah néitį́įhgo áádóó hááníbąsgo hodílzingo áłah ná'ádleeh bijį́į́ góne' deenásts'aa' bidee' bee í'dílzoołí nídadoołts'į́į́h. 
19:81:004:0	Háálá éí Ízrel dine'é bá bee nihoot'áanii át'é, áádóó Jéíkab biDiyin God bibik'eh hoogáałii át'é. 
19:81:005:0	Ííjip kéyah yik'i ch'íníyá yę́ędą́ą́' Jóseph dine'é bitahgi bee bééhániihii át'éego hółdzilgo yee nihoní'ą́. Áadi náánáła' saad doo bééhasin da léi' diséts'ą́ą́'. 
19:81:006:0	Hawos bee hééł dah jooyéłígíí nahjį' há kóshłaa; ts'aa' joo'áłígíí hálák'ee háí'ą́. 
19:81:007:0	Nich'į' nahwii'náago ná'iisíníkango yisdánííłtį́. Nahont'indę́ę́' ii'ni' hólǫ́ǫgi nich'į' ééhosísįįd. Méribah tó háána'ígi nanihínétą́ą'go bee nihééhosísįįd. Síilah. 
19:81:008:0	Shidine'é nohłíinii, da'íísółts'ą́ą́', áko nanihinishtin doo! Ízrel dine'é nohłíinii, dashíísółts'ą́ą́' laanaa nisin! 
19:81:009:0	Diyin dabidi'níinii nihitahgi doo nááhódlǫ́ǫ da doo; nááná háádę́ę'da diyin dabidi'níinii doo bich'į' nidahohłáa da doo. 
19:81:010:0	Shíyee' Bóhólníihii nihiDiyin God Ííjip kéyahdę́ę́' ch'ínihiní'eezhígíí nishłį́. Yéego dadoohch'ééh áádóó nihizéé' hadadideeshbį́į́ł. 
19:81:011:0	Nidi shidine'é éí shizaad doo dayíists'ą́ą' da. Ízrel dine'é t'áadoo shik'eh dahóół'įįd da. 
19:81:012:0	Éí bąą bijéí yidádanoolníinii t'óó baa hodiní'ą́, áko t'áá bí binahat'a' yik'ehgo deíkááh nít'éé'. 
19:81:013:0	Dooládó' shidine'é danilíinii dashíists'ą́ą' doo nít'éé'; shik'ehgo ádahoot'éii yik'ehgo Ízrel dine'é yikah doo nít'éé'! 
19:81:014:0	Áko hwe'ana'í danilíinii tsxį́įłgo t'óó há bik'i nisíyáa doo nít'éé', áádóó hak'ijį' danilíinii shíla' bee t'ą́ą́' kónáshdlaa doo nít'éé'. 
19:81:015:0	Bóhólníihii dajijoołxáii t'óó ádahozhdil'į́įgo Bóhólníihii biyaa ni'ízhdeejaa' doo nít'éé' áádóó atídaal'į́įgo ahool'áa doo nít'éé'. 
19:81:016:0	Tł'oh naadą́ą́' agháago yá'át'éehii hwiyiyíísą́ą' doo nít'éé'. Jó, tsé bąąhdę́ę́' tsés'ná bitł'izh bee hwiih nohłį́įgo ánihiishłaa doo nít'éé'.
