19:88:001:1	Aniné bits'ąą yisdá'iildééh bíká sohodizin
19:88:001:0	Bóhólníihii shiDiyin God yisdáshííníłtíinii, jį́įgo áádóó tł'ée'go chánahgo nánooshkąąh. 
19:88:002:0	Shisodizin naa hosiilts'įįh le'; chánahgo nánooshkąąhígíí diits'į́į́h! 
19:88:003:0	Háálá shii' sizíinii t'áá íiyisí bich'į' nahwii'ná, áádóó k'adę́ę jishcháa'jį' yishłeeh. 
19:88:004:0	A'áán góyaa ahikáahii bił shi'déélta'; diné doo bidziilii nahonishłin sélį́į́'. 
19:88:005:0	Daneeznáanii bitahjį' yóó'adoot'ánígíí áádóó naaztseedii jishcháá' góne' naazhjé'ígíí baa deisínínahii nahonishłin sélį́į́', áádóó nits'ą́ąjį' ádaasdįįd. 
19:88:006:0	A'áán aghá ánízáád góyaa nihoodzą́ądi nishííníłtį́, ákóyaa chahałheełgo ayóó áhonízáád. 
19:88:007:0	T'óó báhádzidgo bee atí'éł'íinii yéego shik'i dah siyį́; bee ti'hoo'níihii nits'ą́ą́dóó deílk'oołii t'áá ałtso shik'i diilkǫ'. Síilah. 
19:88:008:0	Bił ahéédahoniszinii doo deeghánídi shits'ąą nidaakaigo íinilaa, doo dashíłdingóó áshiinilaa. Doo ch'íjóya' át'éégóó shidá'deelkaal. 
19:88:009:0	Atíshíł'ínígíí biniinaa doo hózhǫ́ eesh'į́į da. Bóhólníihii, t'áá ákwíí jį́ nich'į' sodiszin; t'áá ałch'ijí bee nich'į' dah nídidiishnih. 
19:88:010:0	Daneeznáaniísh binááł t'óó bik'eda'ayóii ádíílííł? Da' daneeznáaniísh náádidoojahgo naa dahaniih doo? Síilah. 
19:88:011:0	Aa a'ááh níníziniísh jishcháá' góne' bee ha'doodzih? Na'ahódlíhígíísh hool'áágóó ti'hoo'níihdi bee ha'doodzih? 
19:88:012:0	Chahałheełdiísh t'óó bik'eda'ayóigo áálíłígíí béédahózin doo? Hoyoo'néehgo haz'ą́ągiísh t'áá ákogi ánít'éhígíí bééhózin doo? 
19:88:013:0	Nidi, Bóhólníihii nílíinii, chánahgo nánooshkąąh; abínígo shisodizin naa hosiilts'įįh. 
19:88:014:0	Bóhólníihii, ha' át'íísh biniinaa shii' sizíinii yóó'ahíłhan? Ha'át'íísh biniinaa shits'ą́ąjį' díní'į́į́'? 
19:88:015:0	T'áá biyázhí nishłį́į́dóó wóshdę́ę́' atíshi'dil'į́į́ nít'éé' áádóó k'asdą́ą́' danástsaah nít'éé'; nits'ą́ą́dę́ę́' báádahadzidii bik'ee ti'hooshnííh; t'áadoo ánááhó'ne'góo da. 
19:88:016:0	T'óó báhádzidgo bee atí'éł'íinii shik'iildoh; nits'ą́ą́dę́ę́' báádahadzidii bee atíshiinilaa. 
19:88:017:0	Tó honáhaazyį́ nahalingo shá bíighah shinídadzis'á; t'áá ałtso áłah silį́į'go shinás'á. 
19:88:018:0	Ayóó'áshó'níinii índa shik'is nízaadgóó shits'ą́ąjį' kwíinilaa, áko bił ahéédahoniszinii éí chahałheeł biih yínínil.
