19:51:001:1	Ádił oodzíí' á yóó'adidoot'ááłjí sohodizin
19:51:001:0	Diyin God nílíinii, aa a'ááh nínízinii bik' ehgo shaa jiiníbaah; bee aa a'ááh nínízinii t'óó ahayóígíí bik'ehgo bee haz'áanii héti'ii shá k'éé'íłchxǫǫh. 
19:51:002:0	Doo ákwii áát'įįdii ałtso shąąh táánígis áádóó ádił ni'ayészíi'ii shąąh dííłdah! 
19:51:003:0	Háálá bee haz'áanii héti'ii baa ákoniizį́į́', índa ádił ni'ayészíi'ii t'áá áłahjį' shi'diił'á. 
19:51:004:0	Ni lą́ą, ni t'éiyá nich'į' ádił asésiih, índa doo yá'áshóonii ninááł baa niséyá, áko háínídzíi'go t'áá aaníí át'éé góne' bee nééhodoozįįł, índa baa nísínít'įįdgo t'áadoo bee nik'íhót'ahí da doo. 
19:51:005:0	Jó, doo ákwii ánísht'éégóó shi'dizhchį́, áádóó bąąhági át'éii t'áá bił shimá shí'niiltsąąd. 
19:51:006:0	Jó, t'áá aaníinii yee át'é laanaa nínízin, áádóó shijéí bii'di bee hódzáanii shił bééhózingo áshílééh. 
19:51:007:0	Ch'il hísap wolyéhígíí bee, nááhániihii bidił shik'íníłtahgo ádił ni'ayészíi'ii shąąh ádingo áshílééh, áko índa baa'ihii shąąh ádin doo. Táásígisgo yas biláahgo łinishgaigo áshidíílííł. 
19:51:008:0	Bee ił hózhóonii áádóó baa hózhóonii diists'a'go áshílééh, áko shits'in dahíníti'ii bił nídahodoojǫǫł. 
19:51:009:0	Ádił ni'ayészíi'ii bits'ą́ąjį' ánínééh, áádóó doo ákwii áát'įįdii ałtso shá k'éé'íłchxǫǫh. 
19:51:010:0	Diyin God nílíinii, baa'ihii shijéí bii' ádingo ánílééh, áádóó níłch'i shii' hólónígíí ba'ahódlíigo ániidí ánánídlééh. 
19:51:011:0	Honílónígíí bits'ą́ąjį' áshólééh lágo, áádóó niNíłch'i Diyinii shits' ą́ąjį' kóole' yíila'. 
19:51:012:0	Nibee yisdá'iildéehii baa hózhóonii shich'į' kónánídlééh, áádóó íinisingo áshiinilaaígíí bee de áshíínísin. 
19:51:013:0	Áko bee haz'áanii nidayiitíihii nik'ehgo ádahoot'éii bínabinishtin doo, áádóó bąąhági ádaaníiłii nich'į' nináhákáah dooleeł. 
19:51:014:0	Diyin God nílíinii, ni, Diyin God yisdáshííníłtíinii, dił deezna'go bee ádihodiisht'i'ii bits'ą́ąjį' yisdáshíłteeh, áádóó t'áá ákogi ááníłígíí yéego baa hashne'go hashtaał doo. 
19:51:015:0	Bóhólníihii nílíinii, shizéé' ąą áhólééh, áko bee naa hashniih doo. 
19:51:016:0	Háálá nááhániihii doo nínízin da, éí doodaii' nich'į' nááháshniih doo nít'éé'; didlidgo nich'į' nááhániihígíí doo baa nił hózhǫ́ǫ da. 
19:51:017:0	Ádaa hojoolbá'ígo yínííł naagháii nááyiiłniihii éí Diyin God bił nilį́; Diyin God nílíinii, ádaa hojoolbá'ígo t'áá bijéí tł'ááhdę́ę́' ádił ni'iisíi'go yąąh bíni'go yínííł naagháii éí doo nahjį' kódíílíił da. 
19:51:018:0	Yá'át'éehgo nił hózhǫ́ǫgo yá'át'éehii Záíyan bá baa naniná; Jerúsalem ditą́ągo binaa ahééda'astł'inígíí nánítł'in. 
19:51:019:0	Áko índa t'áá ákogi át'éego náádahaniihii áádóó didlidgo náádahaniihii índa t'áá át'é didlidgo nááhániihii baa nił nihoozhǫǫh doo. Áko índa nibikáá' náá'iiniihí bikáa'gi dóola náádahidoonih.
