19:80:001:1	Ízrel dine'é hasht'e'ninábidi'doo'nił bíká sohodizin
19:80:001:0	Na'niłkaadii nahalingo Ízrel dine'é yaa áhályáanii nílíinii, Jóseph bidine'é yí'ishii, íísíníłts'ą́ą́'! Chérabim bideígi honílóonii i'díłdlaad. 
19:80:002:0	Íífreiyim áádóó Bénjamin índa Manáseh binááł nidziil bee díldzíiłgo nihaa nínáahgo yisdánihínííł. 
19:80:003:0	Diyin God nílíinii, hasht'éénihídlééh áádóó bee ayóó ánít'éii bee i'díłdlaadgo yisdánihidi'doo'nił! 
19:80:004:0	T'áá ałtsoní bee Bóhólníihii Diyin God nílíinii, haa nízáágóoshą' nidine'é bisodizin bich'į' náháchį' doo? 
19:80:005:0	Nák'eeshto' dabich'iyą' áádóó t'áá niná'deet'įįdjį' nák'eeshto' deidoodlį́į́ł biniyé bitaa síníką́. 
19:80:006:0	Bił kéédahwiit'íinii bináádiijahgo ádanihiinilaa, áádóó nihi'ana'í danilíinii bitahgóó dloh hanáltǫǫh. 
19:80:007:0	T'áá ałtsoní biDiyin God nílíinii, hasht'éénihídlééh áádóó ayóó ánít'éii bee i'díłdlaadgo yisdánihidi'doo'nił! 
19:80:008:0	Ííjip kéyahdę́ę́' ch'il na'atł'o'ii behétł'óól shóisíníłt'e'; ał'ąą dine'é hahiníníłkaadgo bikéyahgi k'idíínílá. 
19:80:009:0	Bá hwííníłdee'go behétł'óól nízaadgóó łeeh níísą́ áádóó kéyahgi t'áá át'é tanoosą́, 
19:80:010:0	áko dah daask'idgóó bee chadaha'oh nít'éé'; bits'áoz'a' gad nitsaa naazkaadígíí nidahalin. 
19:80:011:0	Tónteel siyį́įjį' bits'áoz'a' nidaneesą́; tooh nílį́įjį' bi'iil nidaneesą́. 
19:80:012:0	Ha'át'éegoshą' binaa ahééda'astł'inii naa'ííníłkaad? Áko yą́ą́h nídadikahii aneest'ą' dayóbé. 
19:80:013:0	Hodíłch'ildę́ę́' bisóodi ałchinii áajį' anídaajahgo nidayiiłchxǫǫh áádóó éí kéyahgi naaldlooshii da'ałchinii yąąhdóó da'ayą́. 
19:80:014:0	T'áá ałtsoní biDiyin God nílíinii, nánooshkąąhgo yá'ąąshdę́ę́' hanááníghaałgo hadah díní'į́į́'. Díí ch'il na'atł'o'ii baa áhólyą́ą le'! 
19:80:015:0	Éí níla' nish'náájí bee k'idííníláago íí'áhígíí índa bits'áoz'a' bidziilgo ádá íinilaaígíí baa áhólyą́ą le'! 
19:80:016:0	Deidííłid; k'ídeisne'; hoshíníké nínílningo t'áá áko ádaadįįh! 
19:80:017:0	Ninish'náájí diné sizíinii éí diné silį́į'ii bidziilgo íinilaaígíí ádá nííníłtíinii éí bik'i dah dínílnii' le'! 
19:80:018:0	Áko índa doo nits'ą́ą́' t'ą́ą́' dah nídidiikah da; háádanihi'iyíłdįįh, áko nízhi' bee nída'iikąąh doo. 
19:80:019:0	T'áá ałtsoní bee Bóhólníihii Diyin God nílíinii, hasht'éénihídlééh; ayóó ánít'éii bee i'díłdlaadgo yisdánihidi'doo'nił.
