19:107:001:1	Bóhólníihii éí ach'į' nahwii'ná yits'ą́ąjį' yisdá'iinííł
19:107:001:0	Haa'íshą' Bóhólníihii bich'į' ahééh danohsin, háálá éí yá'át'ééh, aa a'ááh nízingo ahóyéel'á! 
19:107:002:0	Bi'ana'í bílák'eedę́ę́' yik'é niná'ídláago hááyoo'nilii Bóhólníihii nááyiyiisnii'ii bíni'dii kódaaníi le'. 
19:107:003:0	Éí kéyah nahaz'ą́ą́dę́ę́', ha'a'aahdę́ę́', e'e'aahdę́ę́', náhookǫsdę́ę́', shádi'ááhdę́ę́' áłah ánáyiidlaa. 
19:107:004:0	Ła' kin haal'áagi kéédahat'į́į dooleełgi ch'ééh hadeintáago honoojíidi doo naagháhídi tádadookai. 
19:107:005:0	Dichin danilį́įgo áádóó dibáá' danilį́įgo ch'ééh dadeeskai. 
19:107:006:0	Áko índa bich'į' nidahwii'náago Bóhólníihii nídayooskan, áko tsístł'adahaaskaii yits'ą́ąjį' yisdáyíínil. 
19:107:007:0	Kin haal'áá léi'gi kéédahojit'į́į dooleeł biniyé t'áá k'éhézdon atiingóó honí'eezh. 
19:107:008:0	Bóhólníihii aa a'ááh nízinígíí áádóó t'óó bik'eda'ayóii diné bada'áłchíní yá yaa naayáhígíí yaa dahaniih laanaa! 
19:107:009:0	Ii' sizíinii yídin nilínígíí yee hwiih nilį́įgo ánáyoodlííł. Dichin nilį́įgo yá'ádaat'éehii yee hwiih yił'į́. 
19:107:010:0	Ła' atídabi'dil'į́įgo béésh da'ahólzha'í bee dah dabi'diistł'ǫ́ǫgo chahałheełgi índa aniné bichaha'ohgi nidaháaztą́. 
19:107:011:0	Háálá Diyin God bizaad yich'į' naastee', áádóó Aláahgo Ayóó'át'éii binahat'a' doo deiniizį́į' da. 
19:107:012:0	Éí bąą naanish bidziilii bee badahojoobá'ígo ájiilaa. Naa'azhníídee'go t'áadoo háká oolyeedí da nít'éé'. 
19:107:013:0	Áko índa bich'į' nidahwii'náago Bóhólníihii nídayooskan, áko tsístł'adahaaskaii yits'ą́ąjį' yisdáyíínil. 
19:107:014:0	Chahałheeł índa aniné bichaha'ohdóó ch'éébí'nil, índa bee dah dadziistł'ónígíí há yiyiizhnizh. 
19:107:015:0	Bóhólníihii aa a'ááh nízinígíí áádóó t'óó bik'eda'ayóii diné bada'áłchíní yá yaa naayáhígíí yaa dahaniih laanaa! 
19:107:016:0	Háálá béésh łitsoii bee dáń'dadilkał ádaalyaii yiidiiłtaa', áádóó bich'ą́ą́h dah nída'atį́įhii béésh bee ádaalyaii aháiníłne'. 
19:107:017:0	Doo ádahalyáanii éí bee haz'áanii áádóó doo ákwii ádáát'įįdígíí biniinaa bich'į' nidahwiis'náá'. 
