19:10:001:1	Doo yá'ádaashóonii ádooldįįłígíí baa sohodizin
19:10:001:0	Bóhólníihii nílíinii, ha'át'íí biniyé doo deeghánídi honílǫ́? Shich'į' náhodii'náahgo ha'át'íí biniyé nínádít'į́į́h? 
19:10:002:0	Diné doo yá'ádaashóonii ádaa dadzódlíigo éí badahojoobá'íii nideiniłchéego atídeił'į́; yindahazgizii bíni' t'áá bí yiih náhákááh. 
19:10:003:0	Jó, diné doo yá'áshóonii bijéí yee adánoolníinii yee ádaa ha'niih, áádóó diné bił adáá háníinii yik'ijidlí; Bóhólníihii éí yijoołxá. 
19:10:004:0	Diné doo yá'áshóonii ádaa dzódlíigo doo Diyin God hát'į́į da. Diyin God ts'ídá doo yaa nitsíkees da. 
19:10:005:0	Yee át'éii t'áá áłahjį' bá yá'át'ééh neheleeh; bee nihodiyí'aahii doo bá biyeet'į́į́'góó biláahgo át'é; bi'ana'í danilíinii éí t'áá ałtso doo yináldzidgóó yiyiiłkóóh. 
19:10:006:0	T'áá bijéí biyi'ídi íinízin, Doo shídazhneel'ą́ą da; ts'ídá doo shide áhodooníił da. 
19:10:007:0	Óódziihgo áádóó bina'adlo'go áádóó bináhoodǫ́ǫsgo t'éí yáłti'; ádílááh saad índa saad nichǫ́'íii yee yáłti'. 
19:10:008:0	Kin naazhjaa'góó doo dahoot' į́į́dę́ę́' héesdáa łeh; doo dahoot'į́įdi diné doo ádidahodiilt'i'ii neiłtseed łeh; t'áá nahont'inee badahojoobá'íii háidéez'į́į́'. 
19:10:009:0	Náshdóítsoh bitsiijį' daditł'ooígíí be'a'áándę́ę́' héestį́ nahalingo doo hoot'į́į́dę́ę́' héestį́; bahojoobá'íii yił didoodił biniyé yaa héestį́; bahojoobá'íii tł'óół bee ódleehí yiih hini'ahgo yił didił. 
19:10:010:0	Aa naa'na'go yił tádíjeehii yee bidziilgo badahojoobá'íii áyaa ayii'nííł. 
19:10:011:0	T'áá bijéí biyi'ídi íinízin, Diyin God yooznah; binii' néidees'į́į'go ts'ídá doo yiidoołtséeł da. 
19:10:012:0	Bóhólníihii nílíinii, Diyin God nílíinii, díldzííł; dah didiilnííh; a'ohgo ádaat'éii baa yóónééh lágo. 
19:10:013:0	Ha'át'éegoshą' diné doo yá'áshóonii Diyin God doo bił nilį́į da? T'áá bijéí biyi'ídi, Doo shaa náhódóot'įįł da, nízin. 
19:10:014:0	Jó, yiniłtsą́; nidziil bee k'éédidíí' nííł biniyé ach'į' nahwii'nánígíí áádóó yínííł ádaat'éhígíí nił bééhózin; bahojoobá'íii éí naa ádeet'ą́; áłchíní bizhé'é ádaadinii bíká anánílwo'ii nílį́. 
19:10:015:0	Doo yá'áshónígi áádóó doo yá'át'éhígi ááníiłii yee bidziilii bits'ą́ą́' hítííh; doo yá'áshǫ́ǫ́góó yee ááníiłii ałtso ásíníłdįįdjį' hanítá. 
19:10:016:0	Hool'áágóó ahóyéel'áágóó Bóhólníihii aláahgo naat'áanii nilį́; bikéyahdóó ał'ąą dine'é ádoodįįł. 
19:10:017:0	Bóhólníihii nílíinii, a'ohgo ádaat'éii yídin danilíinii bá disíníts'ą́ą́'; dabijéí dabidziilgo áńdandle' dooleeł; éí bich'į' dah díníit'aahgo diits'į́į́h, 
19:10:018:0	áko nihokáá' dine'é doo yéédaaldzid da doo biniyé áłchíní bizhé'é ádaadinii índa bide ádahoot'éii bá baa nánít'į́į doo.
