19:73:001:1	Doo yá'ádaashóonii haa bidi'doolníłígíí
19:73:001:0	T'áá aaníí Diyin God éí Ízrel dine'é dabijéí bii' baa'ihii ádaadinii yaa jooba'. 
19:73:002:0	Nidi shí k'asdą́ą́' t'áadoo le'é bi'ądiishtáál; k'asdą́ą́' ałtádiighaz. 
19:73:003:0	Háálá diné doo yá'ádaashóonii náásgóó bada'iideełgo yiiłtsą́ągo éí yee ádaa daha'niihgo wooshch'į́į́d nít'éé'. 
19:73:004:0	Bits'íís doo bąąh daatééhgóó doo ti'dahoonííhgóó daniné. 
19:73:005:0	Náánáła' diné bich'į' nidahwii'nánígi át'éego bí doo ákót'éego bich'į' nidahwii'náa da; náánáła' diné bide áńdahoot'įįhígi át'éego bí doo ákót'éego bide áńdahoot'įįh da. 
19:73:006:0	Éí bąą ádaa ha'niih éí dabiyo' nahalin; t'áá na'níle'dii iiná éí éé' nahalingo yee hadadít'é. 
19:73:007:0	Daneesk'ahgo biniinaa bináá' hadaaz'á; dabijéí biyi'di deinízinígíí t'áá biláahgo yíchą́deídéelni'. 
19:73:008:0	Éí dááchxǫ'; diné yide ádahodoolíiłgo ayóó ádaalzaadgo doo yá'áshónígi át'éego yaa yádaałti'. 
19:73:009:0	Yót'ááh hiníláii yik'ee dadiniihgo yádaałti'; nahasdzáán yikáá' t'áá nidaakaigóó bitsoo' doo ádahodiilzééhgóó yádaałti'. 
19:73:010:0	Éí bąą bidine'é kojį' t'ą́ą́' nákai áádóó tó t'óó ahayóí t'áá bilááh daneel'ą́ągo yitaizką́. 
19:73:011:0	Áko diné doo yá'ádaashóonii ádaaní, Haash yit'éego Diyin God bił bééhózin? Aláahgo Ayóó'át'éiísh bił ééhózin? 
19:73:012:0	Shoo, díí diné doo Diyin God k'ehgo ádaat'éii danilį́. Nahasdzáán bikáá' bada'iideełgo da'ít'įįh. 
19:73:013:0	T'áá aaníí t'áadoo biniyéhígóó shijéí chin bąąh ádingo áshłaa índa t'áadoo bee ádąąh dah hosist'ánígóó shíla' tánínásgis nít'éé'. 
19:73:014:0	Háálá shá bíighah shide áhoot'éé nít'éé' áádóó t'áá ákwíí abíní shich'aho'dishkéego nashidi'nitin nít'éé'. 
19:73:015:0	Kót'éego hadeesdzih, dííniidgo, jó, na'áłchíní náás ahoolchíiłii binisílo' doo nít'éé'. 
19:73:016:0	Díí lá haash yit'éego bik'i'dideeshtį́į́ł lá nisingo t'áá íiyisí bik'ee ti'hwiisénii'. 
19:73:017:0	Nidi Diyin God bikin bii' sohodizin góne' yah ííyáago índa be'iina' nidahidoot'ihígíí baa ákoniizį́į́'. 
19:73:018:0	T'áá aaníí dahwíídéeltǫ'góó dahináago íinilaa; í'dooldįįłjį' ahíníłkaad. 
19:73:019:0	Dooládó' t'áadoo hooyání ábidi'dooldįįł da lá! Bik'eda'íyée'ii ałtso ádaboołdįįł lá! 
19:73:020:0	Na'iisdzeeldóó ch'éédzídzidígi át'éego, Bóhólníihii nílíinii, díldzíiłgo ana'í ádanóolninii dadíí'įį ł. 
19:73:021:0	Shijéí bíni' yii'a' yę́ędą́ą́'; shintsíkees jishhishiigi ádzaago 
19:73:022:0	t'óó doo áháshyą́ą da nít'éé' áádóó t'áadoo le'é doo shił bééhózin da nít'éé'; ninááł naaldlooshii nahonishłin nít'éé'. 
19:73:023:0	Azhą́ ákót'ée nidi, t'áá áłahjį' nił honishłǫ́; shíla' nish'náájí yínítą'. 
19:73:024:0	Ninahat'a' bee shiyííłááł, áádóó bik'ijį' hózhǫ́ǫgo haz'ą́ąjį' shił yah anídíít'ash. 
19:73:025:0	Háishą' shá yá'ąąshdi hólǫ́? Ni lá t'éiyá ni. Áádóó nahasdzáán bikáa'gi t'áá ni t'éiyá nídin nishłį́. 
19:73:026:0	Shits'íís áádóó shijéí nanííłna', nidi Diyin God bee shijéí bidziilgo índa shíí' nilį́įgo ahool'á. 
19:73:027:0	Háálá nits'ą́ądi nízaadi nidaaldeehii ádadoodįįł, jó'akon; da'ałjiłgo nits'ą́ądi naaldeehii t'áá ałtso ááłdįįł. 
19:73:028:0	Nidi t'áá áhánídóó Diyin God bich'į' niníyáago shá yá'át'ééh; ninaanish t'áá ałtso baa hashne' doo biniyé Bóhólníihii Diyin God bine' ahinishchéehii áshłaa.
