65:1:001:1	Pen . j .
65:1:001:0	IUdas gwasanaethwr Iesu Christ , a’ brawt Iaco , at yr ei a ’alwyt ac a sancteiðiwyt y gan Ddyw Tat , ac ynt gatwedic i Iesu Christ :
65:1:002:0	Trugaredd ywch , a’ thangneddyf a’ chariat a liosocer .
65:1:003:0	Vy‐caredigion , pā rois vy‐cwbl ddiwydrwydd ar escrivenu atoch am yr iechydvvrieth cyfredinavvl , angenraid oedd y mi scrivenu atoch ich annoc , y ymdrech‐yn‐ddirving ym‐plait y ffydd , rhon a roed vnwaith ir Sainct .
65:1:004:0	Can ys y mae rryw ddynion wedy ymlusco y mewn yr ei oeddent gynt wedy rrac ordino ir varnedigeth hon : andywolion ytynt yr ei ’sy yn ymchwelyd rrat Dyw yn ddrythyllvvch , ac yn gwadu Dyw yr Arglwyð vnic , a’n hArglwyð Iesu Christ .
65:1:005:0	Wollysio gan hynny ydd wyf ych coffan , yn gymeint ac ychwy vnwaith wybot hyn , p’wedd y bu ir Arglwydd , gwedy darvot iddo waredu y bopul allan or Aipht , destruo gwedy hyny yr ei ny chredent .
65:1:006:0	Yr Angelon hefyt yr ei ny chatwasāt eu dechreuat cyntaf , eithyr gadael eu preswylfa y hun , ef eu catwodd yn‐catwynae tragyvythal y dan dywyllwch yd varn y dydd mawr .
65:1:007:0	Megis Sodoma a’ Gomorrha , a’r dinasoedd oi hamgylch , yr ei yn gyffelip vodd ac wyntwy a wnaethant ’odinep , ac a ddilynesont gnawt arall , a ’osodwyt yn esempl , ac yn dyoddef dialeð tan tragyvythawl .
65:1:008:0	Yn gyffelip hagen y mae hefyt y breuddwydwyr hyn yn halogi’r cnawt , ac yn tremygu llywodraeth , ac yn cablu yr ei‐’sy mewn‐awdurtot
65:1:009:0	Eithyr Mihacael yr Archangel , pan ymrysonawdd ef yn erbyn diavol , ac ymðadleu am corph Moysen ny veiddiawdd y veio ef a chableu anyd dywedyt Ceryddit yr Arglwydd di .
65:1:010:0	Eithyr yr hein a gaplant y petheu ny wyddant : a ’pha betheu bynac a wyddant yn anianawl , megis aniueilieit , ys y yn ddireswm , yn y petheu hyny yr ymlygrant .
65:1:011:0	Gwae hwyntvvy ; can ys cerddesont yn ffordd Cain , ac eu trosgwyddwyt can dwylliat cyfloc Balaam , ac eu cyfercollwyt yn‐gwrthddywediat Core .
65:1:012:0	Yr‐ei‐hyn ynt vrycheu yn eich cariatvvleddoedd pan vont yn cydwledda a chvvi , yn ddiofn , yn eu pescy y hunain : wybrennæ ynt diddwfr , wedy eu cylcharwein gan wyntoedd , prenneu llygredic eb ffrwyth , ddwywaith yn veirwon , ac wedy eu diwreiddio .
65:1:013:0	Tonneu cynddeirioc y mor ydynt , yn ewynnu allan eu cywilydd y hunain : ser gwibioc , ir ei y catwyt duedd y tywyllwch yn dragyvyth .
65:1:014:0	Ac Enoch hefyt y saithfet o Adda , a prophwytawdd am y cyfryw ’rei , can ddywedyt , Wele , yr Arglwyð ’sy yn dyvot gyd a myrðion o ei sainctæ ,
65:1:015:0	I roi barn yn erbyn pawp , ac y argyweddu yr oll andewolion yn y plith hwy am eu holl andewiol weithredoedd , yr ei a wnaethant wy yn andewiol , ac am eu holl ymadroddion calet yr ei a ðywedei pechaturieit andewiol yn eu herbyn .
65:1:016:0	Yr ei hyn ynt murmurwyr , achwynwyr , ’rei yn cerddet yn ol y chwanteu y hunain : yr ei a ðyweit eu geneu valch‐betheu , yn rryveddu personae dynion , o bleit caffaeliat .
65:1:017:0	Eithyr , garedigion , cofiwch y gairieu y ragddywetpwyt y gan Apostolieit Iesu Christ ,
65:1:018:0	Can yddyntvvy ðywedyt ywch’ y byddei gwatworwyr yn yr amser dywethaf , yr ei a gerddent yn ol eu andewiol chwanteu eu hunain .
65:1:019:0	Yr hein ynt y sawl a ymohanant , cnawdolion , eb vot yr Yspryt ganthynt .
65:1:020:0	Eithr , chvvychwi garedigion , ymadeiladwch yn eich sancteiddiaf ffydd , gan weddiaw yn yr Yspryt glan ,
65:1:021:0	Ac ymgadwch yn‐cariat Dyw , gan edrych am drugaredd Iesu Christ , y vywyt tragyvythawl .
65:1:022:0	A’ thrugarhewch wrth ’rei , gan amravael‐varnu ,
65:1:023:0	A’ eraill cadwch ac ofn , gan eu tynnu allan o’r tan , a’ chasau ys y wisc vrychedig y gan y cnawt .
65:1:024:0	Ac i hwn a ddygon eich cadw , yn ddigwymp , ach gosot yn ddiveius yn‐gwydd ei ’ogoniant trwy ’orvoledd ,
65:1:025:0	Ys ef , y Ddyw yr vnic ddoeth , ein Iachawdur y bo gogoniant a’ mawrygrwydd , ac arglwyðiaeth , a’ meddiant , ys yr owrhon ac yn oll oesoedd , Amen .
