26:14:001:1	Eda'alyaii yich'į' nidahałáii éí Diyin God yá halne'ii nideídíłkidgo bá nidahodoot'ááł
26:14:001:0	Ákohgo Ízrel dine'é bitahdóó aląąjį' naazíinii léi' shaa yíkaigo shidááhdóó dineezbin. 
26:14:002:0	Áko Bóhólníihii kóníigo shich'į' haadzíí', 
26:14:003:0	Diné nílíinii, díí diné éí eda'alyaii dabijéí yídayółtą'ii áádóó doo ákwii ádaat'éii yik'ee dadidoogohii ádá nidayiisnil. Bíni'diísh nidashídíłkid? 
26:14:004:0	Éí bąą bich'į' handziihgo kóbidiní, Bóhólníihii Diyin God kóní, Diné ła'da eda'alyaii hajéí bíjółtą'go áádóó doo ákwii ádajít'éii bik'ee dahizhdigeehii ádáahgi nidajiiníiłgo Diyin God yá halne'ii baazhníyáii éí habe'elyaii t'óó ahayóígíí bik'ehgo shí Bóhólníihii nishłíinii hach'į' t'ą́ą́' háádeesdzih, 
26:14:005:0	áko Ízrel dine'é dabijéí dadeeshnééł, háálá bi'eda'alyaii biniinaa shits'ádahaaskai. 
26:14:006:0	Éí bąą Ízrel dine'é kóbidiní, Bóhólníihii Diyin God kóní, Łahgo át'éego tsíńdadohkeesgo nihi'eda'alyaii bits'ą́ąjį' dah nídahidoohkááh índa doo danihi'díldinii bits'ą́ąjį' hadanołne'. 
26:14:007:0	Háálá Ízrel dine'é t'ááłá'í jinítínígo, éí doodaii' Ízrel dine'é bitahgi tádazhdinéehii hwe'eda'alyaii hajéí bídajółtą'go biniinaa shits'ájiiskaii índa doo ákwii ádajít'éii bik'ee dahizhdigeehii ádáahgi nidajiiníiłgo Diyin God yá halne'ii baa dajiikáahgo shí nida'ízhdíłkidii t'áá shí hach'į' ééhodeesįįł; 
26:14:008:0	éí diné hats'ą́ąjį' dínísh'į́į' doo, bee ééhózinii áádóó saad bee haa yáti'ii áhodeeshłííł índa shidine'é bitahdóó áhodeeshdįįł, áko Bóhólníihii nishłį́įgo nihił béédahodoozįįł. 
26:14:009:0	Nihitahdóó halne'ii ła' hazdoodzihgo áho'diilyaago éí shí Bóhólníihii nishłíinii hahoyííłdzíi' doo; hach'į' k'ídideeshchiłgo shidine'é Ízrel bits'ą́ąjį' áhodeeshdįįł. 
26:14:010:0	Doo ákǫ́ǫ́ ájíít'įįdgóó biniinaa atíhodi'doolnííł; halne'ii éí nabídééłkidii atíbi'diilyaaígi át'éego atího'didoolnííł, 
26:14:002:1	Diyin God éí Jerúsalem atíidoolíiłgo t'áá ákogi át'ée doo
26:14:011:0	áko Ízrel dine'é doo shits'ą́ą́' yóó'anáádookah da, índa bee haz'áanii k'ídeizti'ígíí t'áá ałtso doo yee ánáádadi'doolchxǫǫł da, nidi shidine'é danilį́į doo, áádóó biDiyin God nishłį́į doo, ní Bóhólníihii Diyin God. 
26:14:012:0	Áádóó Bóhólníihii kóníigo shich'į' hanáánáádzíí', 
26:14:013:0	Diné nílíinii, łahgo diné bił haz'ą́ą́dóó doo ákwii ádaat'ínígíí yee shich'į' ádił nida'iilzíihgo áádóó bich'į' k'ídíshchi'go bááh íiyisí yee dah hináanii áshdįįhgo áádóó ákwii dahodichingo ásh'įįhgo índa éí kéyah bikáá'dóó diné áádóó naaldlooshii nisíłtseedgo, 
26:14:014:0	azhą́ Nóah áádóó Daniel índa Job, díí diné tált'éego éí kéyahgi kéédahat'į́į́ nít'éé' nidi, t'áá ákogi ádaat'éhígíí yee t'áá bí t'éí yisdádahaaskai doo, ní Bóhólníihii Diyin God. 
26:14:015:0	Naaldlooshii dahashkéii éí kéyah bii'góó bi'níłnii'go kéyah ałtso dayííłchxǫ'go doo naagháhí da hazlį́į'go, áko naaldlooshii dahashkéii ákwe'é hólónígíí bąą diné doo ła' ákóne' ch'óoya' át'éégóogo, 
26:14:016:0	díí hastóí tált'éego azhą́ ákwii kéédahat'į́į́ nít'éé' nidi, Bóhólníihii Diyin God ání, Ts'ídá t'áá aaníí hinishná; ákót'éego ts'ídá t'áá aaníí bí t'éí yisdádoo'nił; biye'ké índa bitsi'ké doo yisdádeidoonił da, nidi kéyahgi doo nidaagháhí da doo. 
26:14:017:0	Éí doodaii' diltłish ákwii nítą́ągo áádóó, Diltłish, nahashkáá'góó hadiikęęs, bidííniidgo éí bee diné áádóó da'alį́į́' nisíłtseedgo, 
26:14:018:0	díí hastóí tált'éego azhą́ ákwii kéédahat'į́į́ nít'éé' nidi, Bóhólníihii Diyin God ání, Ts'ídá t'áá aaníí hinishná; ákót'éego ts'ídá t'áá aaníí t'áá bí t'éí yisdádoo'nił; biye'ké índa bitsi'ké doo yisdádeidoonił da. 
26:14:019:0	Doodaii' éí kéyahdi nahałniih áshłaago áádóó t'óó báhádzidgo bich'į' hashké niisdzį́'ígíí bee dił naazlį́ silį́į'go diné áádóó da'alį́į́' nisíłtseedgo, 
26:14:020:0	Nóah áádóó Daniel índa Job azhą́ ákwii kéédahat'į́į́ nít'éé' nidi, Bóhólníihii Diyin God ání, Ts'ídá t'áá aaníí hinishná; ákót'éego ts'ídá t'áá aaníí t'áá bí t'éiyá t'áá ákogi ádaat'éhígíí yee yisdádahaaskai doo; biye'ké índa bitsi'ké doo yisdádeidoonił da. 
26:14:021:0	Jó, Bóhólníihii Diyin God kóní, Dį́į'go hóyée'go bee aa nídeesht'įįłii Jerúsalem kin haal'á bik'ijį' bidííchidgo ákwii diné áádóó da'alį́į́' nabídoodįįł biniyé diltłish áádóó dichin áádóó naaldlooshii dahashkéii índa naałniih báhádzidii t'ah yówehgo ádoonííł. 
26:14:022:0	Nidi aye'ké índa atsi'ké daadzí'ígíí ch'ídabidi'yoot'ish; jó, éí naa haaskaigo ádaat'éii índa yaa nidaakaígíí bá daníníł'į́į'go Jerúsalem atéshłaaígíí t'áá ałtso éí bąą ha'íínílníi doo. 
26:14:023:0	Ádaat'éii índa yaa nidaakaígíí bá daníníł'į́į'go ha'íídíílniił, áko Jerúsalemgi baa niséyáhígíí t'áá ałtso doo t'áadoo biniyéhígóó baa niséyáágóó nił bééhodoozįįł, ní Bóhólníihii Diyin God.
