26:4:001:1	Jerúsalem biná'áznáago hanááł ályaa
26:4:001:0	Nidi, diné nílíinii, bist'ą́'í sit'éhígíí ła' nídii'aahgo nidááhdóó niní'aah; bikáa'gi Jerúsalem kin haal'áhígíí béé'ídlééh; 
26:4:002:0	bik'i dah adishjée'go ádíílííł; bich'į' bine' na'adzi'ii ádíílííł índa bíilk'idgo ádíílííł áádóó ałdó' binaagóó siláo dah deínéehgo ádíílííł índa binaagóó tsin bee na'nílgohígíí naaznilgo ádíílííł. 
26:4:003:0	Áádóó ałdó' béésh nitł'izii łeets'aa' niteelii nídii'aahgo Jerúsalem bich'į' ádáahgi nihidiitséehgo doo ákónít'éégóó bich'į' ninít'aah, áko biná'áshzhiizhgo ánílééh. Ízrel dine'é dajílíinii díí hach'į' bee ééhózin doo. 
26:4:004:0	K'ad éí nishtł'ajigo naa níshíníjizhgo níteeh, áko Ízrel dine'é doo ákǫ́ǫ́ ádáát'įįdii nooshk'iizhjí ákáá' dasíyeeh; naa níshíníjizhgo sínítínígíí t'áá yoołkááł bik'eh Ízrel dine'é doo ákǫ́ǫ́ ádáát'įįdii bá dah yíyéeł doo. 
26:4:005:0	Ízrel dine'é doo ákǫ́ǫ́ ádaat'į́į́góó nináháháahii t'áá éí bik'ehgo táadi neeznádiindóó ba'aan náhást'édiin yiską́ąjį' ákót'éego sínítį́į dooleełgo naa diní'ą́, kót'éego Ízrel dine'é doo ákǫ́ǫ́ ádáát'įįdii bá dah yíyéeł doo. 
26:4:006:0	Díí ałtso ła' yinilaago ninish'náajigo náádíníítéełgo Júdah dine'é doo ákǫ́ǫ́ ádáát'įįdii bá dah yíyéeł doo; dízdiin yiską́ąjį' kót'éego sínítį́į doo; t'ááłá'í niyiiłkaahígíí éí t'ááłá'í náháhígíí bik'ehgo wólta'go naa diní'ą́. 
26:4:007:0	Nigąąziz de niigiizhgo Jerúsalem bik'i dah adishjé'ígíí bich'į' doo ákónít'éégóó ninít'aah áádóó Jerúsalem bik'ijį' hadíídzih. 
26:4:008:0	K'ad shoo, Jerúsalem ałtso bik'i dah adishjée'jį' doo náhííjish da dooleełígíí biniyé nik'i ni'deeshtł'ooł. 
26:4:009:0	Náá'ákóne' tł'oh naadą́ą́' índa tł'oh naadą́ą́' bidee'í, naa'ołí ałdó' índa naa'ołí nímazí áádóó tł'oh naadą́ą́' biyázhí índa tł'oh naadą́ą́' noolniní éí ahiih dadííjih áádóó ałtaa nídíík'áałgo taidíínihgo ádá bááh ádíílííł; táadi neeznádiindóó ba'aan náhást'édiin yiską́ąjį' nishtł'ahjigo sínítį́įgo éí bááh niyą́ą doo. 
26:4:010:0	T'ááłá'í dah adiidlohígíí ałníí'dóó áníłdásígíí bíighahgo ła'a jį́įjį' nánídį́įh doo. 
26:4:011:0	Tó díídlį́łígíí éí kwáart ałníí'dóó ba'aan bíná'neel'ąąhgo ła'a jį́įjį' ts'ídá t'áá ákwe'é oolkiłgo nánídlį́įh doo. 
26:4:012:0	Bááh ályaaígíí diné bichaan bee niłt'eesgo binááł nánídį́įh doo. 
26:4:013:0	Áádóó Bóhólníihii ánáádí'ní, Ízrel dine'é éí ał'ąą dine'é bitahgóó tahodínéeshkałígíí éí kót'éego bááh doo dílzinii dajiyą́ą doo. 
26:4:014:0	Áádóó ádíshní, Shoo, Bóhólníihii Diyin God nílíinii, ts'ídá la' t'ah doo kót'éego t'óó shaa'ihgo í' díshnéeh da; t'áá bíni' daaztsáanii áádóó naaldlooshii nibiizhnizhii índa atsį' doo dílzinii éí ashiiké nishłį́į́dą́ą́'dóó díí jį́įjį' ts'ídá t'ah doo ła' yishą́ą da. 
26:4:015:0	Áádóó ánááshidi'ní, Diné bichaan bitsásk'ehgi béégashii bichaan bee bááh niłt'ees dooleełgo naa diní'ą́. 
26:4:016:0	Áádóó ánááshidi'ní, Diné nílíinii, shoo, Jerúsalemgi kóhodeeshłííł: bááh bídin hóyée'go ádeeshłííł, áko bááh há dah dahidiidleehgo hoł nidahooyeehgo dajiyą́ą doo; t'óó bik'ee hoł adahayóigo tó áłch'į́į́dígo hataaka'go dajidlą́ą doo; 
26:4:017:0	bááh índa tó hwee ádaadingo ałch'į' t'óó hoł adahayói doo índa doo ákwii ádajíít'įįdígíí biniinaa nidahizhdoołgą́ą́ł.
