26:31:001:1	Féro áádóó bidine'é náasdi abi'di'doolnííł
26:31:001:0	Ła'ts'áadah yihah góne', táá' nídízííd binih, ła'a jį́į́góó yoołkáałgo Bóhólníihii shich'į' haadzíi'go kóní, 
26:31:002:0	Diné nílíinii, Ííjip dine'é aláahgo binanit'a'í Féro áádóó diné eel'áago yinant'áhígíí ábidiní, Ayóó ádanoht'éego háí lá bił ahąąh ninihideeshnił lá? 
26:31:003:0	Shoo, Asíriya dine'é éí Lébanandi hodíłch'ilgi gad léi' t'ááłá'í agháá'áago bits'áoz'a'ígíí baa dadzólní áádóó díłch'ilgo biyaagi chaha'oh; dego wót'ááh yí'áago k'os biih yí'á. 
26:31:004:0	K'idoolyáago íí'áhígi tooh binázlį́, áádóó éí tó bits'ádaazlį́įgo binaagóó tsin yíl'áhígíí t'áá ałtso da'adlą́, áko éí gad íí'áhígíí t'óó ahayóí tó baa nílį́, áádóó éí tóhígíí yee wót'ááh níísą́. 
26:31:005:0	Ákwe'é tó t'óó ahayóigo bąą tsin yíl'áhígíí t'áá ałtso yilááh níísą́, bits'áoz'a' lą'í áádóó danineez daazlį́į́'. 
26:31:006:0	Bits'áoz'a' bąąhgóó tsídii wót'áahdi nidaat'a'ii t'áá ałtso bit'oh ádayiilaa, bits'áoz'a' biyaagóó éí halgaigóó naaldlooshii t'áá ałtso ákǫ́ǫ́ nida'iishchį́, áádóó bichaha'ohgóó ał'ąą dine'é ayóó ádaat'éii t'áá ałtso kéédahat'į́į́ nít'éé'. 
26:31:007:0	Behétł'óól tó t'óó ahayóí nílį́įjį' łeeh daneesánígíí bee bits'áoz'a' ayóó ádaníłnééz daazlį́į́', áko ayóó át'éego t'óó baa dzólníigo sikaad. 
26:31:008:0	Diyin God bidá'ák'ehgi gad yíl'áhígíí éí doo nídabidół'į́į́ł át'ée da, áádóó ch'ó bits'áoz'a' éí gad ayóó áníłnéezii bits'áoz'a' doo bí'jítį́įh da, índa tsin chá'oł éí gad bits'áoz'a' bił ahąąh nahodi'nilgo yáadi shį́į́ nidahojílin; Diyin God bidá'ák'ehgi tsin yíl'áhígíí éí doo ła' ákót'éego baa dzólníi da. 
26:31:009:0	Bits'áoz'a' t'óó ahayóígíí bee baa dzólníigo áshłaa; Diyin God bidá'ák'ehgi Ííden hoolyéegi tsin yíl'áhígíí t'áá ałtso daboołch'į́į́d. 
26:31:010:0	Éí bąą Bóhólníihii Diyin God kóní, Ayóó áníłnééz silį́į́' áádóó k'os yiih níísą́ągo bijéí biyi'dę́ę́' ádaa ha'niih silį́'ígíí, 
26:31:011:0	biniinaa ał'ąą dine'é bitahdóó ayóó át'éii nilínígíí baa hodideesh'ááł; doo yá'ájíshǫ́ǫ́góó biniinaa t'áá áhodi'doolníłígíí bíighahgo haa nídóot'įįłgo ch'íhodínéeshchééł. 
26:31:012:0	Ał'ąą dine'é bitahdóó dé'éyóní danilíinii, ts'ídá agháago báádahadzidii éí k'ídahaztsxéelgo t'áá ákǫ́ǫ́ jiztą́ągo ádahoolaa; dził daní'áágóó áádóó dahóníts'aa'góó hats'áoz'a' adahidínóodah; hats'áoz'a' éí nidahaastǫ'go kéyahdi dabikoohgóó t'áá ałtsogo naaztą́ą doo áádóó nihokáá'góó dadine'é danilíinii t'áá ałtso hachaha'ohdóó hahidookahgo hats'áhidookah. 
26:31:013:0	Gad naa'anííkaadii éí tsídii wót'áahdi nidaat'a'ii t'áá ałtso yii'góó dabaghan doo, áádóó halgaigóó naaldlooshii t'áá ałtso éí gad bits'áoz'a' yik'i naaldeeh doo. 
26:31:014:0	Tsin tábąąhgóó íí'áii doo ła' ayóó áníłnééz náádoodleeł da, índa k'os doo yiih náádínóoséeł da, índa náánáła' tsin ákót'éego tó yidláanii doo ákóníłnééz náádoodleeł da biniyé áhóót'įįd; jishcháá' góyaa ahekáhígíí bił ni' bitł'ááh góyaa dazhdooleeł; diné daninéii bitahgi atah dazhdínóonéełgo haa dadeest'ą́. 
26:31:015:0	Bóhólníihii Diyin God kóní, Jishcháá' góyaa silį́į'go t'óó haa yínííł danilį́įgo ádeeshłííł; tooh danílíinii doo danílį́į́góó ádeeshłííł, áko tooh t'óó ahayóí doo danílį́į da doo; éí biniinaa Lébanan kéyahgi kéédahat'íinii atínídadindleehgo ádeeshłííł áádóó éí biniinaa tsin adaaz'áii t'áá ałtso daniiłna'. 
26:31:016:0	Jishcháá' góyaa deíkáhígíí bił hool'áágóó ti'hoo'nííh góyaa ahííłhango nihízdeesxałgo ayóó íists'ą́'ígíí bee ał'ąą dine'é bitah dahoditłidgo ádeeshłííł; Ííden hoolyéegi tsin yíl'áii t'áá ałtso áádóó Lébanan hoolyéegi tsin agháago yá'ádaat'éehgo bitah haasdlá'ígíí t'áá ałtso, tó deidlánígíí t'áá ałtso ni' bitł'áahdi hada'íídóolniił. 
26:31:017:0	Diltłish bee nidabi'diztseedii bich'į' ał'ąą dadine'é t'áá hoł hool'áágóó ti'hoo'nííh góyaa ałdó' dadzizlį́į́'; hadziilgo ádahoolaii éí ał'ąą dine'é bitahgóó hachaha'ohgi kéédahat'į́į́ nít'éé'. 
26:31:018:0	Ííden hoolyéegi ayóó ádanihóodziil áádóó ayóó ádanoht'éego háí lá bił ahąąh ninihideeshnił lá? Íídengi tsin yíl'áhígíí t'áá bił ni' bitł'ááh góyaa ánihidi'doo'nił; doo bąąh nídahineeshgizhii diltłish bee nidaaztseedii bitahgi sínítį́į doo.Díí lą́ą Féro áádóó bidine'é ayóó ánéelą́ą'go éí ádaat'į́ ni, ní Bóhólníihii Diyin God.
