26:22:001:1	Jerúsalem ádił da'asiihii
26:22:001:0	Áádóó ałdó' Bóhólníihii shich'į' haadzíi'go ání, 
26:22:002:0	Diné nílíinii, kin haal'áhígi diné naatseedgo bidił danílínígíísh baa nídíít'įįł? Éísh baa nídíít'įįł? Ákónínéehgo doo yildinígi ájíít'įįdígíí t'áá ałtso bee hoł hodíílnih. 
26:22:003:0	Kóbididííniił, Bóhólníihii Diyin God kóní, Kin haal'áagi diné nideiłtseedgo bidił danílį́įgo ádeile'ii índa eda'alyaii ádá ádeile'go yee nida'ádiilchxǫǫhii éí atíhodi'doolníłígíí bik'íhodoolzhishgo át'é. 
26:22:004:0	Dił danílį́įgo ádahwiinilaaígíí bee ádihodinilt' i'; eda'alyaii ádeinilaaígíí bee ádíínílchxǫ'; éí bee bijį́ ándi'doolníłígíí koshídę́ę́' ách'į' nidíínídzį́į́z, nánihoot'áanii éí baa hoolzhiizh; éí bąą ał'ąą dine'é nándahałt'i'go ániishłaa áádóó kéyah naaznildę́ę́' t'áá ałtso naa daadlohgo ániishłaa. 
26:22:005:0	Doo yá'áníshxóonii índa nił hóóląądgo hahwííníł'áii, t'áá áyídígóó kéédahat'íinii índa nízaadi kéédahat'íinii ná nidahałt'i' doo. 
26:22:006:0	Nitahgi Ízrel dine'é binanit'a'í danilíinii t'ááłá'í nítínígo bibee adziilii bik'ehgo diné nidootsiłgo bidił danílį́į dooleełígíí yídadínéelná, jó'akon. 
26:22:007:0	Nihitahgóó azhé'é índa amá dei'į́; tł'óó'dę́ę́' nihaa nídaaldahígíí yinda'alo'go bik'ee ti'dahoonííh; áłchíní bizhé'é ádaadinii índa asdzání bąąh ádahasdįįdii nihitahgóó doo ákǫ́ǫ́ ádayííł'įįd da. 
26:22:008:0	Dadílzinii daashíhígíí dasoo'įįd índa shiháá'áyį́į́h jį́ doo diyingóó ádaohłaa. 
26:22:009:0	Nihitahgóó diné nidootsił biniyé t'áá ádzaagóó yaa dahalne'go bidił danílį́įgo ádeile' áádóó dziłghą́ą'di doo dahodísingóó da'ayánígíí nihitah hólǫ́ índa nihitahgóó na'ageh yaa nidaakai. 
26:22:010:0	Nihitahgóó dahazhé'é bida'asdzą́ągo bił da'ahizhdoolyá índa nihitahgóó diné éí asdzání ąądii nilíinii yá nida'azyeh. 
26:22:011:0	Diné ła' éí diné yił kééhat'íinii be'asdzą́ą́ doo yildinígi áyííł'įįd; náánáła' diné éí bizháá'áád yił ahidoolyá; nihitahgóó náánáła' diné éí bizhé'é bitsi', hadeezhígo bádzízyeh. 
26:22:012:0	Nihitahgóó diné diyoolyééł yiniyé diné yik'é ałch'į' nida'iizlá. Bił kééhót'íinii bits'ą́ą́dóó ínáóltą'í biniyé nááhíníchid; bee bilááh níí' dooleełii ahanihínínil índa nee áchą́hwíídéeni'go bee bilááh dooleełii hasht'e'nihínínil; kwíínít'įįdígíí bee sheisínínah, ní Bóhólníihii Diyin God. 
26:22:013:0	Éí bąą ina'ílo'go shóísíníłt'e'ígíí áádóó nihitahgóó diné nidaaztseedgo bidił dadeezna'ígíí biniinaa yéego ahísíkad, jó'akon. 
26:22:014:0	Nihainísht'į́įgo yidiiską́ądi daats'í hada'íínóhníigo bídanoł'ą́ą dooleeł, índa bich'į' daats'í danihidziil dooleeł; ts'ídá bi'deeshłíłí, shí Bóhólníihii haasdzíí'. 
26:22:015:0	Kéyah naaznilgóó tanihiidínéeshkałgo ał'ąą dine'é bitahgóó tanihiidínéeshkał, áádóó nichxǫ́'ígíí nihii'di dahólóonii ałtso nihii'dę́ę́' hahidideeshk'ą́ą́ł. 
26:22:016:0	Áádóó ał'ąą dine'é bitahgóó nidi'doolchxǫǫł, áko índa Bóhólníihii nishłį́įgo nił bééhodoozįįł. 
26:22:017:0	Áádóó Bóhólníihii shich'į' haadzíi'go kóní, 
26:22:018:0	Diné nílíinii, Ízrel dine'é éí béésh łigaii bits'ádahideesyį́'ígíí silį́į'go baa nitséskees; t'áá ałtso déédíljah góne' béésh łitsoii áádóó béésh kágí, béésh nitł'izii índa dilyį́hí éí béésh łigaii bits'ádahideesyį́į'ii danilį́. 
26:22:019:0	Éí bąą Bóhólníihii Diyin God kóní, T'áá ánółtso ats'ádahideesyį́į'ii dasoolį́į'go bąą Jerúsalem nahaníi'gi áłah ánihideeshłííł, jó'akon. 
26:22:020:0	Diné éí béésh łigaii áádóó béésh łitsoii áádóó béésh nitł'izii áádóó dilyį́hí índa béésh kágí didoolyįhígíí biniyé déédíljah góne' adayiiniłgo yik'ijį' kǫ' deisołígíigi át'éego sháhóóchįįdígíí índa t'óó báhádzidgo bee atí'ésh'į́įgo áłah ánihideeshłííł, áádóó yah anihideeshniłgo ałtso nihidideeshxįh. 
26:22:021:0	Áko áłah ánihideeshłíiłgo t'óó báhádzidgo bee atí'ésh'íinii bikǫ' nihik'ijį' deesoł, áko éí bitahgi ałtso dadidoołhįh. 
26:22:022:0	Déédíljah góne' béésh łigaii doolyį́'ígíigi át'éego nihí ałdó' t'óó báhádzidgo bee atí'ésh'íinii bee nihidi'doolyįh, áko shí Bóhólníihii t'óó báhádzidgo bee atí'ésh'íinii nihik'ijį' áshłaaígíí nihił bééhodoozįįł. 
26:22:023:0	Áádóó Bóhólníihii shich'į' haadzíi'go ání, 
26:22:024:0	Diné nílíinii, kóhodiní, Nich'į' doo shił hóózhǫǫdą́ą́' kéyah doo hasht'ená'néehii índa bikáá' doo nahałtinii nílį́. 
26:22:025:0	Náshdóítsoh bitsiijį' daditł'ooígíí yidoolghałii yił didiłgo niyiiłdla'ígi át'éego hatahgi áhodooníiłii yaa dahalne'ii hondaha'á; diné dayooldéél; yódí índa da'ílíinii nishódayoost'e'; hatahgi asdzání t'óó ahayóí yąąh ádahasdįįd. 
26:22:026:0	Hanáá'iiłniihii danilíinii éí shibee haz'áanii doo yik'eh dahóół'įįd da; shá dadílzinii éí doo dadílzingóó ádayiilaa; dadiyinii índa doo dadiyinii éí doo ał'ąą ádayósingóó t'áá ałtso aheełt'éego ádayósin índa, Yá'át'éehii áádóó t'óó baa'ihii éí doo ał'ąą át'ée da, daaníigo yínda'neeztą́ą́'; shiháá'áyį́į́h jį́ doo bił danilį́į da, áko bitahgóó doo anishłį́į da. 
