46:16:001:1	Vit'eegwijyąhchy'aa Vigii Nąįį Laraa Gooveenjit Teegwagwąhjii
46:16:001:0	Jii laraa eenjit nakhwats'ą' ch'adanǫįįtł'oo t'ee Vit'eegwijyąhchy'aa vigii nąįį Judea nahkat gwich'in eenjit laraa tee gwagwahjii ąįį geenjit, Galatia nahkat gwizhit tr'igiinkhii zheh nąįį deekhwa'yaa goovaihnyąą ąįį gwik'it chan t'akhwa'yaa. 
46:16:002:0	Drin zhit hee nakhwateegwagwaanchy'aa ts'ą' laraa tsal tthok nanoozhit, deegwahtsii dhohtsąįį gwik'iighai' valak tthok nǫhłii, nijin zhat k'eihdik ji', duuyeh laraa teegwarąhjii t'oonchy'aa geenjit. 
46:16:003:0	Nijin k'eihdik ji' jidii dęhtły'aa kat gwadanoiitł'oo ąįį juu dinjii nakhweenjit nizįį ąįį gwiteetr'oolii nąįį antł'eehihłyaa, ąįįts'ą' nakhwalaraa Jerusalem gwantł'ee giheelyaa. 
46:16:002:1	Paul, Deehee'yaa Geeginkhii
46:16:004:0	Gwats'ą' hihshyaa geenjit gwinzii gwik'it goo'aii ji' shaa giheedaa. 
46:16:005:0	Macedonia gehgoo hihshyaa gwizhrįh goo'aii, izhit ji' nakhwats'ą' hihshyaa. 
46:16:006:0	Gwintsal nakhwaa hihdyaa, duulee khaii datthak nakhwaa hihdyaa, ąįįtł'ęę nijuk hihshyaa goo'aii ąįį geenjit jidii t'aałchy'aa haa shats'ahohjyaa. 
46:16:007:0	Juk zhat gehgoo hoiizhii ji' nakhwaa gwintsal oihdi' nihthan, gaa K'eegwaadhat k'iighai' niighyuk nakhwaa hihdyaa. 
46:16:008:0	Gaa Pentecost Drin gwagwahahtsyaa gwats'ą', dzaa Ephesus kwaiik'it gwachoo hihdyaa. 
46:16:009:0	Lęįį nąįį shitr'ii'ee gaa dzaa łyaa K'eegwaadhat veenjit gwitr'it gwintsii t'agwahał'yaa gwanlii. 
46:16:010:0	Timothy, nakhwats'ą' haazhii ji' gwinzii vak'ǫǫhtii, K'eegwaadhat eenjit gwitr'it t'agwał'in gwik'it adan t'ee gwitr'it t'agwah'in t'inchy'aa. 
46:16:011:0	Veenjit yijihoh'e' ts'ą' zhyaa nǫh'ya' shrǫ', gaa tsinehdan zhit nahkat gwa'an k'eheedik geenjit vats'ohnyąą. Ąįįts'ą' gwik'injiighit yaa neehiidal nąįį haa sheek'ineeheedik geenjit noodhal'in t'inchy'aa. 
46:16:003:1	It'ee Jii Zhrįh T'ihihjyaa
46:16:012:0	Gwik'injigwiighit zhit diinoondee Apollos, khit ts'ą' gwik'injiighit nąįį haa nakhwaniheekhaa geenjit jyaa vaihnyąą gaa juk zhat jyaa dasho'ya' yiindhan kwaa. Gaa gwik'it veenagwaanaii ji', gwik'it t'ihee'yaa t'inchy'aa. 
46:16:013:0	Nakhwagwik'injigwiighit zhit gwiint'aii nohthat haa adak'ǫǫntii, ts'ą' nakhwat'aii gwanlii haa noojat kwaa. 
46:16:014:0	Gwitr'it datthak ch'eet'igwiniindhan zhit t'akhwa'in. 
46:16:015:0	Stephanas ts'ą' dizhehk'ąą haa goovaakhwandaii, geedan t'ee tr'ookit Achaia gwa'an Christ k'injigiindhat t'oonchy'aa. Ąįįts'ą' Vit'eegwijyąhchy'aa vigii nąįį eenjit gwintł'oo gwitr'it t'agwagwah'in t'igiinchy'aa. Shijyaa nąįį nakhwats'ą' ch'oodooshakwat, 
46:16:016:0	jii dinjii k'it t'inchy'aa nąįį tąįį ohdaa, ąįį juu gook'it gwik'injiighit ts'ą' K'eegwaadhat eenjit gwint'aii gwitr'it t'agwah'in nąįį chan tąįį ohdaa. 
46:16:017:0	Khadhanjii gwideek'it Stephanas, Fortunatas, ts'ą' Achaicus nąįį dzaa nigijyaa łyaa shoo ihłii. 
46:16:018:0	Shoo nigiłtsąįį gwik'it shįį chan shoo shigiłtsąįį, dinjii jiinchy'aa nąįį tr'oołk'ii ts'ąįį gwinzii t'oonchy'aa. 
46:16:019:0	Asia nahkat tr'igiinkhii zheh nąįį gwizhit nakhwadiveegoozų' nakhwagahnyąą. Dinjii Aquila ts'ą' va'at Priscilla haa juu gwik'injiighit nąįį tr'igiinkhii googwahahtsyaa geenjit goozheh nineedal nąįį, “K'eegwaadhat k'iighai' nakhwadiveegoozų'!” nakhwagahnyąą. 
46:16:020:0	Dzaa gwik'injiighit datthak nąįį chan “Nakhwadiveegoozų'!” nakhwagahnyąą.Nihłoo'in dąį' ch'eet'igwiniindhan haa nihłanli' ǫhjii. 
46:16:021:0	Shįį, Paul chan jii nakhwats'ą' dįhtł'oo, “Nakhweenjit doonchy'aa?” 
46:16:022:0	Juu K'eegwaadhat Jesus eet'iindhan kwaa t'ee Vit'eegwijyąhchy'aa yats'ąįį nadhat kwaa t'oonchy'aa! Maranatha! (Diik'eegwaadhat k'anoodik! Maranatha t'ee Aram ginjik zhit jii jyaa digwinyąą t'igwinyąą.) 
46:16:023:0	K'eegwaadhat Jesus vich'eegoonzhrii nakhwaa oolį'. 
46:16:024:0	Christ Jesus vik'iighai' shich'eet'igwiniindhan nakhwaa oolį'.
