46:2:001:1	Christ Nihk'ataa'ee (Cross) Kat Giłtsak Googwandak
46:2:001:0	Shachaa nąįį, Vit'eegwijyąhchy'aa vagwandak eenakhwahałchyaa, geenjit nakhwats'ą' hoiinzhii dąį' jii t'ee gwik'it t'ishizhik ginjik vagwantrii haa t'ihnyąą kwaa ts'ą' gaandaii choh ginkhii k'it t'ihnyąą kwaa. 
46:2:002:0	Ch'ihłee nakhwaa dhiidii dąį' jidii datthak gineehaldee nihthan, gaa Jesus Christ ąįį jaghaii nihk'ataa'ee (Cross) kat niindhat ąįį gineehaldee kwaa. 
46:2:003:0	Nakhwats'ą' hoiinzhii dąį', shat'aii kwaa gwizhit najat haa daltrat. 
46:2:004:0	Ąįįts'ą' chan Vit'eegwijyąhchy'aa Viginjik eenakhwaałtan dąį' jii nankat gwiginjik haa tsinteenakhwałkaii zhit gwik'injinakhwałkhit kwaa, gaa zhit Ch'anky'aa Shroodiinyąą nakhwazhit niint'aii ąįį nakhwats'ą' łi'didlii haa t'ihnyąą nakhwats'ą' gwigweełkįį. 
46:2:002:1	Vit'eegwijyąhchy'aa Vigwizhi'
46:2:005:0	Izhit geh'an jii nankat deeginyąą gwigwizhi' haa gwik'injohkhit kwaa gaa Vit'eegwijyąhchy'aa vat'aii haa gwik'injohkhit. 
46:2:006:0	Nijin vigwik'injigwiighit nint'aii nąįį gaandaii haa dhidii dąį', Vit'eegwijyąhchy'aa vigwizhi' nint'aii ginjik haa geech'ǫąąłtan. Jii nankat gwats'an gwigwizhi' t'aihnyąą kwaa, akwat jidii t'aih haa jii nankat gwats'ą' k'eedeegwaadhat nąįį t'aihnyąą kwaa, ąįį nąįį goot'aii ts'an t'aih an ilii. 
46:2:007:0	Jii gwizhįh eegwaraandak t'ee Vit'eegwijyąhchy'aa vigwizhi' t'inchy'aa. Ąįįt'ee nan hahtsyaa gwehkįį dąį' gwats'an diihił'ee geenjit t'iizhik gaa jii nankat gwidinji' nąįį ts'į' niyąąh'įį t'inchy'aa. 
46:2:008:0	Jii nankat gwats'ą' k'eedeegwaadhat nąįį Vit'eegwijyąhchy'aa vigwizhi' haagiindaii kwaa. Gaagiindaii ji' K'eegwaadhat vich'eegwąhndit jiintsii nilii duuyeh gagahtsak t'iginchy'aa. 
46:2:009:0	Ąįį googaa Dęhtły'aa Choh kat gwadanakhwatł'oo,“Jidii ch'ihłok gaa gwiriitth'ak kwaa,ts'ą' gwaraah'in kwaa,k'eegwiichy'aa t'igwehee'yaa ąįį gwadrąįį gaa ninjich'ǫhthat kwaa,jii kwaii t'ee Vit'eegwijyąhchy'aa veet'ohthan geenjit shrigwiinlik.” 
46:2:010:0	Ąįį geh'an juk Vit'eegwijyąhchy'aa, Ch'anky'aa Shroodiinyąą k'iighai' diits'ą' gwigweełkįį. Ąįį Ch'anky'aa Shroodiinyąą jidii Vit'eegwijyąhchy'aa dinjii ch'ihłee gaa ts'ą' gwagwahkįį kwaa kwaii gaa datthak gaandaii, ts'ą' łyaa nijuk datthak gaandaii ts'ą' gwinzii gwitee gwa'an gwąąh'in. 
46:2:011:0	Jii diinanky'aa diizhit t'inchy'aa t'ee nats'ąą ninjich'aradhat gaandaii, ąįį gwik'it Ch'anky'aa Shroodiinyąą zhrįh nats'ąą Vit'eegwijyąhchy'aa ninjich'adhat gaandaii. 
46:2:012:0	Ąįįts'ą' jii nankat gwigwizhi' tr'oonjii kwaa, gaa Vit'eegwijyąhchy'aa vats'an Ch'anky'aa Shroodiinyąą tr'ii'įį, ąįį vik'iighai' jidii datthak Vit'eegwijyąhchy'aa ąįį vich'eegoonzhrii diinantł'eegwin'ąįį gaagweheendaii geenjit. 
46:2:013:0	Ąįįts'ą' jii nankat gwidinjii vigwizhi' haa geech'oorahtan t'igwinyąą kwaa, gaa Ch'anky'aa Shroodiinyąą di'įį nąįį goots'ą' Ch'anky'aa Shroodiinyąą łi'didlii eegwaraandak t'igwinyąą. 
46:2:014:0	Juu Ch'anky'aa Shroodiinyąą di'įį kwaa nąįį Vit'eegwijyąhchy'aa viginjik giitth'ak kwaa geh'an gwik'injigiighit kwaa. Dinjii jyaanchy'aa nąįį giiyaandaii kwaa geh'an, zhyaa t'igwinyąą giindhan, ts'ą' Ch'anky'aa Shroodiinyąą k'iighai' gwizhrįh ąįį Ch'anky'aa Shroodiinyąą vats'an nilii vaagwiindaii. 
46:2:015:0	Juu Ch'anky'aa Shroodiinyąą di'įį nąįį t'ee nats'ąą dinjii nizįį ginlii gaagiindaii, dinjii ch'ihłee gaa Ch'anky'aa Shroodiinyąą di'įį kwaa ji' duuyeh nats'ahts'ą' dinjii nizįį inlii yahnyąą. 
46:2:016:0	Jii Dęhtły'aa Choh zhit gwadanakhwatł'oo,“Juu dee nats'ąą K'eegwaadhat ninjich'adhat gaandaii?Juu dee K'eegwaadhat jyaa danoo'ya' jaghaii heenjyaa?”Gaa diikhwan Ch'anky'aa Shroodiinyąą tr'ii'įį ts'ą' gwik'injiriighit geh'an Christ vik'it ninjich'aradhat.
