46:13:001:1	Ch'eet'igwiniindhan
46:13:001:0	Dzaa nankat gwidinjii akwat zheekat gwich'in haa googinjik ky'aa giihkhii, gaa ch'eet'igwiniindhan ishi'įį kwaa ji' zhyaa deegwaałtsai' (gong) akwat ch'iitsii daalaii k'it haałchik t'oonchy'aa. 
46:13:002:0	Vit'eegwijyąhchy'aa viginjik geech'oohaałchyaa geenjit shantł'eegwaatth'ak ji', ąįįts'ą' gwizhįh ishi'įį ts'ą' nagwarah'įį kwaii deegwinyąą t'igwinyąą gaahashandaii ji', ddhah choo ch'adanh nihih'aa gwagwahtsii geenjit gwik'injigwiighit shi'įį, gaa ch'eet'igwiniindhan shi'įį kwaa ji' zhyaa k'it sheegoo'aii t'oonchy'aa. 
46:13:003:0	Jidii shi'įį datthak gwantł'eiinlii ts'ą' shatthąį' tr'ahahk'an geenjit chan gwantł'ałchįį ji', gaa ch'eet'igwiniindhan shi'įį kwaa ji', jii deeshi'in datthak sheenjit gweheezyaa kwaa t'oonchy'aa. 
46:13:004:0	Ch'eet'igwiniindhan t'ee khagwilchi' kwaa ts'ą' ch'eeshroonchy'aa haa nilii t'inchy'aa, gwarahtrii kwaa akwat khaiinjirihil'ee akwat adashoo tr'ahłįį nilii kwaa; 
46:13:005:0	Ch'eet'igwiniindhan t'ee dinjii ts'ą' tr'iizųų kwaa ts'ą' ideenjit gwizhrįh ninjich'aradhat kwaa, akwat chan khan diik'įį gwahaadhat kwaa; gwiizųų diits'ą' t'igwii'in dąį' ch'eet'igwiniindhan gweechyaa kwaa. 
46:13:006:0	Ch'eet'igwiniindhan diizhik ji' tr'agwaanduu t'igwii'in dąį' shoo tr'iinlii kwaa, gaa łi'didlii haa gwitr'it t'agwarah'in dąį' łyaa shoo tr'iinlii. 
46:13:007:0	Khaiinjich'iriighit dąį' ch'eet'igwiniindhan diizhik ji' duuyeh gwik'injiriighit akhagwaroonyąą t'oonchy'aa. Vit'eegwijyąhchy'aa deehee'yaa nyąą ąįį gwik'it t'ihee'yaa vaagwiindaii, ts'ą' khit nihk'it khagwilchi' kwaa ts'ą' zhyaa jyaa doonchy'aa. 
46:13:008:0	Ch'eet'igwiniindhan t'ee ndaanąą'ąį' kwaa t'inchy'aa. Vit'eegwijyąhchy'aa vats'an ginjik kwaii nilii gaa ch'ihłee gwizhrįh geenjit t'inchy'aa. Ch'anky'aa Shroodiinyąą gwikyaa zhit girinkhii chan gaa ąįį ndaagwahąą'aa. Jidii gaagwiindaii diinantł'eegwiin'ąįį chan gaa ndaagwahąą'aa. 
46:13:009:0	Jidii gaagwiindaii diinantł'eegwiin'ąįį ts'ą' Vit'eegwijyąhchy'aa vats'an ginjik eegwaraandak haa ąįį gwalak zhrįh t'oonchy'aa. 
46:13:010:0	Gaa nijin Vit'eegwijyąhchy'aa jidii datthak łyaa gwinzii gwiłtsąįį ji', jidii Ch'anky'aa Shroodiinyąą diinantł'eiinlii kwaii datthak juk gweendaa geenjit vit'eegwaahchy'aa ts'ą' ndaagwahąą'aa t'oonchy'aa. 
46:13:011:0	Tr'iinin ihłii dąį' nats'ąą ninjich'ihthat, gihkhii, ts'ą' deihchy'aa haa t'ee zhit tr'iinin ihłii ts'an t'oonchy'aa ts'ą' juk dink'iindhat gwats'an tr'iinin ihłii gwik'it t'ineesho'ya' nihthan kwaa. 
46:13:012:0	Juk it'ee Vit'eegwijyąhchy'aa vihłi'didlii gwalak vizhit needaraa'in zhit gwaraah'in k'it tr'ąąh'in gaa nijin Vit'eegwijyąhchy'aa shoh haa diinin ts'ą' nihłaraa'in. Juk jidii gaashandaii t'ee gwalak zhrįh gaashandaii, gaa yeendaa shragwaazhik ji', datthak gaayiihashandaii, deegwahtł'oo Vit'eegwijyąhchy'aa shaandaii gwik'it. 
46:13:013:0	Jii kwaii t'ee juk tr'ii'įį, gwik'injigwiighit, Vit'eegwijyąhchy'aa deehee'yaa nyąą gwik'it t'ihee'yaa vaagwiindaii, ts'ą' ch'eet'igwiniindhan haa, jii kwaii ts'an t'ee ch'eet'igwiniindhan ch'andaa nitsii t'inchy'aa.
