46:5:001:1	Paul, Corinthian Dinjii Gwik'injiighit Tr'agwaanduu Vigwitr'it Gwanlii Eegwaandak
46:5:001:0	Dinjii lat nąįį shaagwaandak, nakhwatee ch'ihłee tr'injaa haa dhichįį gwinyąą. Dinjii gwik'injiighit kwaa nąįį gaa duuyeh jyaa digii'in. Nakhwatee ch'ihłee dinjii diti' 'at noonjik kwaa gaa haa dhichįį, gwinyąą, deegwiłtł'oo gwiizųų zhyaa t'akhwa'in t'igwinyąą. 
46:5:002:0	Gwa'oozhii ǫhłį' gaa gwiizhit nihk'it tr'igiinkhii zheh nineedal nąįį ashoo'ohłįį! Jii dinjii vatr'agwaanduu eenjit tr'agohdii jaghaii? Jyaa dagwahtł'oo veenjit tr'agohdii ji', dahthee ch'ijuk t'iheenjyaa gwats'ą' datthak chan nakhwatr'igiinkhii zheh neegwahaan'yaa kwaa ohtsii. 
46:5:003:0	Khit nakhwaninjich'ałthat t'oonchy'aa, nakhwaa dhiidii kwaa gaa nakhwaa dhiidii k'it t'oonchy'aa, ąįįts'ą' jyaa dakhwa'ya' nakhwaihnyąą t'ihnyąą. 
46:5:004:0	K'eegwaadhat Jesus t'aih shantł'eiin'ąįį zhit, ąįį dinjii vigwitr'it gwiizųų nąįį ch'ats'ą' t'akhaihjyaa. Nijin kheihłok nineekhwadal dąį' zhat nakhwaa dhiidii k'it t'akhwa'in. Diik'eegwaadhat Jesus deekhwa'ya' nakhoonyaa geenjit t'aih nakhwats'an hahtsyaa t'oonchy'aa. 
46:5:005:0	Jii dinjii chan nakhwatr'igiinkhii zheh neegǫǫnya' shrǫ' oo'at Ch'anky'aa Tr'aanduu (Satan) antł'ohchįį k'it t'oonchy'aa. Ąįį gwik'iighai' khaiinjich'iheeghit geenjit. Ch'anky'aa Tr'aanduu khaiinjich'iiyahahkhit gwik'iighai', gwiizųų t'ineehee'yaa kwaa ts'ą' Ch'aroahkat Drin ji' ąįį dinjii vanky'aa neeheezhii ts'ą' K'eegwaadhat gwandaii ndaanąą'ąį' kwaa yats'an hahtsyaa geenjit. 
46:5:006:0	Nakhwatr'igiinkhii zheh ninidik jyaa dii'in vashoo'ohłį' shrǫ'! “Łųh vaaniituu tsal gaa haa łųh gwantł'oo nahshii.” jyaa gwinyąą gaanoondaii, ąįį gwik'it nakhwatee ch'ihłee iizųų ji' khan datthak iizųų nakhwahahtsyaa t'oonchy'aa. 
46:5:007:0	Ąįį nizheh gwizhit łųh vaaniituu cheehohchįį, jii dinjii iizųų duuyeh nakhwatee dhiidii vohnyąą gwinyąą t'igwinyąą. Nakhwan t'ee łųhchy'aa vitee łųh vaaniituu kwaa k'it t'ohchy'aa, nakhwatee dinjii iizųų heekwaa. Vit'eegwijyąhchy'aa k'injiighit hil'ee ǫhłįį geh'an. Christ diitr'agwaanduu eenjit niindhat, ts'ą' Passover googwahtsii dąį' Jews nąįį divii gii tsal tr'oołkhwąįį k'it t'igiiyinlik. 
46:5:008:0	Vit'eegwijyąhchy'aa nats'ąą gwaroondaii diinoonyąą gwik'it gwaroondaii jaghaii! Christ vik'injireheeghit gwehkįį dąį' nats'ąą gwarandaii gwik'it gwireheendaii kwaa, chan tr'agwaanduu t'igwehee'yaa kwaa, gwiizhit Vit'eegwijyąhchy'aa deediinahnyąą zhrįh gwik'it t'igwehee'yaa. Gwik'injiighit kwaa nąįį łi'deegwidlii deegwinyąą t'igwinyąą gaageheendaii geenjit khit ts'ą' oots'it kwaa haa gireheekhyaa. 
46:5:009:0	Nijin gwehkįį nakhwats'ą' ch'adanoihtł'oo dąį', juu dinjii akwat tr'injaa haa naanigwii'aii nąįį goojyaa ǫhłįį kwaa nakhwaiinyą'. 
46:5:010:0	Nakhwats'ą' ch'adanoihtł'oo dąį' juu gwik'injiighit kwaa nąįį goojyaa ǫhłį' shrǫ', goovaahohłyaa kwaa deihnyąą t'ihnyąą kwaa. Goolak nąįį Vit'eegwijyąhchy'aa k'eegwahthat kwaa, nats'ąą dinjii akwat tr'injaa haa nigwigwehee'aa gwik'it. Goolak chan ch'an'įį ts'ą' goolak chan gwadal lęįį tr'oo'i' giindhan. Goolak chan ch'ik'itiltsį' ts'ą' khagidiinjii. Juu tr'agwaanduu tr'agwah'in nąįį haa oihłi' kwaa niindhan ji', jii nankat gihłeeheekhaa gwizhrįh t'agwarahnyąą. 
