46:7:001:1	Nihłeedhidii Nąįį
46:7:001:0	Shats'ą' ch'adanǫįįtł'oo dąį' jidii ashoohkat ąįį geenjit nakhwats'ą' ch'adįhihtł'oo.Dinjii, Vit'eegwijyąhchy'aa shoo ołtsyaa nindhan ji', goonjii kwaa gwiizhit duuyeh tr'injaa haa dhichįį ąįį lee łyaa t'igwinyąą? 
46:7:002:0	Ąįįt'ee gwinzii gaa na'at kwaa ji' zhyaa ch'aa'oihchį' ohkhyą' shrǫ', ąįį geh'an nakhwa'at gwanlii ts'ąįį gwinzii, ąįį gwik'it tr'injaa vakai' gwanlii ts'ąįį gwiinzii. 
46:7:003:0	Dinjii da'at akwat tr'injaa dakai' haa heechyaa ąįįt'ee googwitr'it t'inchy'aa. Nihts'ą' nakwaa dohnyąą shrǫ'! 
46:7:004:0	Tr'injaa, adan zhrįh datthąį' ts'ą' k'eedeegwaadhat kwaa, gaa vakai' chan yatthąį' ts'ą' k'eedeegwaadhat t'oonchy'aa. Ąįį gwik'it chan dinjii datthąį' ts'ą' k'eedeegwaadhat kwaa, gaa va'at chan yatthąį' ts'ą' k'eedeegwaadhat. 
46:7:005:0	Nihłaa khohchyaa eenjit nihts'ą' nakwaa dohnyąą shrǫ'! Gaa tr'ookit nihłaa gohkhii haa ch'ihłee nihłaa tr'iheechyaa kwaa dohnyąą. Gwik'iighai' gwandaa gwinzii khadagahohjyaa geenjit. Ąįįtł'ęę t'ee nihłaa dhoochįį. Ąįį ji' duuyeh Satan ch'izhii haa oiinchį' nohthan nakhwahtsii. Juu geedhidii nąįį niighyuk ch'aagaachįį kwaa gooveenjit googwantrii geh'an. 
46:7:006:0	Ąįįt'ee jyaa dihnyąą t'ihnyąą, łyaa gwik'it t'akhwa'yaa t'ihnyąą kwaa. 
46:7:007:0	Juu gwik'injiighit nąįį shik'it gooveeraadii kwaa ji' goovoihnyąą. Gaa diitee gwagwaanchy'aa ts'ą' nats'ąą Vit'eegwijyąhchy'aa gwaroondaii diinoonyąą gwik'it gwireheendaii. Gwik'injiighit lat nąįį Vit'eegwijyąhchy'aa gooveeroodi' gindhan ji' gwik'it t'igii'in. Ąįįts'ą' ch'izhii gwik'injiighit nąįį chan gooveeraadii kwaa nąįį gooveeraadii kwaa geenjit t'aih goots'an ąhtsii. 
46:7:008:0	Juu vakai' niindhat akwat va'at niindhat nąįį juk nakhwats'ą' giihkhii. Neegohjii kwaa ts'ą' shik'it zhyaa jyaa dohchy'aa ts'ąįį gwinzii. 
46:7:009:0	Gaa ch'aahohchųų geenjit khyų' adak'ǫǫntii ji' nakhwa'at akwat nakhwakai' gwanlii ts'ąįį gweheezyaa. Geedhoodii kwaa gwizhit khit ch'aa'oihchį' nohthan ąįį ts'ąįį gwiizųų. 
46:7:010:0	Geedhidii nąįį jii gwik'it t'akhwa'yaa geenjit nakhwats'ą' giihkhii, jii t'ee K'eegwaadhat Jesus gwik'it khwa'in nakhwahnyąą. Cha'at nąįį nakąį' vihłeehoonzhi' shrǫ'! 
46:7:011:0	Nakąį' akhoiinyąą ji' chan neegǫǫnjii shrǫ', akwat nakąį' vits'eehindii. Ch'akai', inlii ji' na'at akhoiinyą' shrǫ'! 
