46:8:001:1	Shih Ch'ik'itiltsį' Antł'eerahchak ąįį Ach'agoahkat
46:8:001:0	Juk shih, tr'a'aa ch'ik'itiltsį' antł'eerahchak geenjit shats'ą' ch'adanǫįįtł'oo geegihihkhyaa. Datthak ts'ą' diigwizhi' gwanlii łi'deegwidlii t'igwinyąą, ąįį diigwizhi' gwanlii ąįį veh'an dinjii khaiinjihil'ee t'oonchy'aa gaa ch'eet'igwiniindhan ąįį haa t'aih diits'an ąhtsii. 
46:8:002:0	Zhit juu łyaa gaandaii choh ihłii niindhan nąįį gaagiindaii kwaa gaa t'iginchy'aa łee. 
46:8:003:0	Gaa dinjii, Vit'eegwijyąhchy'aa eet'iindhan t'ee Vit'eegwijyąhchy'aa yaandaii t'oonchy'aa. 
46:8:004:0	Ąįįts'ą' t'ee, shih, ch'ik'itiltsį' antł'eerahchak, ąįį ch'ik'itiltsį' gwandaii nilii kwaa vaagwiindaii, ts'ą' Vit'eegwijyąhchy'aa ch'ihłak zhrįh gwanlii gaagwiindaii. 
46:8:005:0	Jii nankat ts'ą' zheekat haa “vit'eegwijyąhchy'aa” akwat “k'eegwaadhat” haa lęįį gwanlii ginyąą ji', vit'eegwijyąhchy'aa ąįįts'ą' k'eegwaadhat haa gwanlii t'iginyąą, 
46:8:006:0	googaa diineenjit Vit'eegwijyąhchy'aa, Gwiti' ch'ihłak zhrįh gwanlii, jii zheekat ts'ą' nankat haa datthak gwiłtsąįį ts'ą' veenjit gwarandaii; ąįįts'ą' K'eegwaadhat Jesus Christ ch'ihłak zhrįh gwanlii, vik'iighai' zheekat ts'ą' nankat haa goodlit ts'ą' vik'iighai' gwarandaii. 
46:8:007:0	Gaa juu nąįį datthak jii łi'deegwidlii gaandaii kwaa. Dinjii lat nąįį ch'ik'itiltsį' zhrįh haagiindaii ts'ą' juk drin gaa nijin shih ch'ik'itiltsį' gwintł'eerahchak ga'aa dąį' zhit shih ga'aa ąįį, ch'ik'itiltsį' vats'an t'inchy'aa ts'ą' shroodiinyąą kwaa goovahtsii giindhan. Ąįįts'ą' jidii shrik gwiizųų akwat gwinzii gaagiindaii kwaa. 
46:8:008:0	Vit'eegwijyąhchy'aa vaa tr'iheelyaa ts'ą' diinaa gwinzii gwił'ąįį ąįį jidii shih tr'a'aa geenjit t'oonchy'aa kwaa. Ch'ara'aa kwaa akwat jidii datthak tr'a'aa haa nihk'it t'oonchy'aa. Duuyeh an gwarahtsii ts'ą' gaiiyiigwarahtsii. 
46:8:009:0	Deekhwa'ya' nohthan ąįį zhit juu gwik'injiighit gaa vat'aii kwaa nąįį gwiizųų t'igihee'yaa hohtsyaa gwits'į' gwak'ǫǫhtii. 
46:8:010:0	Dinjii viyinji' neeshraahchy'aa ąįį ch'ik'itiltsį' ts'ą' kharigidiinjii zheh gwizhit ts'ą' shih tr'a'aa gwąąh'in ji' adan t'ee ąįį shih hee'aa t'inchy'aa. 
46:8:011:0	Gaanandaii gaa t'ini'in geh'an jii nachaa, Christ t'ee yatr'agwaanduu eenjit niindhat ąįį neh'an gwiizųų t'ii'in ąhtsii t'ini'in. 
46:8:012:0	Jii gwik'iighai', Christ vats'ą' tr'agwaanduu gwitr'it t'agwah'in, ch'izhii gwik'injiighit nąįį ts'ą' tr'agwaanduu gwitr'it t'agwah'in ts'ą' gooyinji' neeshraahchy'aa dhąhtsąįį geh'an. 
46:8:013:0	Ąįįts'ą' shih tr'a'aa gwik'injiighit nąįį tr'agwaanduu t'ii'in ąhtsii ji', chan ch'ihłok gaa nilii ch'ik'itiltsį' antł'eerahchak neehih'aa kwaa, ąįį gwik'it chan shachaa gwik'injiighit nąįį tr'agwaanduu t'igii'in hałtsyaa kwaa.
