25:1:001:1	Záíyan bi'disnáago yínííł nilį́
25:1:001:0	Dooládó' kin haal'áii diné t'óó ahayóí kééhat'į́į́ nít'éé' yę́ęgi doo naagháhí da hazlį́į́'! Dooládó' bąąh áhásdįįdii dzizlį́į' da! Dadine'é bitahgi ayóó át'éii jílį́į́ nít'éé' yę́ę hakéyah hadahwiisdzogóó asdzą́ą́ naat'ááh jílį́į́ nít'éé' yę́ę, dooládó' náánáła' hwee ádíhólníihgo bich'į' ni'jiilée da! 
25:1:002:0	Tł'ée'go yéego yicha; yił ałch'į' dah daalwo'ii bitahgi t'áadoo haho'ayółníhígóó haniitsį' bąąhdę́ę́' hanák'eeshto' nidaazlį́; hak'is danilíinii t'áá ałtso hak'ijį' daazlį́į'go hwe'ana'í daazlį́į́'. 
25:1:003:0	Júdah dine'é bich'į' nidahwii'náago áádóó naalte' daazlį́į'go t'ah yówehgo dabi'disná; ał'ąą dine'é bitahgóó kéédahojit'į́įgo háá'áyį́į́h há ádin áádóó atídahał'ínígíí t'áá ałtso łah hont'éhígi jideesdee'go dahasnááh. 
25:1:004:0	Záíyangóó da'nítiingóó diné atínídadindleeh, háálá hodílzingo áłah nída'adleehíjį' doo ła' yígháhí da; yah ada'iiztiinígóó doo nidaagháhí da, índa há nááda'iiłniihii danilíinii ádił hadahadzoołgo áádóó ch'ikéí danilíinii yínííł yił nidaakaigo t'áá íiyisí hajéí yineesgai. 
25:1:005:0	Hats'ą́ą́jí danilíinii éí hananit'a'í daazlį́į́'; hwe'ana'í k'ee'ąą dadeeshzhiizh, háálá lą'ídi ni'dziisí'ígíí biniinaa Bóhólníihii hach'į' hodiis' náá'; ákót'éego hwe'ana'í bilą́ąjį' ha'áłchíní deisnáago deinééłkaad. 
25:1:006:0	Záíyan bich'é'é yee baa dzólníí nít'éé' yę́ę ałtso bits'ą́ąjį' kódzaa índa binanit'a'í danilíinii éí bįįhką' deidoołchoshii ch'ééh hadeintá nidahalingo bidiyoołhéełii yilą́ąjį' doo dabidziilgóó adahineezhchą́ą́'. 
25:1:007:0	Jerúsalem kin haal'áádóó dine'é bi'ana'í yílák'ee níídee'go t'áadoo ła' háká eelwodí da áádóó hach'į' nahwii'náago bik'ee haa'í shį́į́ doo nijighááhgóó ałk'idą́ą́' yá'át'éehgo hoł áhoot'éé nít'éé' yę́ę bééjoolnii'; hats'ą́ą́jí danilíinii dahoołtsą́ągo hach'į' nahwii'nánígíí t'óó yee há nidahast'i'. 
25:1:008:0	Jerúsalemgi kéédahat'íinii t'áá íiyisí ádił da'dzisiihgo bąą doo da'jílį́į da dzizlį́į́'; bił jílį́į́ nít'éé' yę́ę t'áá ałtso daha'į́ daazlį́į́', háálá ha'éé' ádingo dahoołtsą́; t'áá aaníí, ádił háádzídzołgo bits'ąą dashdiiyá. 
25:1:009:0	T'óó baa'ihígi ájíít'įįdii éí ha'éé' bik'i sinilgo bee há nihonít'i'ii t'áadoo bik'ísízníłkéez da; éí bąą doo shóhoot'éedi nihoníłt'e'go háká adoolwołii ádin nít'éé'. Bóhólníihii nílíinii, shich'į' nahwii'nánígíí níníł'į́, háálá ana'í ádaa has'nih. 
25:1:010:0	Hats'ą́ą́jí nilíinii hanaalye'é da'ílíinii t'áá ałtso néidiinil. Hanahagha' bá haz'ą́ góne' ał'ąą dine'é yah aheeskai; éí naa áłah néidleehgi doo nihitah hidookahgóó bee nihá háínídzíí' nít'éé'. 
25:1:011:0	Hadine'é t'áá ałtso ádił háádaadzoł; ch'iyáán hadeintá; yee dabidziil doo biniyé binaalye'é da'ílíinii ch'iyáán yik'éndayiinííł. Níníł'į́, Bóhólníihii nílíinii, áádóó baa nitsíníkees, háálá t'áadoo biniyéhígóó naashá sélį́į́'. 
25:1:012:0	T'áá ánółtso shą́ą́h nídadohkahii, da' doósh nihida'diił'áa da? Shoo, Bóhólníihii t'óó báhádzidgo hashké nídzingo shich'į' hodiis'ná'ígíí éí yínííł shik'i yayiiyínígi át'éegoósh haa'ída yínííł náádaah'į́. 
