16:11:001:1	The People Occupy Jerusalem
16:11:001:0	The leaders of the people were living in Jerusalem , the holy city . A tenth of the people from the other towns of Judah and Benjamin were chosen by sacred lots to live there , too , while the rest stayed where they were .
16:11:002:0	And the people commended everyone who volunteered to resettle in Jerusalem .
16:11:003:0	Here is a list of the names of the provincial officials who came to live in Jerusalem . ( Most of the people , priests , Levites , Temple servants , and descendants of Solomon 's servants continued to live in their own homes in the various towns of Judah ,
16:11:004:0	but some of the people from Judah and Benjamin resettled in Jerusalem . ) From the tribe of Judah : Athaiah son of Uzziah , son of Zechariah , son of Amariah , son of Shephatiah , son of Mahalalel , of the family of Perez .
16:11:005:0	Also Maaseiah son of Baruch , son of Col-hozeh , son of Hazaiah , son of Adaiah , son of Joiarib , son of Zechariah , of the family of Shelah .
16:11:006:0	There were 468 descendants of Perez who lived in Jerusalem—all outstanding men .
16:11:007:0	From the tribe of Benjamin : Sallu son of Meshullam , son of Joed , son of Pedaiah , son of Kolaiah , son of Maaseiah , son of Ithiel , son of Jeshaiah .
16:11:008:0	After him were Gabbai and Sallai and a total of 928 relatives .
16:11:009:0	Their chief officer was Joel son of Zicri , who was assisted by Judah son of Hassenuah , second-in-command over the city .
16:11:010:0	From the priests : Jedaiah son of Joiarib ; Jakin ;
16:11:011:0	and Seraiah son of Hilkiah , son of Meshullam , son of Zadok , son of Meraioth , son of Ahitub , the supervisor of the Temple of God .
16:11:012:0	Also 822 of their associates , who worked at the Temple . Also Adaiah son of Jeroham , son of Pelaliah , son of Amzi , son of Zechariah , son of Pashhur , son of Malkijah ,
16:11:013:0	along with 242 of his associates , who were heads of their families . Also Amashsai son of Azarel , son of Ahzai , son of Meshillemoth , son of Immer ,
16:11:014:0	and 128 of his outstanding associates . Their chief officer was Zabdiel son of Haggedolim .
16:11:015:0	From the Levites : Shemaiah son of Hasshub , son of Azrikam , son of Hashabiah , son of Bunni .
16:11:016:0	Also Shabbethai and Jozabad , who were in charge of the work outside the Temple of God .
16:11:017:0	Also Mattaniah son of Mica , son of Zabdi , a descendant of Asaph , who led in thanksgiving and prayer . Also Bakbukiah , who was Mattaniah 's assistant , and Abda son of Shammua , son of Galal , son of Jeduthun .
16:11:018:0	In all , there were 284 Levites in the holy city .
16:11:019:0	From the gatekeepers : Akkub , Talmon , and 172 of their associates , who guarded the gates .
16:11:020:0	The other priests , Levites , and the rest of the Israelites lived wherever their family inheritance was located in any of the towns of Judah .
16:11:021:0	The Temple servants , however , whose leaders were Ziha and Gishpa , all lived on the hill of Ophel .
16:11:022:0	The chief officer of the Levites in Jerusalem was Uzzi son of Bani , son of Hashabiah , son of Mattaniah , son of Mica , a descendant of Asaph , whose family served as singers at God 's Temple .
16:11:023:0	Their daily responsibilities were carried out according to the terms of a royal command .
16:11:024:0	Pethahiah son of Meshezabel , a descendant of Zerah son of Judah , was the royal adviser in all matters of public administration .
16:11:025:0	As for the surrounding villages with their open fields , some of the people of Judah lived in Kiriath-arba with its settlements , Dibon with its settlements , and Jekabzeel with its villages .
16:11:026:0	They also lived in Jeshua , Moladah , Beth-pelet ,
16:11:027:0	Hazar-shual , Beersheba with its settlements ,
16:11:028:0	Ziklag , and Meconah with its settlements .
16:11:029:0	They also lived in En-rimmon , Zorah , Jarmuth ,
16:11:030:0	Zanoah , and Adullam with their surrounding villages . They also lived in Lachish with its nearby fields and Azekah with its surrounding villages . So the people of Judah were living all the way from Beersheba in the south to the valley of Hinnom .
16:11:031:0	Some of the people of Benjamin lived at Geba , Micmash , Aija , and Bethel with its settlements .
16:11:032:0	They also lived in Anathoth , Nob , Ananiah ,
16:11:033:0	Hazor , Ramah , Gittaim ,
16:11:034:0	Hadid , Zeboim , Neballat ,
16:11:035:0	Lod , Ono , and the Valley of Craftsmen .
16:11:036:0	Some of the Levites who lived in Judah were sent to live with the tribe of Benjamin .
