44:26:001:1	Paul , Agrippa Ndaanadhat ts'ą' , Ideenjit Ginkhii Dąį'
44:26:001:0	“ Juk it'ee ideenjit goiihkhyaa , niindhan ji' , gwik'it t'iinyąą ji' , gąą sheenjit gweheezyaa . ” Agrippa Paul ahnyąą . Ąįįtł'ęę Paul , Agrippa ts'ą' ndak danli' haa naanjik . Ąįįtł'ęę ideenjit gahaakhe' .
44:26:002:0	“ Agrippa k'eedeegwaadhat choh , juk drin nandaa nihthat khadeenjit gihihkhyaa , ąįį nats'ahts'ą' Jews nąįį ‘gwiizųų gwitr'it t'agwał'ya' , ’ shagaiinyą' eenjit . Jii geh'an nandaa nihthat , łyaa geenjit shoo ihłįį .
44:26:003:0	Jews nąįį datthak nats'ahts'ą' dee'in ts'ą' jidii eenjit ch'ats'ą' t'igwinyąą , datthak łyaa gwinzii gaanandaii . Jii geh'an łyaa gwinzii shoodǫǫhk'įį , dąhthee k'eegwiichy'aa datthak naagwahaaldak gwats'ą' .
44:26:004:0	“ Shanahkat gwizhit ts'ą' Jerusalem gwizhit haa tr'iinin tsal ihłii dąį' , gwats'an jidii t'ishi'ya' Jews nąįį datthak gaandaii .
44:26:005:0	Pharisee iidi' . Nats'ahts'ą' gwarandaii gwik'it gwįįhdaii . Dinjii datthak andah Jews nąįį law k'eegwagwahahthat gwik'eegwagwandaii . Jews nąįį łi'deegwidlii haa sheenjit naagoroondak , giindhan ji' , jyaa diginyąą ji' , łyaa gwinzii . Łyaa juk t'ee ninghyuk jii datthak sheenjit gaagiindaii .
44:26:006:0	Ąįįts'ą' t'ee Vit'eegwijyąhchy'aa diitsii nąįį ts'ą' deehee'yaa nyąą ąįį gwik'it t'ihee'yaa gwik'injiighit geenjit juk shoohahkat eenjit dzaa nandaa nihthat .
44:26:007:0	Jii t'ee neezheedijii ( 12 tribes ) nąįį Vit'eegwijyąhchy'aa deehee'yaa nyąą gwik'it t'ihee'yaa geenjit tǫǫ , drin haa giits'ą' khagidiinjii ts'ą' giiyeenjit gwitr'it t'agwah'in . K'eedeegwaadhat choh , jii deehee'yaa nyąą ąįį gwik'it t'ihee'yaa geenjit vit'injarahchy'aa geh'an jii Jews nąįį gwiizųų shigwitr'it gwanlii shagahnyąą !
44:26:008:0	Ąįįtł'ęę Paul Jews nąįį ts'ą' nil'ee ts'ą' goovah'in , “ Nakhwan Jews nąįį , jaghaii dee Vit'eegwijyąhchy'aa ‘dinjii niindhat gwats'an gwandaii neehałtsyaa , ’ nyąą , gwik'injǫhjii kwaa ? Gwik'it t'igwehee'yaa kwaa , nohthan ? ” Paul Jews nąįį ahnyąą .
44:26:009:0	Jii t'ee gwehkįį dąį' , Nazareth gwats'an Jesus k'injijii nąįį łyaa gwintł'oo agwadhałshii . Ąįį łyaa gwinzii t'ishi'ya' nihthan . Jyąhts'ą' t'ee ch'adąį' gwanaa ninjich'ihthat .
44:26:010:0	Jerusalem gwizhit Jesus k'injigiighit lęįį nąįį zhee gwaazhrąįį niilii . Giinkhih kįh dilk'ii nąįį t'aih shats'an gahtsii , ąįį haa . Nijin gooreheeghaa eenjit nideegoorilii dąį' , gwintł'oo goonehts'į' giihkhe' .
44:26:002:1	Paul Nijin Dąį' Ch'ijuk Dinjii Nilįį Dhidlit Geegwaandak
44:26:011:0	Gwinlęįį chan Jews tr'igiinkhii zheh izhik gwa'an goodlii gwizhit googwąąłshii , Jesus k'injigiheeghit akhagagoohoonjyaa eenjit . Łyaa giveenjit shoo ihłii kwaa . Ąįį geh'an ch'adanh Israel gwich'in nilįį kwaa kwaiik'it gwa'an gaa gavankeeneehihdik , googwahąąłshii eenjit . ”
44:26:012:0	“ Ch'ihłan drin giinkhih kįh dilk'ii nąįį ts'an dęhtły'aa , hal'yaa eenjit oodhiijik , ąįį haa goolat nąįį keegwahąął'yaa eenjit , Damascus kwaiik'it gwats'ą' ihshyaa .
44:26:013:0	Izhik gwa'an tąįį gwinjik ihshyaa drintł'an gwanlii dąį' , shįį ts'ą' shaa adaa nąįį haa yeedaa diik'aa ch'eegwąhndit nagwaanąįį , gwąął'in . Shree andaa ts'ą' ch'eegwąhndit .
44:26:014:0	Datthak ts'ą' nankak oo'an tr'ihiltł'it . Ąįįtł'ęę gwideezhuh Jews ( Hebrew ) nąįį ginjik ky'aa shats'ą' ginkhii . ‘Saul , Saul , jaghaii dee shagwahąąhshii gwik'eegwiindaii . Nijin geenjit gwakwaa , shats'ą' neech'itsyahthat , ąįįt'ee ididininjii t'ini'in . Ąįįt'ee k'aiich'i' vagoontrii vaa ideehaandal akwanghyii k'it t'ini'in , ąįįt'ee Ox k'it t'ini'in ni'in . ’ gwideezhuh shahnyąą .
44:26:015:0	‘Juu inlii ? ’ jiinyą' . Ąįįtł'ęę K'eegwaadhat shats'ą' ginkhii , ‘Shįį t'ee Jesus ihłįį , ąįįt'ee khaiinjich'ąhthat t'ini'in .
44:26:016:0	Ndak nininjii . Łyaa shitsyaa hinlyaa sheenjit gwitr'it t'agwǫh'ya' noihnyąą . Juk drin jii jidii gwąąh'ya' , yee'an dinjii nąįį datthak geenjit haa goondak noihnyąą . Ąįįt'ee datthak nats'ą' gwik'eech'ahąąłtyaa , ąįį chan yee'an dinjii nąįį geenjit haa gwahaandak geenjit .
44:26:017:0	Juk Israel gwich'in nilįį kwaa nąįį ts'ą' nahaał'aa . Nijin Israel gwich'in nilįį kwaa , ts'ą' Jews nąįį haa nagookhwaa giindhan ji' , gideenahałchyaa t'oonchy'aa .
44:26:003:1	Paul Nats'ahts'ą' Gwitr'it T'agwah'ya' Geegwaandak
44:26:018:0	Israel gwich'in nilįį kwaa nąįį ts'ą' nanahałchyaa , geegavoohąąhchyaa eenjit . Tǫǫ goo'aii gwik'it tr'agwaanduu gwizhit ninjich'agadhat , ąįį gigiheendal eenjit . Ąįįtł'ęę Vit'eegwijyąhchy'aa ts'an łi'deegwidlii ąįį gwik'it t'igihee'yaa , ąįįt'ee aadrii k'it t'inchy'aa . Ąįį ji' , Satan goots'ą' k'eedeegwahaadhat kwaa neegeheelyaa , ąįįts'ą' Vit'eegwijyąhchy'aa ąįį goots'ą' k'eegwahaadhat . Ąįį gah juu shik'injigiighit nąįį gootr'agwaanduu gineegwahaandee . Ąįįts'ą' gwehkįį dąį' , Vit'eegwijyąhchy'aa ideenjit dinjii igwiiłkįį ąįį nąįį tee giheedaa geenjit , ’ K'eegwaadhat Jesus jyaa shaiinyą' . ”
44:26:019:0	“ Agrippa k'eedeegwaadhat choh , nijin zheekat gwats'an K'eegwaadhat shats'ą' ginkhe' dąį' , ‘nats'ąą deeni'in , ’ shahnyąą , ąįį łyaa gwik'eegwadhałthat .
44:26:020:0	Jii t'igwiizhik tł'ęę , tr'ookit Damascus kwaiik'it gwats'ą' hoiizhii . Ąįįtł'ęę chan Jerusalem gwats'ą' , ąįįtł'ęę Judea nahkat gwizhit kwaiik'it goodlii datthak gwitee hoiizhii . Ąįįtł'ęę Israel gwich'in nilįį kwaa nahkat chan gwats'ą' hoiizhii . Izhik gwa'an datthak , ‘tr'agwaanduu t'akhwa'in akhagohnyąą ąįįts'ą' Vit'eegwijyąhchy'aa k'injohkhit , ’ gavaihnyąą . Ąįįts'ą' Vit'eegwijyąhchy'aa doo'ya' nakhoonyaa , ąįį gwik'it t'ahokhwa'yaa eenjit . Jyąhts'ą' digwigwitr'it gwinzii gwagwahąąh'yaa . Ąįįts'ą' Vit'eegwijyąhchy'aa ts'ą' łihts'eeneegahaa'ee li' geenjit , gaageheendaii eenjit goovoihnyąą .
44:26:021:0	Jyąhts'ą' jii kwaii t'ishi'ya' , ąįį geh'an Kharigidiinjii Zheh gwizhit shagoonjik , ąįįts'ą' doołkhwaa shagoonyąą .
44:26:022:0	Gaa juk drin gwats'ą' Vit'eegwijyąhchy'aa shits'iinyą' , ts'ą' dzaa datthak nakhwats'ą' nihthat , dinjii chil'ee ts'ą' neeshraahchy'aa nąįį haa jii Gwandak Nizįį eenookhwaagwaldak . Jii gwandak t'ee Moses ts'ą' juu Vit'eegwijyąhchy'aa Eenjit Ginkhii nilįį nąįį deegweheenjyaa ginyąą ąįį gwik'it t'igwiizhik t'oonchy'aa .
44:26:023:0	Ąįį Christ khaiinjich'iheeghit ts'ą' niheedhaa , ąįįtł'ęę adan tr'ookit ch'ichį' ts'an neegweheendaii , jii t'ee Jews ts'ą' Jews nilįį kwaa nąįį ts'ą' neereezhii gwich'eegwahdrii gwagwahah'yaa geenjit t'iginyąą . ” Paul Agrippa ahnyąą .
44:26:024:0	Jyąhts'ą' Paul ideenjit ginkhii ąįį gwiizhik , “ Paul łyaa nahkhii . Tr'ihkhit gwintł'oo dęhtły'aa agwan'e' , ąįį geh'an nahkhii dhindlit . ” Festus azhral haa yahnyąą .
44:26:025:0	“ Governor Festus , nahkhii ihłii kwaa . Jidii datthak łyaa łi'deegwidlii haa naagwaldak t'ihnyąą . ” Paul yahnyąą .
44:26:026:0	“ Agrippa k'eedeegwaadhat choh , łyaa naljat kwaa ts'ą' , jii geenjit naagiihkhii . Jidii datthak geegiihkhii , ąįį gaanandaii , gaashandaii . Łyaa gwinzii jidii datthak geegiihkhii eenjit datthak gaanandaii , łyaa dinjii datthak andah gwik'it t'igwiizhik geh'an .
