44:4:001:1	Peter , John Haa Council Nąįį Ęhdaa Nagadhat
44:4:001:0	Peter , ts'ą' John haa tth'aii hee dinjii nąįį ts'ą' giginkhii gwiizhik , giinkhih kįh dilk'ii nąįį lat , ąįįts'ą' dinjii Kharigidiinjii Zheh gwats'ą' k'eedeegwaadhat nilįį nąįį , ąįįts'ą' Sadducee lat nąįį , goots'ą' nigiinjil .
44:4:002:0	Dinjii geegǫąąhtan dąį' , niindhat nąįį nineegweheendaii ginyąą , Jesus niindhat ts'an neegwiindaii ginyąą geenjit gitr'igii'ee ts'ą' łyaa shoo ginlii kwaa .
44:4:003:0	Jii geh'an gooteegwigwįłjik ts'ą' zhee gwaazhrąįį nagoogiinlii . Tr'ihkhit tǫǫ gwanlii , geh'an gęhdaa drin gwats'ą' zhee gwaazhrąįį giheedyaa gooveenjit gwigwiłtsąįį .
44:4:004:0	Jesus , eegwagwaandak ts'ą' dinjii lęįį gavoołk'įį nąįį gwik'injigiighit gaadlit ts'ą' 5000 aanchy'aa nąįį gwik'injiinjik .
44:4:005:0	Gęhdaa drin Jerusalem gwizhit Jews kįh dilk'ii nąįį , ch'anjaa kįh dilk'ii nąįį ts'ą' , Law eech'ǫąąhtan nilįį nąįį haa datthak łigiiljil .
44:4:006:0	Dinjii Annas gwehkįį dąį' ndak khii ginkhih choh iinli' , ąįį videhk'it Caiaphas ndak khii ginkhih choh nilįį , John , ts'ą' Alexander , ąįį Annas valak nąįį datthak haa łigiiljil .
44:4:007:0	Ąįįtł'ęę Peter ts'ą' John haa dagats'ą' nagąąhchįį , ts'ą' googahkat , “ Juu voozhri' zhit gwats'an t'aih khwa'įį geenjit t'akhwa'in ? ” googahnyąą .
44:4:008:0	Ąįįtł'ęę Peter , Ch'anky'aa Shroodiinyąą vizhit t'inchy'aa k'iighai' , goots'ą' khaginkhee , ts'ą' jyaa gavahnyąą , “ Jews kįh dilk'ii , ąįįts'ą' ch'anjaa nilįį nąįį ,
44:4:009:0	juk drin dinjii neehidik kwaa vits'iriinyą' eenjit diinoohkat , neehidik kwaa gwats'an neehidik neehoodlit eenjit .
44:4:010:0	Jii geh'an datthak ts'ą' diinoodoohk'įį ji' , nakhwan ąįįts'ą' Israel gwich'in nąįį datthak ǫhłįį ts'ą' gaakhwandaii , gwat'oohchy'aa . Jesus Christ Nazareth kwaiik'it gwats'an ahaa ąįį vat'aii k'iighai' jii dinjii shranaazhik juk dząą nakhwandaa nadhat , ts'ą' nǫh'in . Jesus Cross kat gadhohtsak ts'ą' dǫǫhkhwąįį . Gąą Vit'eegwijyąhchy'aa niinjik nąįį tee gwats'an gwandaii neeyiłtsąįį .
