44:10:001:1	Cornelius , Peter Oo'an Kach'ił'e'
44:10:001:0	Izhik Caesarea gwizhit niveet'ah'in kįh dhidii Cornelius oozhii , niveet'ah'in 100 nąįį , gavoozhri' , “ Italy Nankak Gwats'an . ” goorahnyąą , ąįį eenjit k'eedeegwaadhat nilįį . Rome dinjii nąįį ts'an niveet'ah'in nilįį nąįį tee gwats'an ginlii .
44:10:002:0	Cornelius łyaa dinjii nizįį nilįį . Adan ąįįts'ą' dinjii juu vizheh gwich'įį nąįį datthak drin gwiteegwagwaanchy'aa khit Vit'eegwijyąhchy'aa ts'ą' khagigidiinjii . Jews neeshraahchy'aa lęįį nąįį ts'iginyąą .
44:10:003:0	Ch'ihłan drin drintł'an 3 o'clock gwandaa gweedhaa gwiizhik gineiinlyaa k'it t'inchy'aa haa gineiinlyaa . Izhit Vit'eegwijyąhchy'aa zheekat gwich'in yits'ą' niinzhii , łyaa gwinzii nah'in dąį' , “ Cornelius ! ” yahnyąą .
44:10:004:0	Łyaa gwiint'aii zheekat gwich'in yąąh'in , gwiizhik łyaa gwintł'oo naajat . “ Shik'eegwaadhat , jidii dee ? ” yahnyąą . “ Nijin khagidiinjii dąį' , Vit'eegwijyąhchy'aa khit niitth'ak . Nats'ahts'ą' khit neeshraahchy'aa nąįį ts'iinyąą , ąįį datthak gwąąh'in ts'ą' nashoo ahłįį t'inchy'aa .
44:10:005:0	Juk Joppa kwaiik'it gwizhit dinjii , Simon Peter oozhii , nats'ą' heekhaa eenjit vakanch'ąh'ee .
44:10:006:0	Izhik zhat chųų choh vee gwa'an dinjii , Simon oozhii , ch'adhah ahkhii nilįį , ąįį haa gwich'įį t'inchy'aa . ” zheekat gwich'in yahnyąą .
44:10:007:0	Ąįįtł'ęę gihłeedahoodhat . Ąįįtł'ęę Cornelius ditsyaa neekwąįį nąįį ąįįts'ą' diniveet'ah'in ch'ihłak ąįį haa , “ Aanaii ! ” ahnyąą . Ąįį niveet'ah'in khit yeenjit gwitr'it t'agwah'in nilįį . Ąįįt'ee łyaa dinjii Vit'eegwijyąhchy'aa k'injiighit nilįį .
44:10:008:0	Cornelius deegwiizhik datthak gavaa gwaandak . Ąįįtł'ęę Joppa gwats'ą' goovihił'e' .
44:10:009:0	Gęhdaa drin tł'an tth'aii hee Joppa gwats'ą' geedaa . It'ee łyaa Joppa gwats'ą' ninghit kwaa nigijyaa . Ąįį gwiizhik Joppa gwizhit Peter zheh gwakat deedhizhii , khagiheejyaa geenjit .
44:10:010:0	Izhik zhat t'inchy'aa gwiizhik łyaa vizhit gwiłts'ik ts'ą' ch'oih'aa , yiindhan . Gąą tth'aii hee vikeech'arahchy'aa gwiizhit gineiinlyaa k'it t'inchy'aa haa gineiinlyaa gwiizhik k'eegwiichy'aa gwąąh'in .
44:10:011:0	Ąįįts'ą' zheekat nihky'aa t'igwiizhik gwąąh'in . Ąįį gwats'an ts'at daagąįį k'it t'inchy'aa k'iidąą tr'iindak . Dǫǫ gwagwaanchy'aa ąįį ts'at danch'ahochaa ts'ą' nankak neevyaatth'at .
44:10:012:0	Ąįį vizhit nin dzaa nankak gwats'an nihłehts'į' t'iichy'aa vizhit dilk'ii . Gyųų k'it t'inchy'aa kwaii ąįįts'ą' dziitsal kwaii yizhit nah'in .
44:10:013:0	“ Peter , k'iidak nindhat nin inghąn ts'ą' en'aa ! ” gwideezhuh yahnyąą .
44:10:014:0	“ Gąą Shik'eegwaadhat , łyaa duuyeh gwik'it t'ishi'in . Tth'aii ch'ihłok łąą k'aiich'ii shroodiinyąą nilįį kwaa ih'aa kwaa . Dii-law zhit jii nin kwaii datthak diineenjit shroodiinyąą nilįį kwaa . Ąįį k'it t'inch'ii łyaa duuyeh ih'aa . ” Peter yahnyąą .
44:10:015:0	“ Chan shih shroodiinyąą nilįį kwaa doiinyą' shrǫ' ! Vit'eegwijyąhchy'aa jidii ts'ą' ginkhe' datthak shroodiinyąą nilįį t'oonchy'aa . ” gwideezhuh yahnyąą .
