44:20:001:1	Nijin Paul Macedonia ąįįts'ą' Greece Nankak gwats'ą' Haazhii Dąį'
44:20:001:0	Nijin Ephesus gwich'in nąįį it'ee gwiizųų t'ineegidiinyą' kwaa dąį' , Paul juu Jesus k'injigiighit nąįį nihłaa łineegahaadaa eenjit keeginkhe' . Ąįįtł'ęę goots'ą' ginkhe' goot'aii niłtsąįį , ts'ą' gavaa gwaandak , it'ee givihłeeheehaa eenjit . Ąįįtł'ęę izhik gwats'an Macedonia nahkat gwats'ą' haazhii .
44:20:002:0	Macedonia nahkat gwizhit lęįį Jesus k'injigiighit nąįį haa ginkhii . Jyąhts'ą' chan goot'aii niłtsąįį . Tł'ęę izhik gwats'an Greece nahkat gwats'ą' haazhii .
44:20:003:0	Izhik shreenanh tik gąhkhyuk t'inchy'aa . Ąįįtł'ęę tr'ihchoo zhit heekhaa ts'ą' , Syria nahkat gwats'ą' heekhaa eenjit . Gąą izhik Jews nąįį giihoondal giky'aanjik . Jii geh'an , ch'ijuk ts'ąįį k'iinjik Macedonia nahkat ts'ąįį neehoozhii . Ąįįtł'ęę Philippi kwaiik'it k'idik .
44:20:004:0	Pyrrhus vidinji' Sopater oozhii Berea kwaiik'it gwats'an , Aristarchus , Secundus ąįį nąįį Thessalonica kwaiik'it gwachoh gwats'an , Gaius , Derbe kwaiik'it gwats'an , Timothy , Tychicus , Trophimus haa Asia nahkat gwats'an , jii Jesus k'injigiighit nąįį Paul haa Syria nahkat gwats'ą' gahaajil .
44:20:005:0	Nijin Philippi kwaiik'it k'eegiidal dąį' , Shįį , Luke ihłįį , zhat t'ihchy'aa izhik , geedan ąįį Paul Shįį haa diits'ii Troas kwaiik'it gwachoh gwats'ą' gahaajil . Izhik nidįįgol'įn .
44:20:002:1	Khaiinkǫǫ Paul Troas Kwaiik'it Gwachoh Ninidii
44:20:006:0	Izhik zhat tr'iilk'įį dąhthee ch'ara'aa googwahtsii gwizhit łųhchy'aa naatuu kwaa gihee'aa gęhdaa tr'agwąheedhaa gwats'ą' . Ąįįtł'ęę drin 5 gąhkhyuk tr'ihchoo haa Troas gwats'ą' tr'iinjil . Izhik zhat diichaa nąįį diikii gwats'ą' haajil nąįį neeraa'in . Drin k'ideetit ch'ihłak zhat tr'aak'į' .
44:20:007:0	Nijin drin zhit juu Jesus k'injigiighit nąįį nihłaa łineegiljil dąį' . Izhik ninjigwadhat neegǫǫnjii gwiizhik Paul geegavąąhtan . Zhat gęhdaa drin gihłeeheedyaa eenjit tǫhtł'an gwats'ą' datthak neech'igiinkhee .
44:20:008:0	Ch'iyeedak zheh gwanlii izhik gwizhit łigiiljil . Izhik łyaa khwaiidaak'a' lęįį gahdrii .
44:20:009:0	Izhik tsyaa ch'ihłak , Eutychus oozhii , vinjyaa'yaa k'it doodii . Łyaa vaatr'iyulchį' , Paul łyaa ninghyuk gwaandak geh'an . Ąįįtł'ęę naachįį ts'ą' neet'aanąįį . Nankak nat'aanąįį . Ąįįtł'ęę giits'ą' ch'iinjil ts'ą' ndak giiyuunjik , gąą ch'adąį' hee niindhat łee .
44:20:010:0	Gaa Paul chan yits'ą' chiinzhii . Yits'ą' nikiigwiintthaii ts'ą' yineedhinjik . “ Tr'agohdii kwaa , tth'aii hee gwandaii t'inchy'aa ! ” Paul gavahnyąą .
44:20:011:0	Ąįįtł'ęę Paul chan hee nidineezhii . Łųhchy'aa łeełnaii , tł'ęę yin'al . Ąįįtł'ęę vanh k'ach'aha'aii gwats'ą' datthak nich'igįįnkhee . Ąįįtł'ęę gihłeehoozhii .
44:20:003:1	Nijin Troas Kwaiik'it Gwats'an Miletus Kwaiik'it Gwats'arahaajil Dąį'
44:20:012:0	Ąįį tsyaa gwinzii gwandaii ts'ą' giizheh gwits'ee gihiłchįį , ąįį geh'an dinjii datthak łyaa gooveenjit gwinzii ts'ą' shoo ginlii .
44:20:013:0	“ Shįį , ąįį nankak ts'ąįį Assos kwaiik'it gwats'ą' hihshyaa . Izhik tr'ihchoo zhit hihshyaa , ” Paul diinahnyąą . Jii geh'an , diikhwan ąįį tr'ihchoo zhit tr'iinjil . Ąįį haa Assos kwaiik'it gwats'ą' tr'ahaajil .
44:20:014:0	Nijin izhik neeraa'in dąį' , adan t'ee diinaa tr'ihchoo zhinzhii ts'ą' Mitylene kwaiik'it gwachoh gwats'ą' tr'ahaajil .
44:20:015:0	Izhik gwats'an tr'ihchoo haa tr'ahaajil dąį' , gęhdaa drin Chios njuu ehgoo tr'aajil . Ąįįtł'ęę gęhdaa drin Samos njuu k'eeriidal . Gęhdaa drin Miletus kwaiik'it k'eeriidal .
44:20:004:1	Paul , Ephesus Kwaiik'it Gihłeehidii Dąį' Ch'anjaa Gwik'injiighit Kįh Dilk'ii Nąįį “ Vit'eegwijyąhchy'aa Nakhwaa Oolį' , ” Ahnyąą
44:20:016:0	Paul , Asia nahkat zhyąą dhidii gitr'ii'ee geh'an Ephesus gehgoo tr'ihchoo hahłaa nindhan , Jerusalem khan gwats'ą' hoihshi' nindhan gwik'it gwanlii ji' Jews nąįį ch'ara'aa gwagwahtsii Pentecost gwagwahnyąą izhik oihdi' nindhan .
44:20:017:0	Nijin Miletus kwaiik'it gwizhit Paul t'inchy'aa dąį' , izhik gwats'an ch'anjaa gwik'injiighit kįh dilk'ii nąįį Jesus k'injigiighit nąįį Ephesus kwaiik'it gwizhit nąįį ts'ą' nideech'idiin'ąįį . Izhit jyaa dagavahnyąą , “ Dząą shats'ą' hohjyaa , shahǫǫh'yaa eenjit . ” gavahnyąą .
44:20:018:0	Ąįįtł'ęę zhat k'eegiidal dąį' , goots'ą' ginkhii , “ Nijin tr'ookit drin Asia nahkat k'eiindik dąį' gwats'an juk gwats'ą' deeshi'yą' datthak gaakhwandaii .
44:20:019:0	Nijin gwehkįį khit nakhwaa t'ihchy'aa dąį' k'eegwaadhat vigwitr'it t'agwał'in . Ąįįts'ą' chan khazhak t'ihchy'aa . Nijin dinjii Jesus k'injigiighit kwaa khyų' gilii dąį' , geenjit gaa ihtree . Nijin Jews nąįį doołkhwaa shagoonyąą dąį' , łyaa geenjit khaiinjich'ashadhat . Ąįį datthak gaakhwandaii .
44:20:020:0	Nijin shįį zhrįh nakhwazheh gwizhit geenakhwaałtan ts'ą' łineeriidal izhik chan geenakhwaałtan ts'ą' k'eegwiichy'aa datthak geenjit nakhwats'ą' giihkhii ąįį nakhwats'igweheenjyaa ji' geenjit . Ch'ihłak gaa nakhwats'į' k'iinjik oihtą' kwaa . Ąįį chan gaakhwandaii .
44:20:021:0	Jews ąįįts'ą' Jews nilįį kwaa nąįį deekhwa'yaa geenjit jyaa danakhwaihnyąą , “ Nakhwatr'agwaanduu gwats'an łihts'eedǫǫ'ee ts'ą' Vit'eegwijyąhchy'aa vats'ą' łihts'eedǫǫ'ee . K'eegwaadhat Jesus vik'injuhkhit ! ” jyaa nakhwaiinyą' .
44:20:022:0	Juk Jerusalem gwats'ą' hihshii , ‘zhat gwats'ą' hinkhaii , ’ Ch'anky'aa Shroodiinyąą shahnyąą geh'an . Zhat ji' jidii shats'ą' deegweheenjyaa gaashandaii kwaa .
44:20:023:0	Zhat zhee gwaazhrąįį nasharahahchyaa . Łyaa gwintł'oo khaiinjich'ihiishadhat . Ąįį zhrįh łyaa gaashandaii . Zhik gwa'an kwaiik'it gwachoh datthak gwitee neehihdik dąį' , khit Ch'anky'aa Shroodiinyąą k'iighai' shats'ą' giginkhii , chy'ąą gwik'it gweheelyaa gaashandaii .
44:20:024:0	Gąą ąįį geenjit łyaa naljat kwaa . Shigiiłkhwąįį ji' googaa , łyaa geenjit tr'igwihdii kwaa . Jidii gwitr'it t'ihishi'yaa K'eegwaadhat Jesus shats'an gwiłtsąįį . Ąįį datthak gihihdal gwizhrįh geenjit ninjich'ihthat . Jidii dinjii ts'ą' gwik'it t'ihiinjyaa sheegoo'aii zhrįh gwik'it t'ihnyąą . “ Nakhwan ts'ą' Vit'eegwijyąhchy'aa viginjik k'injiighit nąįį datthak ts'ą' nakhwatr'agwaanduu gwats'an neenakhwahahshii dich'eegoonzhrįį k'iighai' . ” nyąą chy'ah jii t'ee shigwitr'it t'ał'in t'oonchy'aa .
44:20:025:0	“ Nakhwatee datthak neehihdik ts'ą' Vit'eegwijyąhchy'aa Veegwinii'ee geenjit nakhwaagwaldak dąį' . Juk gwats'an nakhwatee ch'ihłee gąą jii nankak neeshahąą'yaa kwaa gaashandaii .
44:20:026:0	Jii geh'an jyaa danakhwaihnyąą . Nakhwatee ch'ihłee Jesus k'injigiighit kwaa ts'ą' vaatr'igweendaii ji' , shįį shęh'an t'igweheechy'aa kwaa t'oonchy'aa .
44:20:027:0	Vit'eegwijyąhchy'aa deenyąą k'eegwiichy'aa gwatsal gąą gwitee gineedhaldee kwaa , ts'ą' ąįį datthak geenjit nakhwaagwaaldak .
44:20:028:0	Ąįįts'ą' gwinzii adak'ǫǫntii , gah ts'ą' chan juu Jesus k'injigiighit nąįį datthak gwinzii gook'ǫǫhtii , divii k'ąąhtii didivii k'ąąhtii gwik'it t'ohchy'aa . Ch'anky'aa Shroodiinyąą jyąhts'ą' gook'eehǫhtyaa nakhwiłtsąįį geh'an . Nijin Jesus Christ tr'iiłkhwąįį dąį' , Vit'eegwijyąhchy'aa khai' vigii vadaa haa gootr'agwaanduu gwats'an neegoovoiinkwat geh'an .
44:20:029:0	Dząą gihłeehoiizhii tł'ęę , dinjii nakhwatee heedaa . Oots'it haa nakhwaa gwagwahaandak , Jesus k'injohkhit kwaa nakhwagahahtsyaa geenjit . Ąįį gaashandaii . Ąįį dinjii nąįį chan zhoh naatł'ii k'it t'igiheechy'aa ts'ą' divii tee giheedaa . Ąįįts'ą' googiheeghaa .
44:20:030:0	Łyaa nakhwatee gwats'an dinjii lat nąįį gahoots'it haa juu Jesus k'injigiighit nąįį googaa gootąįį heedaa gwagwahahtsyaa .
44:20:031:0	Jii geh'an łyaa gwak'ǫǫhtii . Neegwiidhat tik ( 3 years ) gąhkhyuk datthak drin , tǫǫ haa geenakhwaałtan . Ąįį gah chan nakhwan nakhweh'an gwintł'oo iitrii . Izhik ganoondaii .
44:20:032:0	“ Ąįįts'ą' juk Vit'eegwijyąhchy'aa vanli' zhit ninakhwahihłyaa ts'ą' Vich'eegoonzhrii zhit nakhwak'ǫǫhti' . Gwik'iighai' nakhwagwik'injigwiighit niint'aii heelyaa ts'ą' jidii Vit'eegwijyąhchy'aa nakhweenjit gwii'įį ąįį gwats'ą' k'eegohoodhat gwats'ą' datthak .
44:20:033:0	Ąįį gąhkhyuk dinjii ts'an larąą daatsik ( gold ) , ch'iitsii daagąįį ( silver ) , ąįįts'ą' gwach'aa haa yii'ya' kwaa .
44:20:034:0	Khit gwitr'it t'agwał'in . Ąįį haa shįį ts'ą' shaa neehiidal nąįį haa vakwan tr'agwandaii . Ąįį łyaa gaakhwandaii .
44:20:035:0	Jyąhts'ą' dishi'in gwik'eenakhwąąłtii nakhwan t'ee nats'ahts'ą' deekhwa'yaa ts'ą' juu gwat'aahchy'aa neeshraahchy'aa nąįį ts'ahohnjyaa geenjit . ‘Dinjii ts'ą' gwinzii t'igwii'in dąį' , diits'ą' gwinzii t'igii'in ąįį andaa gashoorahłįį . ’ K'eegwaadhat Jesus jyaa dinyąą . Ąįį ganoondaii . ” Paul Ephesus kwaiik'it gwats'an ch'anjaa nąįį ahnyąą .
44:20:036:0	Nijin goots'ą' ginkhe' tł'ęę , datthak gavaa nikiigwiintthaii ts'ą' nihłaa khagigideedi' .
44:20:037:0	Ąįįtł'ęę datthak gitree , ąįį haa giineedhinjik ts'ą' giiyąąnhts'u' , tł'ęę ‘Vit'eegwijyąhchy'aa naa oolį' ! ’ giiyahnyąą .
