44:9:001:1	Saul Ch'ijuk Dinjii Needhidlit
44:9:001:0	Izhik zhat dąį' Saul dinjii lęįį juu K'eegwaadhat Jesus k'injiighit ts'ą' tąįį adaa nąįį ts'ą' gwiizųų t'ii'in nyąą ts'ą' łyaa , datthak gavoihkha' yiindhan . Jii geh'an ndak khii giinkhih choh ts'ą' haazhii ,
44:9:002:0	ąįį dęhtły'aa yeenjit hideentł'oo eenjit oahkat ts'ą' t'aih haa yats'an hahtsyaa . Ąįį haa Damascus kwaiik'it gwachoh gwizhit Jews nąįį tr'igiinkhii zheh gwahąąh'yaa geenjit , izhik gwa'an Jesus k'it gwandaii nąįį agwahah'aa ji' eenjit . Ąįį nąįį agwąh'ąįį ji' , dinjii , ts'ą' tr'injaa haa giinlii ji' , googaa nihk'it goovooheendal . Ąįįtł'ęę Jerusalem gwits'ee gooheelyaa , ts'ą' zhee gwaazhrąįį nagooreheelyaa geenjit .
44:9:003:0	Nijin Damascus gwats'ą' ninghit kwaa ahaa dąį' , khan hee zheekat gwats'an vak'aa ts'ą' vindiih datthak ch'eegwąhndit nagwaanąįį .
44:9:004:0	Gwagwahkhan nankak neet'aanąįį . “ Saul , Saul , jaghaii dee shagwahąąhshii eenjit shatąįį neehindik ? ” gwideezhuh yahnyąą .
44:9:005:0	“ Juu inlii , K'eegwaadhat ? ” Saul yahnyąą . “ Jesus , vagwahąąhshii eenjit vatąįį neehindik , ąįį ihłįį . ” gwideezhuh yahnyąą .
44:9:006:0	“ Gaa nininjii tł'ęę , Damascus gwizhit nihdeiinkhaii . Zhat dinjii ch'ihłee deehini'yaa datthak geenjit naa gwahaandak . ” jyaa gwideezhuh yahnyąą .
44:9:007:0	Dinjii yaa adaa nąįį datthak chan khų' gaa giginkhii ts'ą' k'eegwiichy'aa t'iginyąą kwaa . Gwideezhuh giitth'ak gaa k'eegwiichy'aa gwagwaah'in kwaa .
44:9:008:0	Saul nankak gwats'an ninehjin . Ąįįtł'ęę dandee nihky'aa t'igwinlik , gąą k'eegwiichy'aa gwąąh'in kwaa , vindee kwaa nagwaanąįį geh'an . Giiyanli' ootą' ts'ą' Damascus gwizhit nihdeegiiniin'ak .
44:9:009:0	Ąįįtł'ęę drin tik gąhkhyuk datthak gwąąh'in kwaa . Ąįį gąhkhyuk datthak ch'a'aa kwaa ts'ą' chųų chan dinįį kwaa .
44:9:010:0	Damascus gwizhit dinjii gwik'injiighit ch'ihłak Ananias oozhii , ąįį K'eegwaadhat k'iighai' gineiinlyaa k'it t'inchy'aa zhit , gineiinlyaa gwizhit K'eegwaadhat yits'ą' niinzhii , nah'in ts'ą' yuuzhrii , “ Ananias ! ” yahnyąą . “ Dzaa dhiidii , K'eegwaadhat ! ” Ananias yahnyąą .
44:9:011:0	“ Cheehinkhaii ts'ą' , Tąįį K'igwąą'ee goozhii , gwats'ą' hinkhaii . Izhik zhat Judas vizheh gwizhit Tarsus kwaiik'it gwachoh gwats'an ahaa Saul , juk khagidiinjii , ąįį vach'oahkat ,
44:9:012:0	ts'ą' gineiinlyaa k'it t'inchy'aa zhit nan Ananias nihdeiinkhaii ts'ą' viki' kat naanjik , nah'in łee gwąąh'in vaa gweech'in neegweheelyaa geenjit . ” K'eegwaadhat Ananias ahnyąą .
44:9:013:0	“ Gąą K'eegwaadhat , jii dinjii łyaa Jerusalem gwizhit gwik'injiighit nąįį lęįį ts'ą' gwiizųų gwitr'it t'agwah'in , gwiihtth'ak .
44:9:014:0	Juk dząą Damascus kwaiik'it gwats'ą' haazhii giinkhii kįh dilk'ii t'aih giits'an iłtsąįį . Juu noozhri' oozhii nąįį tee gwahąhdal eenjit . ” Ananias yahnyąą .
44:9:015:0	K'eegwaadhat Ananias jyaa dahnyąą , “ Vats'ą' hinkhaii . Sheenjit gwitr'it t'agwahah'yaa eenjit vagwadoołkįį t'inchy'aa . Israel gwich'in nilįį kwaa nąįį , k'eedeegwaadhat choh nąįį , Israel gwich'in nąįį sheenjit goohąąhchyaa t'inchy'aa .
44:9:016:0	ts'ą' shęh'an gwintł'oo khaiinjich'iheedhat vats'ą' gwagwahaałkyaa t'inchy'aa . ”
44:9:017:0	K'eegwaadhat jyaa diiyahnyąą , geh'an ąįį zheh gwats'ą' haazhii . Gwizhit nihdeiinzhii tł'ęę danli' haa Saul ki' k'ąą naanjik , “ Shachaa Saul , K'eegwaadhat nats'ą' shihił'e' . Jesus adan nilįį , nah'ya' dząą gwats'ą' tąįį gwin'ee gwinjik inkhaa dąį' . Ąįį nats'ą' shihił'e' gwahąąh'yaa ts'ą' Ch'anky'aa Shroodiinyąą ‘nats'ą' doo'ya' . ’ noonyąą gwik'it t'inihi'yaa geenjit . ” Ananias , Saul ahnyąą .
44:9:018:0	Googwahkhan łuk gyuu' k'it t'inchy'aa vindee zhit gwats'an khaiinjil ts'ą' gwąąh'in needhidlit , tł'ęę ninehjin . Ąįįtł'ęę chųų yats'an iłtsąįį .
44:9:002:1	Saul , Damascus Kwaiik'it gwizhit Jesus Eegwaandak .
44:9:019:0	Ąįįts'ą' ch'in'al tł'ęę vat'aii neegahoodlit . Ąįįtł'ęę drin gwinlęįį kwaa gwizhit Damascus zhit Jesus k'injiighit nąįį haa indi' .
44:9:020:0	Ąįįtł'ęę khants'ą' Jews nąįį tr'igiinkhii zheh kwaii gwats'ą' haazhii . Izhik Jesus eegwaandak , “ Jesus t'ee Vit'eegwijyąhchy'aa Vidinji' nilįį ! ” nyąą .
44:9:021:0	Juu yiitth'ak nąįį datthak eenjit łyaa geegagoolii kwaa t'inyąą , “ Jii dinjii Jerusalem gwizhit Jesus k'injigiighit nąįį datthak agwąąhshii , ąįį lee t'inchy'aa ? Dząą gwats'ą' haazhii Jesus k'injigiighit nąįį ooheendal , ąįį eenjit gwizhrįh . Ąįįtł'ęę giinkhih kįh dilk'ii nąįį ts'eegooheelyaa , googwarahąąhshii eenjit , ąįį lee t'ohnyąą ? ” juu yuułk'įį nąįį jyaa ginyąą .
44:9:022:0	Saul , Jesus vagwandak Nizįį gǫąąhtan gwandaa gwinzii t'inyąą ilii , “ Jesus adan Christ nilįį , ąįįt'ee narool'in chy'ąą t'inchy'aa . ” nyąą . Jii jyaa nyąą dąį' , łyaa gwinzii gwik'it teech'igiinkhee . Jews nąįį Damascus kwaiik'it gwizhit t'inchy'aa , ąįį nąįį nats'ahts'ą' giidii giheehkhyaa gaagiindaii kwaa .
44:9:023:0	Ąįįtł'ęę niighyuk gwahaadhat tł'ęę Jews nąįį nihłaa łigiiljil , nats'ahts'ą' Saul gahaahkhwaa , googwahahtsyaa geenjit .
44:9:024:0	Gąą deeginyąą datthak giveenjit gwiitth'ak . Gweedhaa datthak drin , tǫǫ haa kwaiik'it gwachoh kii gwineedhi'ęę nju' charantąįį giiyeenjit gwak'ąąhtii , giiyuuheendal ts'ą' giihaahkhwaa eenjit . Gąą jii datthak chan gwiitth'ak .
44:9:003:1	Saul , Jerusalem gwizhit Jesus Eegwaandak
44:9:025:0	Saul , vijyaa gwik'injiighit nąįį tǫǫ gwizhit tł'oo tyah choh k'it t'inchy'aa zhit giiyąhchįį ts'ą' kwaiik'it kii gwineedhi'ęę ohts'ąįį tły'ah haa k'iizhak neegivyaagiiyiin'ąįį .
44:9:026:0	Ąįįtł'ęę Saul Jerusalem gwats'ą' haazhii . Izhik zhat Jesus k'injigiighit nąįį tee khwaihshi' yiindhan , “ Shįį , Jesus vitsyaa juk ihłįį , ” nyąą , gąą chan giik'injiighit kwaa . Ąįįts'ą' chan giiyąąnjat .
44:9:027:0	Ąįįtł'ęę Barnabas yuunjik ts'ą' Tr'ihił'e' nąįį ts'ą' yihełchįį . “ Saul Damascus gwits'eehaa gwiizhik K'eegwaadhat yits'ą' ginkhii , nah'ya' . Ąįįtł'ęę Damascus gwizhit łyaa naajat kwaa haa Jesus eegwaandak . ” Barnabas gavahnyąą .
44:9:028:0	Ąįįtł'ęę gavaa t'inchy'aa . Gwiizhit Jerusalem gwizhit datthak naajat kwaa ts'ą' K'eegwaadhat Jesus eegoovaagwaandak .
44:9:029:0	Zhat Jews Greek-ky'aa ginkhii nilįį nąįį haa ginkhii gaa tr'agavoiidlii . Gąą giiyęhdaa tr'igwihee'aa gwik'eegoogoonjik .
44:9:030:0	Nijin gwik'injiighit nąįį geenjit gwigwiitth'ak dąį' , Saul goonjik ts'ą' Caesarea kwaiik'it gwats'ą' giihiłchįį . Ąįįtł'ęę izhik gwats'an łyaa ninghit Tarsus kwaiik'it gwachoh goo'aii gwats'ą' nineegiiyąąhchįį .
44:9:004:1	Peter , Lydda ąįįts'ą' Joppa Kwaiik'it Haa gwats'ą' Haazhii
44:9:031:0	Ąįįtł'ęę Judea , Galilee , ts'ą' Samaria nahkat gwa'an datthak Jesus k'injiighit nąįį haa gwintsal goovaa tsinehdan gwanlii . Ch'anky'aa Shroodiinyąą k'iighai' goot'aii gwanlii ts'ą' ginlęįį gaadlit . K'eegwaadhat Jesus deegihił'ee ts'ą' doo'yaa gavoonyąą gwik'it t'igii'in .
44:9:032:0	Peter nijuk datthak neehidik . Ch'ihłan Lydda kwaiik'it gwats'ą' haazhii , Jesus k'injigiighit nąįį zhat t'inchy'aa , hąąh'yaa eenjit .
44:9:033:0	Izhik zhat dinjii , Aeneas oozhii , nah'in . 8 ( years ) neegwiidhat gąhkhyuk datthak ichehk'it nakhaii kwaa , ts'ik ahchįį haa iłts'ik geh'an .
44:9:034:0	“ Aeneas , juk dząą Jesus Christ shrineeninlik . Ndak ninkhaii ts'ą' nats'at shrininlii . ” Peter yahnyąą . Googwahkhan gwik'it t'iizhik ts'ą' ndak niinzhii .
44:9:035:0	Nijin dinjii datthak Lydda kwaiik'it ts'ą' Sharon goozhii gwichyah gwa'an chųų choh geeghaih goo'aii , gwats'an lęįį nąįį nizįį neehoodlit , giiyąąh'in dąį' , ąįį nąįį datthak K'eegwaadhat k'injigiighit gaadlit .
44:9:036:0	Joppa kwaiik'it gwizhit tr'injaa , Tabitha oozhii , ąįį chan Jesus k'injiighit nąįį ch'ihłak nilįį . ( Greek ginjik ky'aa Dorcas oozhii . Ąįį ( Deer ) vadzaih tsal k'it t'inchy'aa , gwinyąą t'igwinyąą . ) Gweedhaa datthak gwinzii gwitr'it t'agwah'in ąįįts'ą' dinjii neeshraahchy'aa nąįį khit k'ąąhtii ts'ą' ts'inyąą .
44:9:037:0	Izhit dąį' iłts'ik naanaii ts'ą' niindhat . Ąįįts'ą' giichį' k'eech'ąhtryaa ts'ą' ch'iyeedak zheh gwizhit nigiiyąąhchįį .
44:9:038:0	Joppa kwaiik'it ąįį Lydda kwaiik'it geeghaih ninghit kwaa goo'aii . Ąįįts'ą' juu Joppa gwizhit Jesus k'injigiighit nilįį nąįį , “ Peter , Lydda kwaiik'it gwizhit t'inchy'aa . ” gwinyąą gwigwiitth'ak dąį' , dinjii neekwąįį nąįį giits'ą' hił'e' . “ Khants'ą' diikwaiik'it gwizhik diits'ą' hinkhaii . ” giiyahnyąą .
44:9:039:0	Jii geenjit Peter shriidąązhik ts'ą' gavaa haazhii . Izhik zhat zheh ch'ihłak gwizhit nihdeiinzhii dąį' , ch'iyeedak zheh deegiiyiłchįį . Tr'injaa ch'adąį' vakai' niinjik nąįį datthak giiyeelin neelzhii , Dorcas jidii gwach'aa ąįįts'ą' ik haa inghąn , ąįį kwaii giits'ą' k'eech'ąąhtii gwiizhik datthak gitree .
44:9:040:0	Ąįįtł'ęę datthak cheegǫǫhaadlii . Ąįįts'ą' yeeghaii nikiigwiintthaii ts'ą' khagidiinjii . Ąįįtł'ęę yichi' ts'ą' nil'ee ts'ą' yąąh'in gwiizhit , “ Tabitha , k'iidak ninkhee ! ” yahnyąą . Ąįįtł'ęę gwizhit dandee nihky'aa t'igwinlik . Nijin Peter nah'in dąį' , k'iidak naadii .
