44:24:001:1	Nijin Jews Nąįį Paul Eenjit Goots'it Dąį'
44:24:001:0	Drin 5 gwindhat tł'ęę ndak khii giinkhih choh , Ananias oozhii , ąįį gąą Jews ch'anjaa kįh dilk'ii nąįį ts'ą' dinjii , Tertullus oozhii , nąįį haa Caesarea kwaiik'it gwats'ą' gahaajil . Tertullus łyaa law haandaii nilįį , jyąhts'ą' gwizhrįh gwandaii gaiigwahtsii nilįį . Nijin k'eegiidal dąį' , k'eedeegwaadhat Felix , ts'ą' gahaajil . Ąįįts'ą' giiyandah niinjil Paul eenjit k'eegwiichy'aa datthak gwiizųų giiyaagwaandak geenjit .
44:24:002:0	Ąįįtł'ęę Paul zhat nihdeegąąhchįį dąį' , Tertullus oots'it haa yeeginkhii , “ Diik'eedeegwaadhat , jii diinankat gwizhit juk t'ee łyaa ninghyuk tsinehdan diihaa goo'aii , gwizhįh haa diits'ą' k'eedeegwandhat geh'an . Ąįį gąą , ch'adąį' tr'agwandaii gwandaa t'agwahtsų' tr'agwandaii , gwinzii dinjii didivee ninjich'adhat geh'an .
44:24:003:0	Diikhwan datthak zhik gwa'an tr'agwandaii ts'ą' jidii datthak diineenjit t'ini'in . Ąįį geenjit łyaa mahsį' choh , naroonyąą t'oonchy'aa .
44:24:004:0	Jii geenjit łyaa gwintsal naagoihkhyaa nihthan . Naagwahaaldak shoo haahky'aa ji' , łyaa geenjit shoo hihłyaa .
44:24:005:0	Jii dinjii łyaa gwinlęįį gwiizųų gwahtsii , gaagwiindaii . Nihky'aa nankak datthak Jews nąįį teenihidik . Nats'ąą geech'arǫąąhtan ąįį ch'ijuk geech'ǫąąhtan , ąįį haa gwintł'oo gwiizųų gwahtsii . Ąįį geh'an nihłigiighan . Nazarenes nąįį eenjit khaihkwaii nilįį .
44:24:006:0	Ąįį gąą Diikharigidiinjii Zheh shroodiinyąą gweheelyaa kwaa geenjit gwik'eegwandaii , ąįį geh'an tr'oonjik . Ąįįts'ą' khai' dii-law haa tr'oohahkat eenjit .
44:24:007:0	Gaa niveet'ah'in kįh dhidii choh Lysias oozhii , diiteiinzhii ts'ą' gwintł'oo vik'įį gwanlii haa yuunjik ąįįts'ą' dinihłeeyihełchįį .
44:24:008:0	Ąįįtł'ee Lysias ąįį juu Paul gwiizųų t'ii'in nyąą nąįį Governor Felix ts'ą' dagoonyą' nyąą , “ Jii dinjii naakhai' oankat ji' jidii geenjit gwiizųų t'ii'in varahnyąą gaanahaandaii .
44:24:002:1	Paul , Felix Ęhdaa Nadhat ts'ą' Ideenjit Ginkhii
44:24:009:0	Ąįį gąą Jews zhat t'inchy'aa nąįį datthak , “ Tertullus deenyąą , łyaa t'inyąą . ” ginyąą .
44:24:010:0	Ąįįtł'ęę Governor , Paul giheehkhyaa geenjit danli' haa yik'ineehahdak ts'ą' Paul ginkhii , “ Łyaa ideenjit gihihkhyaa eenjit nan ndaanihthat geenjit shoo ihłįį , neegwiidhat gwinlęįį jii diinahkat gwizhit dinjii juu vandaa diiroahkat inlii , gaashandaii geh'an .
44:24:011:0	Ąįį giky'ahandal geenjit drin l2 gwanaa dąį' Jerusalem k'idik , Vit'eegwijyąhchy'aa ts'ą' khagihihjyaa eenjit .
44:24:012:0	Kharigidiinjii Zheh gwizhit łąą ch'ats'ą' t'ihnyąą shagaah'in kwaa . Tr'igiinkhii zheh akwat kwaiik'it gwachoh gwizhit dinjii nąįį zhigaants'įį ałtsii shagaah'in kwaa .
44:24:013:0	‘Nats'ąą dee'in , ’ shagahnyąą ch'ihłak gaa łi'deegwidlii gwanlii kwaa nats'ahts'ą' gwik'eech'agahąhtyaa kwaa , jii kwaii gwik'it t'ishi'in kwaa geh'an .
44:24:014:0	Gąą jii oihts'it kwaa haa naagwahaaldak . Yeenii diitsii nąįį Vit'eegwijyąhchy'aa ts'ą' khagideedi' , ąįį k'it shant'ee gąą Jesus vatąįį łyaa łi'deegwidlii haa vats'ą' khagidihjii , ‘ąįį łyaa łi'deegwidlii kwaa , ’ ginyąą . Ąįį gąą dęhtły'aa Moses va-law ts'ą' juu Vit'eegwijyąhchy'aa Eenjit Ginkhii nilįį ąįį dęhtły'aa zhit gwadanakhwatł'oo kwaii datthak k'injihkhit .
44:24:015:0	Dinjii nizįį nąįį ts'ą' dinjii iizųų nąįį haa nigiinjik ji' , datthak Vit'eegwijyąhchy'aa k'iighai' neegwigweheendaii gwinyąą . Jii Jews nąįį gwik'injigijii gwik'it , shant'ee gwik'injihkhit .
44:24:016:0	Łyaa khit gwinzii gwitr'it t'agwał'in gwik'eegwįhdaii . Jii geh'an Vit'eegwijyąhchy'aa ąįįts'ą' dinjii nąįį haa andah shiyinji' zhit gwinzii gwitr'it t'agwał'in , gaashandaii .
44:24:017:0	“ Niighyuk Jerusalem geh'ok iidi' ąįįtł'ęę zhat gwa'an Jesus k'injigiighit nilįį nąįį larąą ts'an giłtsąįį ąįį shintł'eeginlii dąį' , Jerusalem gwizhit givintł'eeyihihłyaa eenjit gwits'ee shahoozhii . Ąįį gah chan Vit'eegwijyąhchy'aa ts'ą' nin haałkhwaa ts'ą' ideenjit ataiinjii haałtsyaa eenjit .
44:24:018:0	Izhik Kharigidiinjii Zheh gwizhit shroodiinyąą adadooltsąįį , tł'ęę ataiinjii ideenjit dhałtsąįį , ąįį gwiizhik shagagwah'ąįį , dinjii nąįį gazhral ts'ą' ch'ats'ą' goołtsąįį kwaa . Dinjii lęįį chan shaa neehiidal kwaa .
44:24:019:0	Izhik Kharigidiinjii Zheh gwizhit juu nąįį shąąh'ya' Jews nąįį ginlii Asia nahkat gwats'an ginlii . ‘Gwiizųų gwitr'it t'agwah'in , ’ sharahnyąą ji' , ąįį nąįį zhat gwizhit shąąh'ya' nąįį dząą nandah sheegoogwaandak ji' , łyaa gweheezyaa .
44:24:020:0	Nijin Jews k'eedeegwaadhat nilįį nąįį andah nihthat dąį' , k'eegwiichy'aa gwiizųų gwitr'it t'agwał'in shik'igaanjik , geenjit naagwagwahaandak .
44:24:021:0	Zhat gavandaa nihthat dąį' , k'eegwiichy'aa ch'ihłak gwizhrįh t'iinyą' . ‘Juk drin shoohkat , Vit'eegwijyąhchy'aa dinjii niindhat gwats'an gwandaii neehahtsyaa gwik'injihkhit geh'an , ’ gwintł'oo ihshral ts'ą' gavaiinyą' ąįį geh'an . ” Paul Governor Felix ahnyąą .
44:24:022:0	Felix , Jesus vatąįį łyaa gaandaii . Ąįįtł'ęę “ Nijin niveet'ah'in kįh dhidii choh , Lysias oozhii , dząą k'idik ji' hee , jii geenjit neech'arahaakat . Ąįį gwats'ą' nagarǫǫhaa'yaa . ” gavahnyąą .
44:24:003:1	Nijin Paul Governor Felix ts'ą' Va'at Drusilla Haa Ndaanadhat Dąį'
44:24:023:0	Ąįįtł'ęę niveet'ah'in kįh Paul k'ąąhtii nilįį jyaa dahnyąą , “ Tseenjyaa vak'ąąhtii , gąą dooshi'ya' , yiindhan gwik'it t'ihee'yaa ąh'įį . Nijin vijyaa nąįį yahąąh'yaa ji' , jidii di'įį kwaa , ąįį giits'an ąhtsii ji' gąą gwinzii . ” jyaa Felix niveet'ah'in kįh ahnyąą .
44:24:024:0	Gwintsal gwahaadhat ąįįtł'ęę Felix daga'at Drusilla haa zhat nineegii'oo . Va'at Jews nilįį . Ąįįts'ą' Paul kanch'agah'ee , nijin zhat k'idik dąį' . Nats'ahts'ą' dinjii Christ Jesus k'injigiheeghit eenjit gavaa gwaandak . Ąįįts'ą' łyaa giiyuułk'įį .
44:24:025:0	Gaa Paul , gwinzii , deegwii'in gwik'eerahtii , ts'ą' diiroohahkat drin gwats'ą' gweedhaa kwaii geeginkhii gwiizhit Felix naajat naanaii ts'ą' t'iiyahnyąą , “ Nijin gwik'it nagwaanąįį ji' , chan shits'eehindyaa eenjit jyaa danahaihjyaa , juk cheehindii . ” Paul ahnyąą .
44:24:026:0	Ąįį gąą Felix , Paul duulee jii geenjit shagooheekwat shrǫǫ niindhan geh'an . Jii geh'an ndaanihłik yankaneech'ah'ak ts'ą' yaa ginkhii .
44:24:027:0	Neegwiidhat neekwąįį ( 2 years ) ąįįtł'ęę jyąhts'ą' vaa gwataa gwahaadhat , Felix , Governor nilįį kwaa . Felix , Paul zhee gwaazhrąįį gwizhit khit iłdii , jyąhts'ą' Jews nąįį shoo ąhtsii eenjit . Gwiizhik videek'it Porcius Festus Governor dhidlit .
