44:27:001:1	Nijin Paul Tr'ihchoo Haa Rome gwats'ą' Hahkhaii Dąį'
44:27:001:0	Nijin Paul , Rome kwaiik'it , Italy nahkat gwizhit goo'aii gwats'ą' narahahchyaa , giindhan dąį' . Adan ąįįts'ą' gah zhee gwaazhrąįį dilk'ii nąįį “ Rome k'eedeegwaadhat choh k'įh viniveet'ah'in , ” Julius oozhii , gook'eehąąhtyaa eenjit antł'eegooginlii . Shįį , Luke shant'ee Paul vaa hoiizhii .
44:27:002:0	Ąįį gaa dinjii , Aristarchus oozhii , chan diihaa neehidik , Thessalonica kwaiik'it gwats'an nilįį , Macedonia nahkat gwizhit goo'aii . Datthak Adramyttium kwaiik'it gwats'an tr'ihchoo alaa , ąįį zhit tr'iinjil . Jii tr'ihchoo Asia chųų choh vee gwa'an kwaiik'it goodlii gwalat gwats'ą' hilit . Caesarea kwaiik'it izhik vizhit tr'iinjil . Ąįįts'ą' haalit .
44:27:003:0	Ąįįtł'ęę gęhdaa drin Sidon kwaiik'it gwachoh k'eeriidal . Izhik niveet'ah'in kįh dhidii , Julius oozhii , Paul vijyaa nąįį giits'iheenjyaa eenjit tee k'eeheedik gwats'ą' t'ahthan .
44:27:004:0	Nijin izhik gwats'an neerahoojil dąį' , łyaa diits'ą' ahtr'aii . Ąįį geh'an ahtr'aii gwant'eh ts'ąįį Cyprus njuu choh eelin geegaroojil .
44:27:005:0	Ąįįtł'ęę Cilicia nahkat ąįįts'ą' Pamphylia nahkat gehgooriinjil . ts'ą' Lycia nahkat gwizhit Myra kwaiik'it gwachoh tee tr'ihchoo tr'aahłit .
44:27:006:0	Izhik niveet'ah'in k'įh Alexandria kwaiik'it gwachoh gwats'an tr'ihchoo haa , Italy nahkat gwats'ą' alaa łee , agwąh'ąįį . Izhit ts'ąįį neediigiinlii . Ąįįtł'ęę tr'ihchoo diihaa nęęhoolit .
44:27:007:0	Łyaa drin gwinlęįį tr'ihchoo haa khyų' tr'eelaa . Ąįį gahkhyuk datthak gwinlęįį diihaa gwit'igwin'ee . Ąįį haa nehshrit Cnidus kwaiik'it geeghaih tr'agoonjik . Izhik ts'ąįį łyaa gwintł'oo diits'ą' ahtr'aii . Ąįį geh'an Salmone njuu tsii geeghaih ts'ąįį Crete njuu choh ahtr'aii gwant'eh gwats'ą' tr'ihchoo tr'ihiłit .
44:27:008:0	Izhik zhat teeghaii gwats'ą' nahgwan geelin tr'ihchoo khyų' diihaa alaa . Gohch'it nehshrit Lasea kwaiik'it geeghaih ninghit kwaa ‘tr'ihchoo dhidlii gwinzii , ’ goozhii , izhik tr'ihchoo k'eelak .
44:27:009:0	Izhik niighyuk tr'aak'į' . Atonement drin gwagwahnyąą ąįį ch'adąį' hee gehgoo goodhat , khaiits'ą' nagwaanąįį ts'ą' tr'ihchoo haa neerihiidal geenjit gwiizųų . Ąįį geh'an Paul tr'ihchoo ts'ą' k'eedeegwaadhat nilįį jyaa dahnyąą .
44:27:010:0	“ Dinjii nąįį dząą gwats'an googaa tr'ahaajil ji' , łyaa diinaa gweheezųų gwich'in nihthan . Duulee chan k'aiich'ii tr'ihchoo zhit dhidlii anrahahtsyaa . Ąįįts'ą' duulee chan datthak teerahineenjyaa t'oonchy'aa . ” Paul gavahnyąą .
