44:25:001:1	Paul , Rome gwizhit K'eedeegwaadhat Choh Kįh Nilįį Ts'ą' Nasharohchyaa Nyąą
44:25:001:0	Nijin Festus , Judea nahkat Caesarea kwaiik'it gwizhit k'idik dąį' , drin tik gahkhyuk zhat indi' , tł'ęę Jerusalem gwats'ą' haazhii .
44:25:002:0	Izhik zhat giinkhih kįh dilk'ii nąįį ts'ą' Jews k'eedeegwaadhat nąįį Paul giiyaa gwiizųų eeginkhe' .
44:25:003:0	Jyąhts'ą' giiyųąhkat , “ Deegwiindhan diineenjit gwik'it t'ini'in ts'ą' Paul dząą Jerusalem gwats'ą' nanąąhchįį . ” giiyahnyąą . Jyaa digiiyaiinyą' , ąįįtł'ęę , “ Gwi'ęę Jerusalem gwats'ą' needyaa gwiizhik tr'ahahkhwaa ! ” giiyuunyąą eenjit .
44:25:004:0	“ Paul , Caesarea gwizhit zhee gwaazhrąįį dhidii . Ninghyuk kwaa zhat gwits'eeheedyaa ts'ą' .
44:25:005:0	ąįį dinjii k'eegwiichy'aa gwiizųų gwitr'it t'agwah'ya' ji' , nakhwats'ą' k'eedeegwaadhat lat nąįį zhat gwats'ą' shaa neehiijyaa , nats'ahts'ą' gwiizųų t'ee'ya' , izhik giiyeegwahaandak eenjit . ” Festus gavahnyąą .
44:25:006:0	Ąįįtł'ęę Jerusalem gwizhit drin 8 akwat l0 gahkhyuk gwizhrįh indi' . Ąįįtł'ęę Caesarea gwits'eehoozhii . Caesarea k'inihdik gęhdaa drin , ch'aroahkat zheh gwats'ą' haazhii . Izhik naadii ts'ą' Paul keech'ihił'e' .
44:25:007:0	Nijin Paul zhat nihdeiinzhii dąį' , Jews , Jerusalem gwats'an k'eedal nąįį giineelzhii . “ Łyaa gwinlęįį k'eegwiichy'aa gwiizųų gwitr'it t'agwah'ya' . ” giiyahnyąą . Gąą jidii t'igiinyą' , ch'ihłak gwitee łi'deegwidlii haa giginkhe' kwaa .
44:25:008:0	Paul ideenjit ginkhii , “ Jews nąįį goo-law zhit ‘jidii k'eegwiichy'aa t'igwehee'yaa kwaa , ’ gwinyąą , ąįį gwinehts'į' gwitr'it t'agwaał'ya' kwaa . Kharigidiinjii Zheh gwizhit chan k'eegwiichy'aa gwiizųų gwitr'it t'agwaał'ya' kwaa ts'ą' Rome gwizhit k'eedeegwaadhat choh chan vinehts'į' gwitr'it t'agwaał'ya' kwaa . ” Paul gavahnyąą .
44:25:009:0	Festus łyaa Jews nąįį shoo ołtsyaa niindhan ąįį geh'an Paul oahkat , “ Nik'ee Jerusalem gwats'ą' hoihshi' , niindhan ? Gwik'it t'iindhan ji' , izhik hee k'eegwiichy'aa datthak nats'ahts'ą' deeni'ya' , nagahnyąą eenjit ch'aroahkat zheh gwizhit noohaałkat ? ” Festus yahnyąą .
44:25:010:0	“ Dząą Rome k'eedeegwaadhat choh nilįį vach'aroahkat zheh gwizhit gwandaa nihthat , shoorahahkat eenjit . Ąįį gwizhit sharahkat łyaa gishrigwąąhchy'aa . Jews nąįį ts'ą' k'eegwiichy'aa gwiizųų gwitr'it t'agwaał'ya' kwaa . Nan , googaa łyaa ąįį gaanandaii .
