44:15:001:1	Jerusalem gwizhit Nihłaa Łigiiljil
44:15:001:0	Izhik zhat dąį' Jews , Jesus k'injigiighit nąįį Judea nahkat gwats'an Antioch kwaiik'it k'eegiidal . Ąįį nąįį Jesus k'injigiighit nąįį geegǫąąhtan , “ ‘Nakhwatr'agwaanduu gwats'an neeroozhii , ’ yuuhthan ji' , tr'ookit nakhwakat khangwarahaht'ii ts'ą' nakhwagwarahahkyaa . Jii t'ee deenaa dąį' Moses ch'adąąntł'oo deenakhweiinyą' chy'ąą gwik'it t'agwarahnyąą . ” googahnyąą .
44:15:002:0	“ Łyaa t'ohnyąą kwaa , ” Paul ts'ą' Barnabas haa googahnyąą . Gąą dinjii nąįį gwintł'oo tr'agoogoiidlii . Ąįį googaa nihłaa gwinzii gwigwiltsąįį kwaa . Ąįį geh'an zhat juu Jesus k'injigiighit nąįį , Paul ts'ą' Barnabas , ts'ą' Antioch gwats'an dinjii nąįį haa Jerusalem gwats'ą' nareheelyaa . Izhik zhat Tr'ihił'e' nąįį , ts'ą' ch'anjaa gwik'injiighit kįh dilk'ii nąįį haa giveenjit gigiheehkhyaa , giindhan .
44:15:003:0	Ąįį juu Jesus k'injigiighit nąįį googihił'e' . Ąįįtł'ęę nijin Phoenicia nahkat Samaria nahkat haa gehgoogihijyaa dąį' , zhat dinjii nąįį haa gwagwaandak . Nats'ahts'ą' Jews nilįį kwaa nąįį gwehkįį dąį' , nats'ąą gwagwaandaii akhagagoonyąą , ąįįts'ą' juk Jesus k'injigiighit gaadlit . Zhat Jesus k'injigiighit nąįį geenjit gwigwiitth'ak dąį' , łyaa gwintł'oo geenjit shoo ginlii .
44:15:004:0	Nijin Paul ts'ą' Barnabas ąįįts'ą' juu gavaa haajil nąįį haa Jerusalem k'eegiidal dąį' , zhat Tr'ihił'e' nąįį , ts'ą' ch'anjaa gwik'injiighit kįh dilk'ii nąįį , Jesus k'injigiighit nąįį datthak shoh haa gavaa łigiiljil . Ąįįtł'ęę nats'ahts'ą' Vit'eegwijyąhchy'aa k'iighai' deegee'ya' , gavaa gwagwaandak .
44:15:005:0	Gąą Pharisee lat Jesus k'injigiighit gaadlit nąįį zhat gigiheehkhyaa eenjit nigijyaa , “ Juu Jews nilįį kwaa nąįį Jesus k'injigiighit gaadlit nąįį gootthąį' kat khangwarahaht'ii ts'ą' googwarahahkyaa . Ąįįts'ą' Moses da-law daantł'oo , ąįį chan k'eegwagwahahthat jyaa dagoorahaanjyaa . ” ginyąą .
44:15:006:0	Tr'ihił'e' nąįį , ch'anjaa gwik'injiighit kįh dilk'ii nąįį haa datthak nihłaa łigiiljil , juu Israel gwich'in nilįį kwaa nąįį Jesus k'injigiighit nąįį tthąį' kat khangwarahaht'ii ts'ą' googwarahahkyaa ji' geenjit .
44:15:007:0	Łyaa ninghyuk ginginkhe' . Ąįįtł'ęę Peter giheehkhyaa eenjit nidhikhin , “ Shalak nąįį , ninghit dąį' gwanaa , hee , nakhwatee gwats'an Vit'eegwijyąhchy'aa shigwiiłkįį , Gwandak Nizįį Israel gwich'in nilįį kwaa nąįį haa gwahaaldak eenjit . Jyąhts'ą' gwik'iighai' gwigweheetth'ak ts'ą' gwik'injigeheeghit eenjit .
44:15:008:0	Vit'eegwijyąhchy'aa , jidii dinjii yinji' zhit goodlii , datthak gaandaii . Nats'ahts'ą' Ch'anky'aa Shroodiinyąą diits'an iłtsąįį , gwik'it Ch'anky'aa Shroodiinyąą goots'an chan iłtsąįį . Jyąhts'ą' gwik'iighai' Israel gwich'in nilįį kwaa nąįį eenjit shoo nilįį , vaa gwiindaii .
44:15:009:0	Vit'eegwijyąhchy'aa diineet'iindhan , gwik'it gooveet'iindhan . Jesus k'injigiighit geh'an gootr'agwaanduu datthak oo'an gwahaadlii .
44:15:010:0	Ąįįts'ą' t'ee , jaghaii , Vit'eegwijyąhchy'aa dee'ya' geenjit it'ee lee łi'deegwidlii li' nohthan ts'ą' Israel gwich'in nilįį kwaa nąįį Jesus k'injigiheeghit geenjit ( Law ) gwinlęįį t'agǫǫ'ya' gavoohnyąą ? Yeenii diitsii nąįį ts'ą' diikhwan haa gaa Moses va-law khyų' k'eegwarahthat gwiizhit .
44:15:011:0	Łyaa nakwaa , gwik'injiriighit ts'ą' K'eegwaadhat Jesus vich'eegoonzhrii k'iighai' neediiniłshii t'oonchy'aa , geedan chan gwik'it . ” Peter gavahnyąą .
44:15:012:0	Ąįįtł'ęę nijin Barnabas , Paul haa gwigwee'in ts'ą' nindal gwaahchy'aa gwinlęįį Israel gwich'in nilįį kwaa nąįį tee Vit'eegwijyąhchy'aa k'iighai' t'igee'ya' . Ąįį juu datthak haa gwagwaandak dąį' , datthak gahahchįį kwaa ts'ą' googoołk'įį .
44:15:013:0	Nijin giginkhii gigiinjik tł'ęę , James chan gahaakhe' , “ Shijyaa nąįį , shoodǫǫhk'įį .
44:15:014:0	‘Nats'ąą Vit'eegwijyąhchy'aa , Israel gwich'in nilįį kwaa nąįį eet'iindhan ts'ą' googwiiłkįį , ts'an googwahąąh'yaa geenjit , ’ Jii Simon Peter jyaa nakhwahnyąą .
44:15:015:0	Ninghit dąį' gwanaa Vit'eegwijyąhchy'aa Eenjit Ginkhii nilįį lat nąįį googinjik jyąhts'ą' gwadanakhwatł'oo . Jii gwadanakhwatł'oo nats'ąą Simon Peter ginkhe' łąą gwik'it t'oonchy'aa t'inyąą ,
44:15:016:0	‘Jii ąįįtł'ęę nineehihdyaa , ts'ą' yeenii King David veegwinii'ee neegwahałtsyaa . K'eegwaadhat nyąą , gwiizųų goodlit ąįį gwinzii neegwahałtsyaats'ą' gwint'aii chan neegwahałtsyaa .
44:15:017:0	Ąįįts'ą' nihky'aa dinjii datthak shats'ą' giheedaa , Jews nilįį kwaa nąįį shitsyaa goohaihjyaa .
44:15:018:0	ts'ą' K'eegwaadhat jyaa nyąą , juu yeenaa dąį' jyaa dinyą' . ’
44:15:019:0	“ Shįį ąįį jyaa dihthan . ” James nyąą , ts'ą' tth'aii nihk'it ginkhii , “ Jii Israel gwich'in nilįį kwaa nąįį Vit'eegwijyąhchy'aa k'injiindhat nąįį , ‘gavaanaragoo'ąą , ’ gavoihnyąą kwaa .
44:15:020:0	Gąą goots'ą' ch'aradąąntł'oo ts'ą' jidii kwaii t'igihee'yaa kwaa eenjit gavaa gwarahaandak . Tr'injaa veedhohdii kwaa , ąįį haa nagoh'aa shrǫ' , shih ch'ik'itiltsį' ts'ą' ataiinjii nilįį , oh'aa shrǫ' ! Ąįįts'ą' ch'atthąįį dhoolaih ts'ą' dhookhwąįį ąįį vadaa vats'an anrahtsii kwaa , ąįį oh'aa shrǫ' goovahnyąą .
44:15:002:1	Jews Nilįį Kwaa Juu Jesus K'injigiighit Nąįį ts'ą' Dęhtły'aa Gadąąntł'oo
