44:22:001:0	“ Shalak nąįį , dząą nakhwandaa ideenjit gihihkhyaa , gwinzii shoodǫǫhk'įį ! ” gavahnyąą .
44:22:002:0	Nijin khai' googinjik Jews nąįį ky'aa Hebrew , goots'ą' ginkhii dąį' , gwandaa deegwagwahtsai' kwaa goodlit .
44:22:003:0	“ Shįį , Jew ihłįį . Tarsus kwaiik'it gwachoh gwizhit shagoodlit , Cilicia nahkat gwizhit . Ąįįts'ą' dząą Jerusalem gwizhit dink'iindhat . Geech'ǫąąhtan , Gamaliel oozhii , geeshoołtin . Diitsii nąįį ky'aa Law eeshoołtin . Łyaa khit Vit'eegwijyąhchy'aa eenjit gwitr'it t'agwaał'in ihłįį , nats'ahts'ą' juk dząą Vit'eegwijyąhchy'aa eenjit gwitr'it t'agoh'in ǫhłįį gwik'it t'ishi'in .
44:22:004:0	Gwehkįį dąį' juu dinjii , tr'injaa haa Jesus k'injigiighit nąįį tąįį neehihdik . Ąįįts'ą' gooteegwałjii ts'ą' zhee gwaazhrąįį nineegavalzhik . Nagooghįt gąą gavoihnyąą .
44:22:001:1	Paul Nijin Dąį' , Ch'ijuk T'iizhik Eegavaagwaandak
44:22:005:0	Ndak khii giinkhih choh ąįįts'ą' ch'anjaa nakhwats'ą' k'eedeegwaadhat nąįį , łyaa oihts'it kwaa t'ihnyąą , geenjit nakhwaa gwagwahaandak . Damascus kwaiik'it gwachoh gwizhit Jews nakhwalak nąįį dilk'ii dęhtły'aa sheenagąąhtsuu . Ąįį haa zhat gwats'ą' hoiizhii , zhat juu Jesus k'injigiighit nąįį tee gwahąąłdal eenjit ts'ą' dząą Jerusalem gwits'ee goohihłyaa , ts'ą' googwarahąąhshii eenjit . ”
44:22:006:0	“ Nijin Damascus kwaiik'it gwats'ą' ihshyaa dąį' , it'ee ninghit kwaa gwats'ą' niizhii . Drintł'an gęhdaa tr'igwiindhat gwiizhik khanhee aadrii haa yeedaa gwats'an shach'aadrii nagwaanąįį .
44:22:007:0	Ąįįtł'ęę tąįį gwinjik nankak neet'aalnąįį . Gwiizhik gwideezhuh shats'ą' ginkhii dihtth'ak . ‘Saul , Saul , jaghaii dee shagwahąąhshii eenjit shatąįį neehindik ? ’ gwideezhuh shahnyąą .
44:22:008:0	‘Juu inlii ? ’ jihnyąą . ‘Shįį t'ee Jesus Nazareth kwaiik'it gwats'an , ąįį vagwahąąhshii eenjit vatąįį neehindik , ąįį t'ihchy'aa , ’ gwideezhuh shahnyąą .
44:22:009:0	Juu shaa adaa nąįį geedan t'ee aadrii ch'ąhndit gaah'ya' , gąą ąįį shats'ą' ginkhii deezhuh giitth'ak kwaa .
44:22:010:0	Ąįįtł'ęę ‘Shik'eegwaadhat , nats'ahts'ą' deehishi'yaa ? ’ jihnyąą . ‘Ndak nininjii , Damascus kwaiik'it gwizhit nihdeiinkhaii . Izhik dinjii k'eegwiichy'aa datthak Vit'eegwijyąhchy'aa doo'ya' , noonyąą geenjit naagwahaandak . ’ jyaa K'eegwaadhat shahnyąą .
44:22:011:0	Aadrii ch'ąhndit nint'aii naał'ya' geh'an shandee kwaa nagwaanąįį . Jii geh'an juu shaa neehiidal nąįį shanli' goontą' ts'ą' Damascus gwizhit nihdeeshigiin'ak .
44:22:012:0	“ Dinjii , Ananias oozhii , zhat gwich'įį . Łyaa dinjii dii-law k'eegwahthat nilįį . Jews nąįį zhat Damascus kwaiik'it gwachoh gwizhit gwich'įį nąįį łyaa gwintł'oo giiyihił'ee .
44:22:013:0	Nijin gwihch'įį izhik gwats'ą' haazhii . Ąįįts'ą' sheeghaii nadhat . ‘Shachaa Saul , juk chan gwąąh'in neenilįį , ’ shahnyąą . Googwahkhan shaagweech'in nagwaanąįį ts'ą' nał'in .
44:22:014:0	‘Vit'eegwijyąhchy'aa nakhwatsįį nąįį yeenii giits'ą' khagideedi' chy'aa ąįį k'eegwiichy'aa geh'an nigwiiłkįį , Nats'ahts'ą' doo'ya' , noonyąą gaanahandaii eenjit nigwiiłkįį . ‘Vidinji' Vit'eegwijyąhchy'aa doo'ya' yuunyąą khit gwik'it t'ii'in nats'ą' ginkhii oohąąhky'aa ts'ą' hąąh'yaa eenjit .
44:22:015:0	Jii deenizhik ąįį dinjii lęįį nąįį andaa nihindhat ts'ą' geegwahaandak eenjit t'igwiizhik t'oonchy'aa . Ąįį gąą jidii gwąąh'ya' ąįįts'ą' gwiintth'ak gavaagwahandak eenjit .
44:22:002:1	Nijin K'eegwaadhat “ Paul Israel Gwich'in Nilįį Kwaa Nąįį ts'ą' Hinkhaii , ” Ahnyąą , Yeegwahaandak Eenjit
44:22:016:0	Juk jidii eenjit tth'aii nagoorahaa'yaa ? Ndak nininjii ts'ą' chųų nats'an tr'ahtsii . K'eegwaadhat Jesus natr'agwaanduu oo'an gweheelyaa eenjit vats'ą' khadigiinjii , ’ jyaa Ananias shahnyąą .
44:22:017:0	“ Jii dząą Jerusalem kwaiik'it k'iinjik k'inidik dąį' , Kharigidiinjii Zheh khadigihihjyaa eenjit gwats'ą' hoiizhii . Izhik khagidihjii gwiizhik gineiinlyaa k'it t'ihchy'aa haa gwąął'in .
44:22:018:0	Izhit gwizhit K'eegwaadhat nał'in , ‘Khadhanchį' ts'ą' khan Jerusalem gihłeehindii , dząą gwizhit dinjii nąįį sheenjit gavaa gwandak ji' , gąą gwik'injigeheeghit kwaa t'oonchy'aa . ’ shahnyąą .
44:22:019:0	‘K'eegwaadhat , ch'adąį' gwanaa izhik gwa'an kwaiik'it gwitee neehihdik ts'ą' Jews nąįį tr'igiinkhii zheh gwizhit lęįį nik'injigiighit nąįį teegwąłjii . Ąįįtł'ęę gwintł'oo gavaałkhwąįį ąįįts'ą' zhee gwaazhrąįį nineegavalzhik gaagiindaii t'oonchy'aa .
44:22:020:0	Nijin dinjii neegwaandak nilįį , Stephen oozhii , tr'iiłkhwąįį dąį' , shįį chan geeghaih nihthat ts'ą' noodhal'in . Łyaa gwinzii t'igwii'in , nihthan . Ąįį juu yiiłkhwąįį nąįį googwach'aa geeghaih gwiizhik k'ąąłtii . ’
44:22:021:0	K'eegwaadhat jyaa shahnyąą , ‘Khan hinkhaii . Łyaa ninghit Israel gwich'in nilįį ( Gentiles ) kwaa nąįį tee gwats'ą' nanahałchyaa , ’ shahnyąą . ” Paul jyaa dagavahnyąą ts'ą' gavaa gwaandak .
