44:8:001:1	Saul , Jesus K'injigiighit Nąįį Khaiinjich'ahkhit
44:8:001:0	Saul łyaa Stephen tr'iiłkhwąįį geenjit shoo nilįį . Izhik zhat drin dąį' Jerusalem gwizhit Jesus k'injigiighit nąįį khaiinjich'agoogahkhit ts'ą' zhat Judea nihkhy'aa nahkat ts'ą' Samaria gwats'ą' gihłeegihihjyaa . Tr'ihił'e' nąįį zhrįh gihłeegahaajil kwaa ts'ą' nihłaa t'igiinchy'aa .
44:8:002:0	Dinjii lat nąįį łyaa Vit'eegwijyąhchy'aa k'injigiighit gwintł'oo gazhral ts'ą' gitree , gwizhit Stephen anagąąhjik .
44:8:002:1	Samaria gwizhit Gwa'an Gwandak Nizįį Eegwaraandak
44:8:003:0	Gaa Saul nihk'it tth'aii hee Jesus ts'ą' tr'igiinkhii zheh nineegiidal nąįį kanitįį . Zheh gwitee neehidik ts'ą' goovinkeegwąąh'in . Nijin goolat agwah'ak dąį' , gavoondak ts'ą' chiitąįį gwats'ą' cheegoovihiluu . Ąįįtł'ęę zhee gwaazhrąįį nagoovilik . Dinjii ts'ą' tr'injaa haa nihk'it jyaa dąh'in .
44:8:004:0	Jesus k'injigiighit nąįį nihłe'edan nankak datthak gwats'ą' gahaajil ts'ą' Gwandak Nizįį eegwagwaandak .
44:8:005:0	Philip chan Samaria nahkat gwizhit kwaiik'it gwachoh ch'andaa t'agwahtsii gwats'ą' haazhii . Izhik dinjii nąįį Jesus t'ee Christ t'inchy'aa nyąą ts'ą' geech'ǫąąhtan .
44:8:006:0	Izhik zhat dinjii lęįį nąįį Philip jyaa dagavahnyąą gwinzii googoołk'įį . Juu yuułk'įį nąįį tthak łyaa gwigwee'in t'ii'in giiyąąh'in .
44:8:007:0	Dinjii lęįį nąįį , goozhit ch'anky'aa iizųų t'inchy'aa nąįį , gwintł'oo gazhral gwiizhik goots'an cheehahchik . Ąįį gąą ts'ik ahchįį haa neehidik kwaa nąįį lęįį shranaazhik .
44:8:008:0	Zhat kwaiik'it gwachoh gwizhit dinjii lęįį nąįį geenjit łyaa shoo ginlii .
44:8:009:0	Izhik kwaiik'it dinjii , Simon oozhii , gwich'įį . Juu gwehkįį dąį' gwats'an dinjii dazhan nilįį . Dinjii Samaria nahkat gwizhit gwich'įį nąįį datthak nagwahde' haa neegoovan'ee . “ Łyaa dinjii gwintsii veegoo'aii ihłįį ! ” adaanyąą .
44:8:010:0	Ąįį kwaiik'it gwachoh gwizhit dinjii gwintsii deegihił'ee nilįį ts'ą' dinjii deegihił'ee nilįį kwaa nąįį gwinzii giiyołk'ii . “ Jii dinjii t'ee Vit'eegwijyąhchy'aa ts'an t'aih nitsii di'įį ! ” giiyahnyąą .
44:8:011:0	Łyaa ninghyuk nagwahde' haa neegoovan'ee . Ąįį geh'an łyaa deenyąą giik'injijii .
44:8:012:0	Gąą nijin Philip Gwandak Nizįį Jesus voozhri' zhit Vit'eegwijyąhchy'aa Veegwinii'ee eeginkhii giiyiitth'ak dąį' gwik'injigiighit ts'ą' dinjii ts'ą' tr'injaa haa lęįį nąįį chųų goots'an dhidlit .
44:8:013:0	Ąįį dinjii dazhan Simon oozhii googaa gwik'injindhat ts'ą' chųų vats'an tr'iłtsąįį . Ąįįtł'ęę gweedhaa datthak Philip haa t'inchy'aa . Philip geegagoolii kwaa ts'ą' gwigwee'in gwintsii gwitr'it t'agwah'in , Simon gwąąh'in dąį' hilghaa . Ąįį łąą gwik'it t'igweheenjyaa yiindhan kwaa gwik'it t'igwiizhik geh'an .
44:8:014:0	Samaria gwizhit dinjii lęįį nąįį Vit'eegwijyąhchy'aa viginjik k'injiginjik . Nijin Jerusalem gwizhit Tr'ihił'e' nąįį gwigwiitth'ak dąį' , Peter , ts'ą' John haa goots'ą' gihił'e' .
44:8:015:0	Nijin zhat k'eegii'oo dąį' , lęįį nąįį juu Jesus k'injigiighit nąįį datthak eenjit khagigideedi' , Ch'anky'aa Shroodiinyąą goohideendal ji' geenjit .
44:8:016:0	Gwehkįį dąį' gwats'an , ch'ihłak gąą Ch'anky'aa Shroodiinyąą gook'aa t'iinjii kwaa . K'eegwaadhat Jesus voozhri' zhit gwizhrįh chųų goots'an tr'iłtsąįį .
44:8:017:0	Ąįįtł'ęę Peter , John haa gooki' k'ąą nagaanjik . Ąįįtł'ęę Ch'anky'aa Shroodiinyąą geenjit gook'aa t'iizhik .
44:8:018:0	Dząą t'ee Ch'anky'aa Shroodiinyąą goots'an tr'iłtsąįį Tr'ihił'e' nąįį gooki' k'ąą nagaanjik dąį' , Simon adan t'ee gwąąh'in . Jii geenjit Peter , John haa larąą haa googoihkwat yiindhan , adan t'ee gook'it t'ihee'yaa geenjit .
44:8:019:0	“ Shįį chan , jii t'aih shats'an ohtsii , juu viki' k'ąą naaljik nąįį Ch'anky'aa Shroodiinyąą ooheendal eenjit . ” gavahnyąą .
