44:21:001:1	Paul Jerusalem gwats'ą' Haazhii
44:21:001:0	Datthak “ Vit'eegwijyąhchy'aa nakhwaa oolį' ! ” gooraiinyą' . Ąįįtł'ęę tr'ihchoo zhit tr'iinjil ts'ą' tr'ahaajil . Izhik gwats'an Cos njuu ts'ą' k'igwąą'ee neeriinjil . Gęhdaa drin Rhodes njuu kat k'eeriidal . Izhik gwats'an Patara kwaiik'it gwats'ą' tr'ahaajil .
44:21:002:0	Nijin zhat k'eeriidal dąį' , ch'izhii tr'ihchoo Phoenicia nahkat gwats'ą' alaa , ąįį zhit tr'iinjil ts'ą' , izhik gihłeerahoojil .
44:21:003:0	Nijin Cyprus njuu tr'ąąh'in dąį' , shriits'ąįį ts'ąįį vehgooraajil , ts'ą' Syria nahkat tr'ihchoo haa k'eeriidal . Izhik Tyre kwaiik'it goo'aii k'eeriidal , ąįį tr'ihchoo izhik vizhit deegwareheelyaa goo'aii geenjit .
44:21:004:0	Izhik gwik'injiighit nąįį goovankeegwarah'in ts'ą' googwarah'ąįį ts'ą' drin k'ideetit ch'ihłak ( one week ) gahkhyuk gavaa t'igwinchy'a' . Ch'anky'aa Shroodiinyąą vat'aii k'iighai' Paul , Jerusalem gwits'ee noohzhi' shrǫ' agahnyąą .
44:21:005:0	Nijin drin k'ideetit ch'ihłak gavaatr'aak'i' gehgoo goodhat dąį' , geedan ąįįts'ą' goo'at , googii nąįį haa chųų choh vee teeghaii gwats'ą' danaa gahaajil . Izhik nikiigwiriintthaii ts'ą' datthak khadigireedi' .
44:21:006:0	“ Vit'eegwijyąhchy'aa nakhwaa oolį' ! ” nihłaraiinyą' . Tł'ęę tr'ihchoo zhit neeriinjil . Ąįįts'ą' geedan t'ee digizheh gwits'ee goohoojil .
44:21:007:0	Ąįįts'ą' zhat gihłeerahoojil Tyre gwats'an Ptolemais kwaiik'it gwats'ą' tr'eelaa ts'ą' k'eeriidal . Izhik chan gwik'injiighit nąįį shoo tr'iilii haa goovanli' tr'oonjik ts'ą' drin ch'ihłak gavaa tr'aak'į' .
44:21:008:0	Gęhdaa drin chan neerahoojil . Ąįįts'ą' Caesarea kwaiik'it k'eeriidal . Izhik Philip vaa vizheh tr'igwinch'į' . Adan t'ee khit Jesus eenjit Gwandak Nizįį eegwaandak nilįį . Dinjii 7 gwehkįį dąį' , Jerusalem gwizhit vagwariiłkįį , ąįį nąįį tee gwats'an ch'ihłak nilįį .
44:21:009:0	Vichi' dǫǫ nąįį giveeriilk'ii kwaa nąįį di'įį . Geedan t'ee Vit'eegwijyąhchy'aa viginjik eegwaandak giinlii .
44:21:010:0	Drin shriit'agwąąnchy'aa zhat t'oonchy'aa gwiizhit Judea nahkat gwats'an dinjii , Agabus oozhii , k'idik . Vit'eegwijyąhchy'aa Eenjit Ginkhii nilįį nąįį tee gwats'an ch'ihłee nilįį .
