44:5:001:1	Ananias , ts'ą' Va'at Sapphira Haa Googwandak
44:5:001:0	Dinjii ch'ihłak Ananias oozhii . Ąįįts'ą' va'at Sapphira oozhii . Daganan' tr'oiinkwat giłtsąįį .
44:5:002:0	Ąįį gwalaraa lat Tr'ihił'e' nąįį antł'eegiinlii , gaa datthak gwintł'eegiiyinlii adagaa'įį . Larąą lat idigeenjit k'eegąąhtii . Va'at dee'in datthak yaandaii ts'ą' adan t'ee veechįį t'igwii'in .
44:5:003:0	Peter gwint'aii jyaa diiyahnyąą , “ Ananias , jidii t'ihini'yaa kwaa ąįį t'inizhik , Satan jyaa nahnyąą k'iighai' . Ch'anky'aa Shroodiinyąą ts'ą' oonts'it . ‘Nanan tr'oiinkwat , ąįį gwalaraa datthak gwantł'eiinlii , ’ diinyąą gąą gwik'it t'inizhik kwaa . Valat tth'aii hee khadhanzhii . Ąįį haa Ch'anky'aa Shroodiinyąą tsinteehąąhkaii gwik'eegwiindaii .
44:5:004:0	Nan gwitł'eehinlyaa gwehkįį dąį' gwats'an , nanan nilįį t'inchy'aa . Ąįįtł'ęę gwit'įį larąą oodhiinjik , ąįįt'ee nalaraa t'inchy'aa . Nats'ahts'ą' vat'oołchy'a' oiinyąą gwik'it vit'eehąąhchy'aa goo'aii . Jaghaii jyaa dooshi'ya' , yiindhan ? Dinjii zhrįh ts'ą' oonts'it kwaa , gąą Vit'eegwijyąhchy'aa chan ts'ą' oonts'it gwizhit vininjigwanzhii t'ini'in . ” yahnyąą .
44:5:005:0	Nijin Ananias gwiintth'ak dąį' , khants'ą' niindhat . Dinjii nąįį niindhat gwigwiitth'ak dąį' , łyaa datthak gąąnjat nagaanaii .
44:5:006:0	Ąįįtł'ęę tsyaa zhat dilk'ii nąįį gwach'aa giinǫǫłjik . Ąįįts'ą' cheegiihiłchįį tł'ęę giinąąhjik .
44:5:007:0	Shriit'ahkhyuk gwahaadhat tł'ęę va'at chan zhat nihdeiinzhii . Vakai' niindhat geenjit tth'aii hee gwiitth'ak kwaa .
44:5:008:0	Peter jyaa yahnyąą , “ Nijin nakhwanan gwantł'oolii dąį' , jii larąą zhrįh lee gwit'įį oodhoojik ? ” “ Aahą' , jii zhrįh tr'oonjik . ” Sapphira yahnyąą .
44:5:009:0	“ Jaghaii nan ts'ą' nakai' haa K'eegwaadhat Vach'anky'aa Shroodiinyąą tsinteehookaii gwik'eegǫhdaii ? Yee'at chiitąįį tsyaa nąįį nakąį' anagąąhjik juk dilk'ii ts'ą' nan chan dząą gwats'an chineenagahahchyaa t'oonchy'aa . ” Peter yahnyąą .
44:5:010:0	Sapphira yats'ą' nadhat gwiizhik zhat googwahkhan adan t'ee niindhat . Ąįįtł'ęę tsyaa nąįį nihdeegiinjil , niindhat giiyąąh'in . Adan t'ee cheegiiyihiłchįį , ts'ą' giikąį' eeghaii giinąąhjik .
44:5:002:1	Gwigwee'in ts'ą' Nindal Gwaahchy'aa Gwinlęįį T'igwiizhik
44:5:011:0	Jii t'igwiizhik geh'an juu Jesus k'injiighit nąįį datthak , gwiitth'ak dąį' gwintł'oo gihilghaa ts'ą' gąąnjat nagaanaii .
44:5:012:0	Tr'ihił'e' nąįį dinjii tee gwinlęįį gwigwee'in ts'ą' nindal gwaahchy'aa gwitr'it t'agwagwah'in . Kharigidiinjii Zheh gwizhit gwadąįį charantąįį Solomon goozhii , izhik Jesus k'injiighit nąįį nihłaa łineegaadal .
44:5:013:0	Dinjii nąįį datthak goodigihił'e' gaa gooteegiheedaa geenjit łyaa gagąąnjat .
44:5:014:0	Googaa dinjii , ts'ą' tr'injaa haa lęįį nąįį K'eegwaadhat k'injigiindhat ts'ą' ąįį nąįį K'eegwaadhat k'injiighit tee giinjil .
44:5:015:0	Tr'ihił'e' nąįį gwigwee'in gwinlęįį t'igii'in gwigwiitth'ak k'iighai' iłts'ik nąįį tąįį gwinjik gwats'ą' gahaadlii eechehk'it , ts'at haa kat deegoogiinlii . Jii t'igii'in , Peter zhat tąįį gwinjik heekhaa goo'aii , vagwank'oh gookat t'iheenjyaa ji' geenjit , ąįį haa gooveenjit gwinzii neegweheelyaa geenjit .
44:5:003:1	Tr'ihił'e' Nąįį Zhee Gwaazhrąįį Nariinlii
44:5:016:0	Geeghaih gwa'an kwaiik'it gwatsal goodlii gwats'an dinjii lęįį nąįį Jerusalem k'eedal . Dagalak iłts'ik nąįį ąįįts'ą' dinjii ch'anky'aa iizųų di'įį nąįį haa adahaa k'eegilik . Datthak Tr'ihił'e' Nąįį goots'ą' tr'iinjik .
44:5:017:0	Ndak khii ginkhih choh , vaa kįh dilk'ii nąįį ts'ą' Sadducee ts'an nilįį nąįį haa Tr'ihił'e' nąįį ts'ą' gwintł'oo shooginlii kwaa . Gooveenjit k'eegwiichy'aa t'igwehee'yaa gwizhrįh giindhan .
44:5:018:0	Tr'ihił'e' Nąįį teegwigwįłjik ts'ą' zhee gwaazhrąįį nagoogiinlii .
44:5:019:0	Izhik tǫǫ K'eegwaadhat vizheekat gwich'in ch'ihłak zhee gwaazhrąįį gindeiinvyaa giveenjit gihdįįntin ts'ą' cheegaviinlii . Ts'ą' jyaa gavahnyąą ,
44:5:020:0	“ Kharigidiinjii Zheh gwizhit nihdǫhjyaa . Izhik gwizhit nohthat ts'ą' gwandaii k'eejit eenjit dinjii nąįį haa goondak . ” goovahnyąą .
44:5:021:0	Vanh dąį' , Tr'ihił'e' nąįį Kharigidiinjii Zheh gwats'ą' gahaajil ts'ą' eech'agǫąąhtan . Izhik gwiizhik chan ch'adanh gwa'an ndak khii giinkhih choh , dalak nąįį haa Jews ch'anjaa nilįį nąįį , Israel nahkat gwats'ą' k'eedeegwaadhat nąįį haa łigiiljil . Izhik gwiizhik niveet'ah'in nąįį zhee gwaazhrąįį gwats'ą' gihił'e' , Tr'ihił'e' nąįį oo'ee neegeheelyaa ts'ą' googahaahkat eenjit .
44:5:022:0	Gąą niveet'ah'in nąįį zhee gwaazhrąįį k'eegiidal dąį' , googwagwah'ąįį kwaa ts'ą' zhyąą oo'ee neegeejil ts'ą' jyaa diginyąą ,
44:5:023:0	“ Zhee gwaazhrąįį k'eeriidal dąį' , gindeiinvyaa łyaa gwinzii gihdįįntin . Ąįįts'ą' gwak'ąąhtii nąįį chan zhat gwadąįį nigiilzhii , tr'agwah'in . Gąą nijin nihdeeriinjil dąį' , dinjii ch'ihłak gaa gwizhit dhidii kwaa ! ” ginyąą .
44:5:024:0	Nijin niveet'ah'in kįh dhidii Kharigidiinjii Zheh gwizhit gwak'ąąhtii nąįį ąįįts'ą' giinkhih kįh dilk'ii nąįį haa gwigwiitth'ak dąį' , Tr'ihił'e' nąįį deegiizhik li' gaagoondaii giindhan .
44:5:025:0	Gwiizhit dinjii ch'ihłak nihdeiinzhii ts'ą' gootee khaginkhee , “ Shoodǫǫhk'įį ! Dinjii zhee gwaazhrąįį noolii chy'ąą , juk Kharigidiinjii Zheh gwizhit nigeelzhii ts'ą' Jesus eech'agǫąąhtan ! ” gavahnyąą .
44:5:026:0	Ąįįtł'ęę niveet'ah'in kįh dhidii ditsyaa nąįį haa Kharigidiinjii Zheh gwats'ą' gahaajil , datthak gootee neegwigwiłjik ts'ą' oo'ee neegoogahaadlii . Gwint'aii gook'eegahąąndak ąįį zhit gagąąnjat , jyaa digii'in ji' , dinjii nąįį kii haa diigooheekit giindhan .
44:5:027:0	Tr'ihił'e' nąįį nihdeegoogiinlii dąį' , k'eedeegwaadhat nąįį ( Council ) ts'ą' nigiilzhii googiłtsąįį . Ąįįtł'ęę ndak khii giinkhih choh googahkat ,
44:5:028:0	“ Dinjii , Jesus oozhii , eech'oohǫhchyaa kwaa gwintł'oo nakhwaraiinyą' . Deenakhwaraiinyą' gaakhwandaii , googaa nihk'it t'akhwa'in . Jerusalem gwizhit gwich'in nąįį datthak jii geech'ǫąąhtan gwigwiitth'ak . Jesus dǫǫhkhwąįį , diinohnyąą ts'ą' diineegǫǫhkhii diits'ą' gideehohtrat gwik'eegǫhdaii ! ” goovahnyąą .
